_id , fermi2fgl_name ,  other_name , RA, Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1618 , 2FGL J2016.3-0904 , PMN J2016-0903 , 304.07792 , -9.07025 , 34.34 , -22.96 , , (19.1+/-2) e-10 , 2.048 , 0.08 , (20.6+/-5.6) e-9 , (51.2+/-9.2) e-10 , (12.4+/-2.2) e-10 , (36.7+/-9.3) e-11 , (17.9+/-5.8) e-11 , BL Lac , N , 31.893
1619 , 2FGL J2015.6+3709 , MG2 J201534+3710 , 303.92375 , 37.162 , 74.87 , 1.17 , , (120+/-6.2) e-10 , 2.572 , 0.059 , (21+/-2.5) e-8 , (57+/-3.8) e-9 , (96.3+/-7.5) e-10 , (13.2+/-2) e-10 , (19.2+/-6.8) e-11 , AGU , N , 271.052
1620 , 2FGL J2017.4-3215 , , 304.35 , -32.26539 , 9.94 , -31.28 , , (5.2+/-1.5) e-10 , 2.645 , 0.166 , (19.1+/-5.3) e-9 , (42.1+/-9.8) e-10 , < 5.69e-10 , < 1.41e-10 , < 1.57e-10 , Unassociated , N , 25.557
1621 , 2FGL J2017.5-1618 , , 304.39542 , -16.309 , 27.22 , -26.21 , , (11.3+/-1.7) e-10 , 2.177 , 0.106 , < 1.90e-8 , (30.9+/-8.7) e-10 , (6.7+/-1.9) e-10 , (4.6+/-1) e-10 , < 7.21e-11 , Unassociated , N , 15.484
1622 , 2FGL J2017.3+0603 , PSR J2017+0603 , 304.34958 , 6.05394 , 48.62 , -16.03 , , (64.2+/-3.7) e-10 , 1.046 , 0.147 , < 2.25e-8 , (6.6+/-1) e-9 , (45.2+/-3.6) e-10 , (17.7+/-1.8) e-10 , (11.8+/-4.7) e-11 , Pulsar , N , 26.273
1623 , 2FGL J2018.0+3626 , , 304.51083 , 36.44833 , 74.54 , 0.38 , , (111+/-7.4) e-10 , 2.538 , 0.097 , < 7.78e-8 , (34.8+/-4.1) e-9 , (101+/-8.7) e-10 , (13+/-2.2) e-10 , < 9.82e-11 , Unassociated , E , 17.006
1624 , 2FGL J2018.2+3850c , TXS 2016+386 , 304.565 , 38.84139 , 76.54 , 1.69 , , (27.5+/-4) e-10 , 2.178 , 0.095 , < 4.21e-8 , (14.6+/-3.5) e-9 , (18.7+/-5.2) e-10 , (5.4+/-1.5) e-10 , (20.1+/-6.4) e-11 , AGU , N , 25.373
1625 , 2FGL J2019.1+4040 , , 304.77917 , 40.68089 , 78.16 , 2.59 , , (47+/-7.5) e-10 , 1.877 , 0.103 , < 1.12e-7 , < 2.54e-8 , (51.5+/-9.7) e-10 , (9.1+/-2.3) e-10 , (5.7+/-1.2) e-10 , Potential SNR , E , 26.605
1626 , 2FGL J2020.0+4159 , , 305.01542 , 41.99317 , 79.34 , 3.18 , , (24.5+/-8.9) e-10 , 2.879 , 0.375 , (7+/-1.7) e-8 , (20.8+/-3.3) e-9 , (21+/-6.1) e-10 , < 5.35e-10 , < 1.55e-10 , Unassociated , N , 28.67
1627 , 2FGL J2022.3-4518 , PMN J2022-4513 , 305.58333 , -45.30825 , 354.82 , -34.47 , , (5+/-1.3) e-10 , 2.306 , 0.147 , < 1.18e-8 , < 3.32e-9 , (7.2+/-1.8) e-10 , < 1.35e-10 , < 5.43e-11 , BL Lac , N , 25.504
1628 , 2FGL J2021.5+0632 , , 305.39083 , 6.54197 , 49.61 , -16.67 , , (7.4+/-1.6) e-10 , 2.146 , 0.151 , < 2.08e-8 , < 3.48e-9 , (6.1+/-2.2) e-10 , (22.1+/-7.6) e-11 , < 6.42e-11 , Unassociated , N , 21.383
1629 , 2FGL J2021.0+3651 , PSR J2021+3651 , 305.27 , 36.86342 , 75.23 , 0.12 , 1AGL J2021+3652 , (67.6+/-1.2) e-9 , 1.602 , 0.032 , (33.9+/-2.9) e-8 , (198+/-4.8) e-9 , (56.3+/-1.3) e-9 , (97.3+/-4.4) e-10 , (34.3+/-8.2) e-11 , Pulsar , E , 17.67
1630 , 2FGL J2021.5+4026 , LAT PSR J2021+4026 , 305.39125 , 40.44064 , 78.22 , 2.07 , 1AGL J2022+4032 , (123+/-1.5) e-9 , 1.625 , 0.018 , (79.9+/-8.9) e-8 , (380+/-7.1) e-9 , (103+/-1.7) e-9 , (160+/-5.5) e-10 , (5.6+/-1.2) e-10 , Pulsar , N , 24.638
1631 , 2FGL J2023.4-1137 , PMN J2023-1140 , 305.85875 , -11.63047 , 32.62 , -25.63 , , (11.2+/-1.7) e-10 , 2.069 , 0.108 , < 1.38e-8 , (32.5+/-8) e-10 , (7.5+/-1.9) e-10 , (32.1+/-8.9) e-11 , < 1.60e-10 , FSRQ , N , 28.694
1632 , 2FGL J2022.8+3843c , SNR G076.9+01.0 , 305.70917 , 38.72261 , 76.95 , 0.89 , , (23.2+/-4) e-10 , 2.545 , 0.169 , (4.6+/-1.3) e-8 , (27.4+/-4) e-9 , < 3.00e-9 , < 4.37e-10 , < 5.80e-11 , SNR , N , 26.119
1633 , 2FGL J2025.6-0736 , PKS 2023-07 , 306.41583 , -7.60519 , 36.88 , -24.39 , 1AGL J2026-0732 , (101+/-3.9) e-10 , 2.15 , 0.035 , (126+/-7.7) e-9 , (43.8+/-1.5) e-9 , (85+/-4.5) e-10 , (14.2+/-1.6) e-10 , (12.4+/-4.8) e-11 , FSRQ , N , 1282.2
1634 , 2FGL J2025.1+3341 , B2 2023+33 , 306.28125 , 33.69503 , 73.1 , -2.37 , , (40.7+/-4.4) e-10 , 2.789 , 0.149 , < 9.10e-8 , (26.7+/-3) e-9 , (28.9+/-5.3) e-10 , (4.9+/-1.3) e-10 , < 9.79e-11 , AGU , N , 190.224
