_id , pccs1f217_name , other_name , RA , Dec , LII , BII ,Detection pipeline flux density +/- err (mJy),Aperture photometry flux density +/- err (mJy),PSF fit flux density +/- err (mJy),Gaussian fit flux density +/- err (mJy),PositionError (arcmin),Extended,Cirrus flag,External validation,ERCSC source name,Gaussian fit semimajor axis +/- err (arcmin),Gaussian fit semiminor axis +/- err (arcmin),Gaussian fit orientation +/- err (degrees),Gaussian fit effective FWHM (arcmin) 
15900 , "PCCS1 217 G105.81-20.07 ", , 351.71792 , 39.96611 , 105.8156 , -20.07816 , "170.1+/-33.6" , "375.3+/-139.5" , "332+/-48.9" , "-" , 0.7 , "Not available" , 24 , 0 , " " , "-" , "-" , "-" , -9.9
15901 , "PCCS1 217 G080.40-57.77 ", , 351.71833 , -2.05944 , 80.40974 , -57.77291 , "242.3+/-32.9" , "278.9+/-165" , "305.4+/-45.1" , "1852.7+/-438.7" , 0.7 , "Yes" , 3 , 1 , " " , "25.5+/-9.5" , "13.5+/-5" , "13.6+/-0.000" , 18.6
15902 , "PCCS1 217 G102.43-28.41 ", , 351.77875 , 31.08167 , 102.43091 , -28.41122 , "230+/-37.8" , "355.3+/-93.7" , "340.9+/-37.7" , "1481.5+/-131" , 0.7 , "Yes" , 55 , 0 , " " , "22.4+/-0.6" , "9+/-1.1" , "119.5+/-0.000" , 14.2
15903 , "PCCS1 217 G112.23-02.18 ", , 351.80958 , 58.92417 , 112.23965 , -2.18852 , "1427+/-226.3" , "3099.8+/-473.7" , "2410.4+/-287.6" , "3149.4+/-414.4" , 0.7 , "Yes" , 47 , 2 , "PLCKERC217 G112.22-02.16" , "12.4+/-0.7" , "5.1+/-0.8" , "46.9+/-0.000" , 7.9
15904 , "PCCS1 217 G103.34-26.39 ", , 351.81125 , 33.25361 , 103.34147 , -26.3952 , "221.4+/-35.5" , "772.4+/-248.6" , "846.3+/-82" , "4944.4+/-338.3" , 0.7 , "Yes" , 51 , 1 , " " , "17.1+/-1.7" , "11.7+/-1.2" , "9.8+/-0.000" , 14.2
15905 , "PCCS1 217 G094.80-42.80 ", , 351.83708 , 15.42472 , 94.80895 , -42.8085 , "248.5+/-35.2" , "272.1+/-87.1" , "173.8+/-28.6" , "170.1+/-31.1" , 0.7 , "No" , 42 , 2 , " " , "4.9+/-0.9" , "4.1+/-0.8" , "105.6+/-0.000" , 4.5
15906 , "PCCS1 217 G103.32-26.53 ", , 351.8525 , 33.11944 , 103.32391 , -26.53272 , "484.6+/-38.9" , "1097.9+/-329.4" , "920.7+/-93.7" , "4776.3+/-480.6" , 0.7 , "Yes" , 51 , 2 , " " , "20.9+/-3.1" , "10.6+/-1.5" , "165.5+/-0.000" , 14.9
15907 , "PCCS1 217 G091.13-47.95 ", , 351.885 , 9.67333 , 91.13951 , -47.95183 , "410.9+/-33.5" , "471.5+/-72.6" , "399.4+/-36.1" , "558.7+/-52.3" , 0.7 , "No" , 124 , 2 , "PLCKERC217 G091.14-47.96" , "7.9+/-0.8" , "5.5+/-0.5" , "99.3+/-0.000" , 6.6
15908 , "PCCS1 217 G108.28-13.80 ", , 351.89583 , 46.66917 , 108.28806 , -13.80431 , "185.1+/-33.5" , "222.8+/-72.6" , "121.6+/-31.5" , "-" , 0.7 , "Not available" , 7 , 0 , " " , "-" , "-" , "-" , -9.9
15909 , "PCCS1 217 G306.12-34.02 ", , 351.92875 , -82.57333 , 306.12576 , -34.02824 , "196.2+/-29.4" , "415.3+/-126.3" , "421.8+/-41.4" , "2010.1+/-168.4" , 0.7 , "Yes" , 8 , 0 , "PLCKERC217 G306.14-34.03" , "21.1+/-2.1" , "8.6+/-0.9" , "117.2+/-0.000" , 13.5
15910 , "PCCS1 217 G117.00+11.64 ", , 351.93625 , 73.54278 , 117.003 , 11.64208 , "218.5+/-43.3" , "483+/-269.8" , "618.6+/-87.9" , "4633.1+/-407.7" , 0.7 , "Yes" , 10 , 0 , " " , "24.1+/-3.3" , "10.6+/-1.3" , "21.8+/-0.000" , 16
15911 , "PCCS1 217 G117.25+12.34 ", , 351.95208 , 74.29278 , 117.2563 , 12.34995 , "404.3+/-67.1" , "1645.2+/-483.5" , "2292.5+/-300.5" , "7487.5+/-515.9" , 0.7 , "Yes" , 6 , 1 , " " , "22.7+/-1.9" , "9.3+/-0.9" , "65.4+/-0.000" , 14.6
15912 , "PCCS1 217 G113.24+00.51 ", , 351.98917 , 61.8075 , 113.24226 , 0.51646 , "552.7+/-90.5" , "660.7+/-733.6" , "484.9+/-183.3" , "392.8+/-242.4" , 0.7 , "No" , 30 , 0 , " " , "5.2+/-3.3" , "4.1+/-2.6" , "4.1+/-0.000" , 4.6
15913 , "PCCS1 217 G116.12+08.98 ", , 352.0675 , 70.74833 , 116.1268 , 8.9836 , "311.1+/-62.4" , "772.1+/-303.5" , "741.6+/-100.3" , "3343.8+/-218.1" , 0.7 , "Yes" , 12 , 1 , " " , "18.9+/-1.2" , "7.7+/-0.6" , "24.9+/-0.000" , 12.1
15914 , "PCCS1 217 G106.11-20.11 ", , 352.07458 , 40.02417 , 106.1104 , -20.11619 , "260.1+/-35" , "422.9+/-163.6" , "351.2+/-51.6" , "1629+/-182.4" , 0.7 , "Yes" , 23 , 2 , " " , "17.8+/-1.3" , "7.2+/-1" , "65+/-0.000" , 11.3
15915 , "PCCS1 217 G114.08+02.85 ", , 352.115 , 64.29083 , 114.08222 , 2.85426 , "1330.7+/-131.5" , "2107.2+/-428.7" , "1862.5+/-157.7" , "2548.8+/-202.7" , 0.7 , "No" , 15 , 1 , "PLCKERC217 G114.08+02.86" , "7.2+/-0.6" , "6+/-0.5" , "25.8+/-0.000" , 6.6
15916 , "PCCS1 217 G349.45-68.24 ", , 352.11875 , -40.57639 , 349.4588 , -68.24436 , "195.9+/-34.3" , "288.6+/-73" , "272.5+/-28" , "1687.8+/-161.5" , 0.7 , "Yes" , 0 , 1 , "PLCKERC217 G349.47-68.22" , "19.5+/-2.8" , "13.8+/-2.1" , "116.5+/-0.000" , 16.4
15917 , "PCCS1 217 G103.67-26.37 ", , 352.13708 , 33.37389 , 103.67336 , -26.37893 , "301.9+/-41.3" , "406.3+/-122.7" , "309.2+/-73.1" , "350.7+/-57.1" , 0.7 , "No" , 46 , 1 , " " , "6.1+/-1" , "5+/-0.8" , "167.3+/-0.000" , 5.5
15918 , "PCCS1 217 G112.96-00.59 ", , 352.1675 , 60.66028 , 112.96136 , -0.59921 , "1351.2+/-124.8" , "2186+/-780.6" , "2099.8+/-271.8" , "9820.4+/-1037.1" , 0.7 , "Yes" , 40 , 2 , " " , "19.9+/-2.8" , "8.2+/-1.1" , "0.5+/-0.000" , 12.8
15919 , "PCCS1 217 G103.14-27.71 ", , 352.17583 , 31.95444 , 103.1447 , -27.71846 , "249.4+/-44.6" , "230.5+/-229.3" , "395.7+/-56.5" , "791.4+/-196.3" , 0.7 , "Yes" , 55 , 1 , "PLCKERC217 G103.07-27.31" , "12.9+/-3.5" , "5.8+/-1.6" , "43.3+/-0.000" , 8.6
15920 , "PCCS1 217 G105.86-21.11 ", , 352.23333 , 39.00833 , 105.86862 , -21.1142 , "190.5+/-35.1" , "136.1+/-113.9" , "184.1+/-43.6" , "408.8+/-100.7" , 0.7 , "Yes" , 22 , 0 , " " , "13.1+/-1.5" , "5.3+/-1.6" , "10.8+/-0.000" , 8.3
15921 , "PCCS1 217 G116.02+08.46 ", , 352.28583 , 70.22361 , 116.02789 , 8.46298 , "288.3+/-54.3" , "522.2+/-209.6" , "453.8+/-56" , "1223.2+/-136.7" , 0.7 , "Yes" , 12 , 0 , " " , "15.7+/-0.5" , "6.3+/-0.9" , "44.6+/-0.000" , 9.9
15922 , "PCCS1 217 G113.11-00.31 ", , 352.29542 , 60.97667 , 113.11976 , -0.3183 , "454.5+/-88.6" , "558.6+/-449.1" , "290.2+/-215.5" , "-" , 0.7 , "Not available" , 36 , 0 , " " , "-" , "-" , "-" , -9.9
15923 , "PCCS1 217 G112.21-03.06 ", , 352.30208 , 58.0825 , 112.21746 , -3.06837 , "563.5+/-90.4" , "876.6+/-1006.9" , "516.4+/-232.7" , "-" , 0.7 , "Not available" , 40 , 1 , " " , "-" , "-" , "-" , -9.9
15924 , "PCCS1 217 G335.73-64.06 ", , 352.33625 , -47.49389 , 335.73169 , -64.06946 , "626.8+/-29.5" , "584+/-123.6" , "540.5+/-37.5" , "522.2+/-67" , 0.7 , "No" , 0 , 2 , "PLCKERC217 G335.71-64.06" , "6.6+/-0.9" , "4.8+/-0.6" , "24.4+/-0.000" , 5.6
15925 , "PCCS1 217 G331.98-62.31 ", , 352.34333 , -49.92667 , 331.98678 , -62.31739 , "584.1+/-30.6" , "438.9+/-84.4" , "499.4+/-33" , "-" , 0.7 , "Not available" , 0 , 1 , "PLCKERC217 G331.99-62.32" , "-" , "-" , "-" , -9.9
15926 , "PCCS1 217 G112.69-01.67 ", , 352.34375 , 59.55861 , 112.69957 , -1.67286 , "1962.1+/-175.9" , "3897+/-826.9" , "2967.3+/-393.4" , "9262.7+/-724.5" , 0.7 , "Yes" , 37 , 2 , "PLCKERC217 G112.69-01.67" , "15.5+/-0.6" , "6.3+/-0.6" , "16.2+/-0.000" , 9.8
15927 , "PCCS1 217 G114.83+04.61 ", , 352.49542 , 66.19278 , 114.83078 , 4.61073 , "520.4+/-93.1" , "642.3+/-928.8" , "832.4+/-180.5" , "-" , 0.7 , "Not available" , 12 , 0 , " " , "-" , "-" , "-" , -9.9
15928 , "PCCS1 217 G105.84-21.82 ", , 352.50917 , 38.33139 , 105.84312 , -21.82413 , "190.7+/-30.2" , "188+/-149.7" , "300.3+/-44.3" , "1132.6+/-177.6" , 0.7 , "Yes" , 20 , 0 , " " , "15.1+/-2.9" , "8.4+/-1.6" , "50.7+/-0.000" , 11.3
15929 , "PCCS1 217 G112.74-01.82 ", , 352.53167 , 59.42528 , 112.74888 , -1.82914 , "2452.3+/-176.3" , "6339.5+/-1346.9" , "5410.9+/-321.4" , "2.1e+4+/-943.5" , 0.7 , "Yes" , 37 , 2 , "PLCKERC217 G112.76-01.82" , "19.6+/-0.6" , "7.9+/-0.5" , "24.5+/-0.000" , 12.4
15930 , "PCCS1 217 G114.92+04.82 ", , 352.54625 , 66.42306 , 114.92201 , 4.8234 , "502.6+/-87" , "1398.8+/-625.9" , "1163.4+/-171.4" , "4754.4+/-473.1" , 0.7 , "Yes" , 12 , 1 , " " , "16.8+/-1.4" , "6.8+/-0.8" , "121.5+/-0.000" , 10.7
15931 , "PCCS1 217 G112.63-02.34 ", , 352.62125 , 58.90028 , 112.63058 , -2.34264 , "890.7+/-172.4" , "2437.6+/-1640.2" , "2312+/-389.8" , "4561.1+/-923.6" , 0.7 , "Yes" , 37 , 1 , " " , "16.1+/-1.6" , "6.6+/-1.6" , "68.3+/-0.000" , 10.3
15932 , "PCCS1 217 G103.33-28.41 ", , 352.64667 , 31.36306 , 103.33326 , -28.41319 , "240.2+/-37.1" , "528.7+/-82.2" , "390+/-55.6" , "1092.5+/-100.3" , 0.7 , "Yes" , 46 , 2 , " " , "14.4+/-0.8" , "5.9+/-0.7" , "26.6+/-0.000" , 9.2
15933 , "PCCS1 217 G106.79-19.60 ", , 352.65 , 40.71583 , 106.79365 , -19.60871 , "467.1+/-40.4" , "1070.2+/-276.1" , "882.7+/-77.2" , "3486.2+/-289.8" , 0.7 , "Yes" , 16 , 1 , " " , "18.2+/-1.7" , "7.4+/-0.7" , "72.5+/-0.000" , 11.6
