_id , fermi1fhl_name , other_name , Association , RA , Dec , LII , BII,Flux (E>10 GeV),Spectral index,Sqrt(TS),Flux Density,Energy Flux,Pivot Energy,Flux10-30GeV,Errors on Flux10-30GeV,Flux30-100GeV,Errors on Flux30-100GeV,Flux100-500GeV,Errors on Flux100-500GeV,Sqrt(TS)10-30GeV,Sqrt(TS)30-100GeV,Sqrt(TS)100-500GeV,Class,Z,TeV Assoc.,Tev Flag,Variability,Sed Class,Ext name
403 , 1FHL J1802.7-3940 , 2FGL J1802.6-3940 , PMN J1802-3940 , 270.6804 , -39.674 , 352.44 , -8.44 , (33.28±6.77) e-11 , 3.385 ± 0.4872 , 9.86 , (19.72±4.01) e-12 , (9.14±2.27) e-12 , 15.0876 , 2.97e-10 , -5.947e-11 +6.747e-11 , 3.46e-11 , -1.78e-11 +2.581e-11 , < 3.60e-11 , - , 10.01 , 3.38 , 0 , bzq , 1.319 , , N , 1 , LSP , 
404 , 1FHL J1805.6-2136e , 2FGL J1805.6-2136e , SNR G008.7-00.1 , 271.408 , -21.6117 , 8.6 , -0.22 , (11.21±1.64) e-10 , 2.2366 ± 0.2057 , 8.37 , (22.88±3.34) e-12 , (5.71±1.3) e-11 , 22.4717 , 8.75e-10 , -1.431e-10 +1.524e-10 , 2.09e-10 , -6.123e-11 +6.973e-11 , 6.10e-11 , -3.424e-11 +4.522e-11 , 7.66 , 4.39 , 2.15 , SNR , 0 , HESS J1804-216 , E , 1 , , W30
405 , 1FHL J1806.3+6948 , 2FGL J1806.7+6948 , 3C 371 , 271.5857 , 69.8019 , 100.1 , 29.21 , (14.46±3.64) e-11 , 2.2098 ± 0.3571 , 8.84 , (32.09±8.08) e-13 , (7.55±3.12) e-12 , 21.6283 , 1.11e-10 , -2.928e-11 +3.493e-11 , 2.29e-11 , -1.216e-11 +1.822e-11 , 8.33e-12 , -6.544e-12 +1.269e-11 , 7.99 , 4 , 1.59 , bzb , 0.051 , , N , 1 , ISP , 
406 , 1FHL J1809.3+2040 , 2FGL J1809.4+2042 , RX J1809.3+2041 , 272.3365 , 20.6802 , 47.34 , 18.24 , (7.2±3.18) e-11 , 2.362 ± 0.6263 , 4.51 , (16.92±7.45) e-13 , (3.3±2.15) e-12 , 21.0873 , 6.09e-11 , -2.535e-11 +3.374e-11 , 1.09e-11 , -7.861e-12 +1.528e-11 , < 3.74e-11 , - , 4.51 , 2.18 , 0 , bzb , 0 , , N , 1 , HSP , 
407 , 1FHL J1809.6+2910 , 2FGL J1809.7+2909 , MG2 J180948+2910 , 272.4105 , 29.167 , 55.76 , 21.29 , (12.7±4.08) e-11 , 2.483 ± 0.5118 , 6.07 , (3.52±1.13) e-12 , (5.32±2.55) e-12 , 19.6755 , 1.02e-10 , -3.279e-11 +4.069e-11 , 2.29e-11 , -1.372e-11 +2.143e-11 , < 3.48e-11 , - , 6.32 , 2.87 , 0 , bzb , 0 , , N , 1 , - , 
408 , 1FHL J1809.8-2329 , 2FGL J1809.8-2332 , LAT PSR J1809-2332 , 272.4624 , -23.4958 , 7.42 , -1.98 , (46.07±8.54) e-11 , 4.6977 ± 0.7423 , 10.38 , (6.06±1.1) e-11 , (10.11±2.16) e-12 , 12.4578 , 4.34e-10 , -7.741e-11 +8.61e-11 , 1.64e-11 , -1.208e-11 +2.135e-11 , < 4.04e-11 , - , 10.18 , 1.83 , 0 , HPSR , 0 , , N , 1 , , 
409 , 1FHL J1813.4+3145 , 2FGL J1813.5+3143 , B2 1811+31 , 273.3715 , 31.7517 , 58.67 , 21.39 , (10.26±3.53) e-11 , 2.6071 ± 0.5633 , 5.58 , (3.48±1.2) e-12 , (3.95±1.99) e-12 , 18.167 , 9.44e-11 , -2.978e-11 +3.691e-11 , 9.69e-12 , -7.645e-12 +1.482e-11 , < 3.50e-11 , - , 6.42 , 1.6 , 0 , bzb , 0.117 , , N , 1 , ISP , 
410 , 1FHL J1823.7-3455 , 2FGL J1823.6-3453 , NVSS J182338-345412 , 275.9286 , -34.9189 , 358.66 , -9.97 , (27.61±6.04) e-11 , 1.9124 ± 0.2726 , 9.62 , (41.72±9.13) e-13 , (19.38±7.25) e-12 , 25.9905 , 1.72e-10 , -4.377e-11 +5.191e-11 , 8.31e-11 , -2.814e-11 +3.597e-11 , 1.48e-11 , -1.169e-11 +2.081e-11 , 7.6 , 6.76 , 1.53 , agu , 0 , , N , 1 , - , 
411 , 1FHL J1824.5-1351e , 2FGL J1824.5-1351e , HESS J1825-137 , 276.13 , -13.8521 , 17.56 , -0.46 , (22.94±3.06) e-10 , 1.8082 ± 0.1238 , 9.06 , (15.47±1.97) e-12 , (18.07±2.91) e-11 , 40.4444 , 1.17e-9 , -2.576e-10 +2.673e-10 , 7.34e-10 , -1.372e-10 +1.459e-10 , 2.40e-10 , -7.5e-11 +8.536e-11 , 4.89 , 6.4 , 3.96 , PWN , 0 , HESS J1825-137 , E , 1 , , HESS J1825-137
412 , 1FHL J1826.2-1450 , 2FGL J1826.3-1450 , LS 5039 , 276.5736 , -14.8481 , 16.88 , -1.3 , (36.14±8.99) e-11 , 1.7225 ± 0.2527 , 6.08 , (32.02±7.91) e-13 , (3.14±1.14) e-11 , 35.0338 , 1.83e-10 , -6.3e-11 +7.425e-11 , 1.21e-10 , -4.377e-11 +5.369e-11 , 3.54e-11 , -2.192e-11 +3.294e-11 , 3.91 , 4.21 , 2.35 , HMB , 0 , LS 5039 , P , 1 , , 
413 , 1FHL J1828.9-2417 , 2FGL J1829.3-2419 , 1RXS J182853.8-241746 , 277.2456 , -24.2844 , 8.78 , -6.22 , (17.61±5.31) e-11 , 2.3181 ± 0.4278 , 5.41 , (3.67±1.1) e-12 , (8.37±3.71) e-12 , 22.2264 , 1.29e-10 , -4.104e-11 +5.02e-11 , 2.98e-11 , -1.693e-11 +2.524e-11 , 1.34e-11 , -9.604e-12 +1.865e-11 , 5.36 , 2.92 , 2.35 , agu , 0 , , N , 1 , HSP , 
414 , 1FHL J1830.6-0147 , , , 277.6612 , -1.7911 , 28.96 , 3.8 , (19.66±6.77) e-11 , 2.3314 ± 0.4627 , 4.33 , (3.65±1.24) e-12 , (9.24±4.33) e-12 , 23.3335 , 1.48e-10 , -5.404e-11 +6.453e-11 , 2.46e-11 , -1.838e-11 +3.153e-11 , 1.34e-11 , -9.546e-12 +1.857e-11 , 3.65 , 1.75 , 2.4 , , 0 , , N , 1 , , 
415 , 1FHL J1833.7-2105 , 2FGL J1833.6-2104 , PKS 1830-211 , 278.4281 , -21.0865 , 12.14 , -5.74 , (26.52±6.3) e-11 , 3.8986 ± 0.7586 , 8.21 , (24.08±5.66) e-12 , (6.48±1.89) e-12 , 13.4638 , 2.55e-10 , -5.651e-11 +6.523e-11 , < 4.55e-11 , - , < 4.15e-11 , - , 8.56 , 0 , 0 , bzq , 2.507 , , N , 1 , - , 
416 , 1FHL J1834.6-0703 , 2FGL J1834.7-0705c , , 278.6677 , -7.0645 , 24.73 , 0.48 , (5.4±1.25) e-10 , 2.5923 ± 0.4742 , 5.22 , (16.57±3.82) e-12 , (20.99±7.88) e-12 , 18.8811 , 3.87e-10 , -1.054e-10 +1.169e-10 , 1.05e-10 , -4.306e-11 +5.356e-11 , < 7.14e-11 , - , 4.63 , 3.46 , 0 , spp , 0 , , N , 1 , , 
