_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
960 , 274.355 , -25.16228 , 274.342407 , -25.145201 , "6.78" , "-4.29" , "SWIFT J1817.4-25" , "CV" , "XMMSL1 J181722" , 6 , 14.46 , 11.25 , 17.88 , 0 , -9.9 , 4.69 , 1.9 , 3.1 , 2.65 , 3.65
961 , 273.98667 , 42.614 , 274.048737 , 42.660831 , "70.07" , "24.19" , "SWIFT J1816.0+42" , "Sy2 Galaxy pa" , " " , 8.6 , 19.22 , 15.09 , 23.69 , 0.041 , 43.882 , 3.27 , 2.2 , 1.79 , 1.51 , 2.1
962 , 274.02875 , 49.84931 , 274.055542 , 49.867832 , "77.83" , "25.89" , "SWIFT J1816.1+49" , "CV/AM Her" , " " , 27.1 , 36.17 , 33.76 , 38.69 , 0 , -9.9 , 1.08 , 3.5 , 3.18 , 3.03 , 3.33
963 , 275.10792 , -14.55247 , 275.125488 , -14.5731 , "16.48" , "0.09" , "SWIFT J1820.4-14" , "HMXB" , " " , 9 , 27.06 , 22.8 , 31.59 , 0 , -9.9 , 3.13 , 1.2 , 2.47 , 2.19 , 2.77
964 , 275.34542 , -13.33775 , 275.332001 , -13.3108 , "17.66" , "0.46" , "SWIFT J1821.4-13" , "HMXB" , "IGR J18214-131" , 10.2 , 30.21 , 25.72 , 34.98 , 0 , -9.9 , 2.76 , 1 , 2.37 , 2.11 , 2.64
965 , 276.06458 , -56.38583 , 276.080811 , -56.369202 , "338.41" , "-18.76" , "SWIFT J1824.3-56" , "Sy2" , " " , 15.5 , 42.55 , 38.04 , 47.22 , 0.017 , 43.438 , 1.83 , 2.1 , 1.99 , 1.84 , 2.15
966 , 275.88708 , -30.36392 , 275.91861 , -30.361099 , "2.77" , "-7.9" , "SWIFT J1823.7-30" , "LMXB/NS" , " " , 514.8 , 952.9 , 950.5 , 955.2 , 0 , -9.9 , 0.3 , 261.6 , 5.16 , 5.14 , 5.17
967 , 275.41417 , 59.89106 , 275.361908 , 59.922501 , "89.03" , "26.89" , "SWIFT J1821.6+59" , "Sy1" , " " , 5.6 , 14.37 , 9.67 , 19.6 , 0.099 , 44.552 , 5.05 , 1.1 , 1.33 , 0.8 , 1.86
968 , 275.40167 , 64.33239 , 275.4888 , 64.343399 , "93.98" , "27.45" , "SWIFT J1822.0+64" , "Sy1" , " " , 13.4 , 18.85 , 15.83 , 22.12 , 0.297 , 45.725 , 2.11 , 0.2 , 2.43 , 2.19 , 2.71
969 , 276.09833 , -14.42042 , 276.098999 , -14.4154 , "17.05" , "-0.7" , "SWIFT J1824.4-14" , "Pulsar" , "XTE J1824-141" , 8.2 , 18.99 , 15.71 , 22.52 , 0 , -9.9 , 3.45 , 0.5 , 3.33 , 2.89 , 3.84
970 , 276.08458 , 18.77908 , 276.045135 , 18.769083 , "46.99" , "14.25" , "SWIFT J1824.2+18" , "Sy2" , " " , 6.8 , 18.25 , 13.5 , 23.51 , 0.067 , 44.298 , 4.13 , 0.8 , 1.88 , 1.47 , 2.31
971 , 276.47625 , -37.09144 , 276.445007 , -37.105301 , "356.87" , "-11.31" , "SWIFT J1825.7-37" , "LMXB" , "V691 CrA" , 235.3 , 492.2 , 489.3 , 495.2 , 0 , -9.9 , 0.32 , 498.1 , 3.65 , 3.63 , 3.66
972 , 276.36292 , -0.01233 , 276.342102 , -0.0122 , "29.94" , "5.77" , "SWIFT J1825.4+00" , "LMXB/NS" , " " , 28.3 , 49.34 , 47.12 , 51.59 , 0 , -9.9 , 1.03 , 1.2 , 5.52 , 5.27 , 5.8
973 , 276.51625 , -7.16956 , 276.489899 , -7.173 , "23.65" , "2.32" , "SWIFT J1826.1-07" , "Sy1" , " " , 7 , 20.96 , 16.42 , 25.9 , 0.037 , 43.823 , 4.03 , 0.5 , 2.27 , 1.91 , 2.66
974 , 276.55708 , -14.86547 , 276.562988 , -14.848 , "16.86" , "-1.3" , "SWIFT J1826.2-14" , "HMXB" , "RX J1826.2-145" , 6.3 , 31.75 , 25.59 , 38.3 , 0 , -9.9 , 4.44 , 0.3 , 1.48 , 1.17 , 1.79
975 , 276.65667 , 32.88064 , 276.63501 , 32.858334 , "60.81" , "19.16" , "SWIFT J1826.8+32" , "Sy2" , " " , 7.6 , 18.05 , 13.61 , 22.86 , 0.022 , 43.297 , 3.71 , 0.8 , 1.76 , 1.43 , 2.12
976 , 277.38417 , -23.78547 , 277.367493 , -23.7913 , "9.28" , "-6.1" , "SWIFT J1829.4-23" , "LMXB/NS" , "V4634 Sgr" , 598 , 1692 , 1687 , 1696 , 0 , -9.9 , 0.3 , 569.4 , 2.32 , 2.31 , 2.32
977 , 276.4325 , 72.20561 , 276.589691 , 72.150597 , "102.87" , "27.68" , "SWIFT J1825.7+72" , "Galaxy pair" , " " , 5 , 8.51 , 5.29 , 12.29 , -1 , -9.9 , 5.65 , 0.7 , 2.13 , 1.59 , 2.82
978 , 277.40458 , 48.781 , 277.381989 , 48.745998 , "77.26" , "23.5" , "SWIFT J1829.4+48" , "Sy1.5 LPQ" , " " , 6.9 , 18.22 , 13.77 , 23.04 , 0.692 , 46.585 , 4.07 , 1.6 , 1.55 , 1.2 , 1.9
979 , 277.70875 , 9.47561 , 277.710999 , 9.4783 , "39.09" , "8.85" , "SWIFT J1830.8+09" , "Sy2" , " " , 4.8 , 3.11 , 0.94 , 6.58 , 0.019 , 42.404 , 5.84 , 0.3 , 3.97 , 1.82 , 0
980 , 278.40958 , -21.07014 , 278.416199 , -21.0611 , "12.15" , "-5.72" , "SWIFT J1833.7-21" , "Blazar" , " " , 18.3 , 85.43 , 79.04 , 91.97 , 2.5 , 48.629 , 1.56 , 0.5 , 1.46 , 1.35 , 1.58
981 , 278.37708 , -10.56164 , 278.383301 , -10.56 , "21.5" , "-0.88" , "SWIFT J1833.7-10" , "SNR" , " " , 26.3 , 79.37 , 74.36 , 84.51 , 0 , -9.9 , 1.11 , 1 , 2.15 , 2.04 , 2.25
982 , 278.91 , -32.99869 , 278.932007 , -32.990601 , "1.51" , "-11.36" , "SWIFT J1835.6-32" , "LMXB/NS" , " " , 78.1 , 235.6 , 230.7 , 240.6 , 0 , -9.9 , 0.47 , 1.4 , 2.15 , 2.12 , 2.18
983 , 279.28208 , -59.41961 , 279.242889 , -59.402401 , "335.97" , "-21.37" , "SWIFT J1836.9-59" , "Sy2" , " " , 6.6 , 14.16 , 10.63 , 18.1 , 0.02 , 43.118 , 4.23 , 1.2 , 2.48 , 2.08 , 2.96
984 , 278.76583 , 32.68778 , 278.764099 , 32.696301 , "61.29" , "17.44" , "SWIFT J1835.0+32" , "Sy1" , " " , 38.1 , 86.31 , 82.03 , 90.66 , 0.058 , 44.84 , 0.79 , 0.4 , 2.05 , 1.98 , 2.13
985 , 279.56458 , -65.43481 , 279.584808 , -65.427597 , "329.76" , "-23.18" , "SWIFT J1838.4-65" , "Sy2" , " " , 46.7 , 111.7 , 107.6 , 116 , 0.013 , 43.645 , 0.67 , 11.3 , 2.13 , 2.08 , 2.19
986 , 279.72542 , -57.27639 , 279.776306 , -57.251537 , "338.23" , "-20.94" , "SWIFT J1839.1-57" , "SRC/X-RAY" , "SWIFT J1839.1-" , 8.8 , 19.64 , 15.71 , 23.91 , -1 , -9.9 , 3.21 , 0.7 , 2.37 , 2.04 , 2.74
987 , 279.50917 , -6.90347 , 279.513 , -6.9259 , "25.26" , "-0.19" , "SWIFT J1837.9-06" , "PSR/PWN" , "HESS J1837-069" , 16.3 , 65.79 , 59.78 , 71.97 , 0 , -9.9 , 1.75 , 0.2 , 1.64 , 1.5 , 1.78
988 , 279.99083 , 5.02961 , 279.989594 , 5.0358 , "36.11" , "4.83" , "SWIFT J1840.0+05" , "LMXB/NS" , "MM Ser" , 188.2 , 306.3 , 304.2 , 308.4 , 0 , -9.9 , 0.33 , 19.1 , 5.89 , 5.85 , 5.94
989 , 280.23417 , -5.60436 , 280.251801 , -5.5963 , "26.74" , "-0.23" , "SWIFT J1840.9-05" , "HMXB" , "IGR J18410-053" , 9.1 , 22.98 , 18.88 , 27.43 , 0 , -9.9 , 3.1 , 0.8 , 2.59 , 2.27 , 2.96
990 , 280.31833 , -4.94583 , 280.330597 , -4.9364 , "27.37" , "-0.01" , "SWIFT J1841.2-04" , "AXP" , "PSR B1841-04" , 20.3 , 99.94 , 93.37 , 106.6 , 0 , -9.9 , 1.41 , 2.5 , 1.34 , 1.24 , 1.43
991 , 280.55208 , -11.42136 , 280.539856 , -11.447458 , "21.71" , "-3.17" , "SWIFT J1842.5-11" , "Transient" , " " , 25.3 , 74.98 , 69.83 , 80.26 , 0 , -9.9 , 1.15 , 0.5 , 2.03 , 1.92 , 2.14
992 , 281.1575 , -62.36819 , 281.224915 , -62.364799 , "333.18" , "-23.07" , "SWIFT J1844.5-62" , "Sy1" , " " , 16.2 , 40.36 , 36.16 , 44.74 , 0.014 , 43.259 , 1.75 , 4.4 , 2.09 , 1.94 , 2.24
993 , 282.01167 , -78.52636 , 281.76181 , -78.530403 , "315.75" , "-26.38" , "SWIFT J1848.0-78" , "Sy1" , " " , 8 , 16.63 , 12.83 , 20.76 , 0.074 , 44.349 , 3.51 , 0.9 , 2.06 , 1.73 , 2.41
994 , 281.23708 , -4.55025 , 281.258789 , -4.5653 , "28.14" , "-0.64" , "SWIFT J1844.9-04" , "HMXB" , "IGR J18450-043" , 12.3 , 37.58 , 32.29 , 43.16 , 0 , -9.9 , 2.3 , 1 , 2.03 , 1.81 , 2.27
995 , 281.39542 , 0.87161 , 281.403931 , 0.86366 , "33.04" , "1.7" , "SWIFT J1845.7+00" , "HMXB" , " " , 32.9 , 82.92 , 78.55 , 87.38 , 0 , -9.9 , 0.9 , 4.6 , 2.44 , 2.35 , 2.53
996 , 281.64042 , -2.97044 , 281.60199 , -2.974 , "29.73" , "-0.28" , "SWIFT J1846.5-02" , "Pulsar" , "PSR J1846-0258" , 12.9 , 41.81 , 36.33 , 47.55 , 0 , -9.9 , 2.2 , 0.9 , 1.89 , 1.69 , 2.1
997 , 282.04292 , -3.17478 , 282.075012 , -3.1617 , "29.73" , "-0.73" , "SWIFT J1848.2-03" , "HMXB/NS/SGFXT" , " " , 34 , 78.77 , 74.66 , 82.98 , 0 , -9.9 , 0.88 , 3.9 , 2.61 , 2.52 , 2.71
998 , 283.48458 , -78.90331 , 283.667908 , -78.898392 , "315.37" , "-26.71" , "SWIFT J1856.5-78" , "Sy1" , " " , 5.3 , 10.96 , 7.09 , 15.31 , 0.029 , 43.321 , 5.29 , 0.9 , 1.93 , 1.43 , 2.53
999 , 282.09583 , 0.66825 , 282.227509 , 0.584133 , "33.17" , "0.98" , "SWIFT J1848.4+00" , "Nova" , " " , 5 , 8.74 , 6.11 , 11.76 , 0 , -9.9 , 5.62 , 1 , 3.72 , 2.93 , 4.84
1000 , 282.11417 , -0.76514 , 282.105591 , -0.7764 , "31.91" , "0.31" , "SWIFT J1848.5-00" , "SRC/Radio" , "G31.89724+0.31" , 6.7 , 16.82 , 12.59 , 21.59 , -1 , -9.9 , 4.16 , 0.6 , 2.47 , 2.03 , 2.98
1001 , 280.63958 , 79.77506 , 280.537506 , 79.7714 , "111.44" , "27.05" , "SWIFT J1842.0+79" , "Sy1" , " " , 50.7 , 101.2 , 97.5 , 105 , 0.056 , 44.881 , 0.63 , 0.8 , 2.01 , 1.96 , 2.06
1002 , 282.26583 , -0.07794 , 282.256989 , -0.02194 , "32.59" , "0.49" , "SWIFT J1849.1-00" , "XRB" , "2MASS J8490182" , 8.2 , 32.26 , 26.33 , 38.55 , 0 , -9.9 , 3.41 , 0.8 , 1.59 , 1.32 , 1.87
1003 , 281.47333 , 72.21839 , 281.359314 , 72.1838 , "103.04" , "26.15" , "SWIFT J1845.4+72" , "Sy2" , " " , 6.8 , 11.54 , 8.33 , 15.16 , 0.046 , 43.765 , 4.12 , 0.8 , 2.2 , 1.8 , 2.67
1004 , 284.32833 , -78.50678 , 284.282288 , -78.472504 , "315.83" , "-26.84" , "SWIFT J1856.2-78" , "Sy1" , " " , 11 , 24.22 , 20.08 , 28.61 , 0.042 , 43.999 , 2.57 , 0.3 , 1.97 , 1.72 , 2.23
1005 , 283.28167 , -8.69728 , 283.270294 , -8.7057 , "25.36" , "-4.33" , "SWIFT J1853.0-08" , "LMXB/NS" , " " , 49.4 , 136.5 , 131.8 , 141.4 , 0 , -9.9 , 0.64 , 1.6 , 2.27 , 2.21 , 2.33
1006 , 283.19667 , 30.05433 , 283.206299 , 30.0746 , "60.3" , "12.93" , "SWIFT J1852.8+30" , " " , " " , 5.5 , 13.64 , 9.4 , 18.44 , -1 , -9.9 , 5.1 , 1.8 , 1.96 , 1.49 , 2.48
1007 , 283.76125 , -31.14947 , 283.759308 , -31.1635 , "4.97" , "-14.36" , "SWIFT J1855.0-31" , "CV/DQ Her" , " " , 53.4 , 117.7 , 114.1 , 121.4 , 0 , -9.9 , 0.6 , 10.7 , 2.93 , 2.87 , 3
1008 , 284.205 , -54.69589 , 284.205811 , -54.708302 , "341.67" , "-22.6" , "SWIFT J1856.6-54" , "Sy1" , " " , 5.7 , 15.62 , 11.18 , 20.55 , 0.056 , 44.073 , 4.92 , 0.3 , 1.99 , 1.56 , 2.47
1009 , 283.88583 , -2.63358 , 283.876709 , -2.6046 , "31.05" , "-2.12" , "SWIFT J1855.5-02" , "HMXB/NS" , " " , 80.8 , 197.8 , 193.5 , 202 , 0 , -9.9 , 0.46 , 25 , 2.55 , 2.51 , 2.58
1010 , 283.87583 , 5.27183 , 283.861115 , 5.3336 , "38.08" , "1.5" , "SWIFT J1855.5+05" , " " , " " , 5.3 , 17.99 , 0 , 0 , -1 , -9.9 , 5.32 , 0.4 , 1.24 , 0 , 0
1011 , 283.98042 , 15.63375 , 284.002106 , 15.632 , "47.39" , "6.09" , "SWIFT J1856.1+15" , "Sy1" , "2E 1853.7+1534" , 11.9 , 30.18 , 25.85 , 34.75 , 0.084 , 44.723 , 2.37 , 0.5 , 2.15 , 1.94 , 2.38
1012 , 284.20167 , 5.32358 , 284.178589 , 5.3094 , "38.28" , "1.23" , "SWIFT J1856.8+05" , "HMXB/ BH cand" , " " , 9 , 29.23 , 0 , 0 , 0 , -9.9 , 3.11 , 3.5 , 1.83 , 0 , 0
1013 , 281.87208 , 84.43481 , 281.718445 , 84.418358 , "116.67" , "27.08" , "SWIFT J1852.2+84" , "SRC/X-RAY" , " " , 5.4 , 8.79 , 0 , 0 , -1 , -9.9 , 5.18 , 1.2 , 0.59 , 0 , 0
1014 , 281.87208 , 84.43481 , 282.601013 , 84.377823 , "116.67" , "27.08" , "SWIFT J1852.2+84" , "SRC/X-RAY" , "1RXS J185014.9" , 5.4 , 7.92 , 0 , 0 , -1 , -9.9 , 5.18 , 1.5 , 2.43 , 0 , 0
1015 , 284.72458 , 3.44153 , 284.678986 , 3.434 , "36.84" , "-0.09" , "SWIFT J1858.9+03" , "HMXB/NS" , " " , 5.8 , 10.54 , 7.53 , 14.02 , 0 , -9.9 , 4.83 , 0.6 , 3.3 , 2.64 , 4.26
1016 , 285.05 , -24.93867 , 285.036011 , -24.9205 , "11.29" , "-12.9" , "SWIFT J1900.2-24" , "LMXB/msPSR" , " " , 168.9 , 483.2 , 478.5 , 488 , 0 , -9.9 , 0.34 , 26.2 , 2.28 , 2.26 , 2.29
1017 , 285.4025 , 1.45072 , 285.420807 , 1.4385 , "35.38" , "-1.61" , "SWIFT J1901.6+01" , "XRB/NS" , " " , 19.3 , 55.37 , 50.57 , 60.33 , 0 , -9.9 , 1.48 , 1.4 , 2.11 , 1.98 , 2.25
1018 , 285.98458 , 33.81458 , 285.954803 , 33.844692 , "64.8" , "12.32" , "SWIFT J1903.9+33" , "Galaxy" , " " , 7.3 , 19.68 , 15.13 , 24.55 , 0.015 , 43.003 , 3.86 , 1.2 , 1.69 , 1.36 , 2.02
1019 , 286.34375 , 42.51458 , 286.358093 , 42.461014 , "73.13" , "15.56" , "SWIFT J1905.4+42" , "Sy1" , " " , 6 , 11.14 , 7.52 , 15.2 , 0.028 , 43.297 , 4.71 , 1 , 2.03 , 1.59 , 2.53
1020 , 286.83292 , -20.81914 , 286.841095 , -20.7808 , "15.83" , "-12.7" , "SWIFT J1907.3-20" , "CV" , " " , 6.4 , 11.69 , 8.88 , 14.83 , 0 , -9.9 , 4.42 , 1 , 3.74 , 3.07 , 4.66
1021 , 287.41375 , 9.842 , 287.407898 , 9.8303 , "43.75" , "0.47" , "SWIFT J1909.6+09" , "HMXB/NS" , " " , 86.5 , 180.2 , 177.2 , 183.2 , 0 , -9.9 , 0.44 , 154.7 , 3.5 , 3.46 , 3.54
1022 , 287.71875 , 7.59667 , 287.700012 , 7.5961 , "41.9" , "-0.83" , "SWIFT J1910.8+07" , "HMXB/NS" , "2MASS J1910482" , 104 , 261 , 257 , 265 , 0 , -9.9 , 0.4 , 38.8 , 2.62 , 2.59 , 2.64
1023 , 287.81667 , 0.61011 , 287.816711 , 0.585 , "35.74" , "-4.14" , "SWIFT J1911.2+00" , "LMXB" , " " , 78.8 , 205.3 , 200.6 , 209.9 , 0 , -9.9 , 0.47 , 2.3 , 2.31 , 2.27 , 2.34
1024 , 288.28333 , -50.15514 , 288.311493 , -50.182919 , "347.14" , "-23.83" , "SWIFT J1913.3-50" , "Sy2" , " " , 5 , 19.33 , 13.87 , 25.27 , 0.063 , 44.26 , 5.55 , 0.2 , 1.46 , 1.04 , 1.89
1025 , 287.94708 , 4.97739 , 287.956512 , 4.9827 , "39.68" , "-2.24" , "SWIFT J1912.0+05" , "uQuasar" , " " , 59.8 , 133.1 , 129.4 , 136.8 , 0 , -9.9 , 0.56 , 13.2 , 2.81 , 2.76 , 2.87
1026 , 288.53 , 9.89231 , 288.517609 , 9.8829 , "44.31" , "-0.48" , "SWIFT J1914.0+09" , "HMXB" , "2MASS J1914042" , 38.1 , 102.9 , 98.74 , 107.1 , 0 , -9.9 , 0.79 , 15.5 , 2.47 , 2.4 , 2.53
1027 , 288.80542 , 10.96697 , 288.798309 , 10.9456 , "45.38" , "-0.22" , "SWIFT J1915.3+10" , "LMXB/BH" , " " , 1904.6 , 4325 , 4322 , 4329 , 0 , -9.9 , 0.3 , 106.7 , 3.08 , 3.08 , 3.08
1028 , 289.69208 , -5.23622 , 289.699493 , -5.2381 , "31.35" , "-8.46" , "SWIFT J1918.6-05" , "LMXB/NS" , "V1405 Aql" , 80.3 , 197.5 , 193 , 202 , 0 , -9.9 , 0.46 , 1.9 , 2.48 , 2.44 , 2.52
1029 , 289.83917 , -29.96542 , 289.866699 , -29.9694 , "8.17" , "-18.76" , "SWIFT J1919.4-29" , "Sy1.9" , " " , 6.1 , 15.46 , 11.44 , 19.96 , 0.167 , 45.075 , 4.58 , 0.6 , 2.53 , 2.09 , 3.08
1030 , 290.29 , -58.70658 , 290.30899 , -58.6703 , "338.14" , "-26.71" , "SWIFT J1921.1-58" , "Sy1" , " " , 21.6 , 54.42 , 50.04 , 58.92 , 0.036 , 44.213 , 1.33 , 2.7 , 2.06 , 1.95 , 2.18
1031 , 290.30333 , 43.96653 , 290.188904 , 43.961899 , "75.71" , "13.5" , "SWIFT J1921.1+43" , "Galaxy Cluste" , " " , 21.1 , 24.08 , 21.88 , 26.42 , 0.056 , 44.251 , 1.36 , 1.4 , 3.58 , 3.34 , 3.86
1032 , 290.68167 , -17.29719 , 290.654205 , -17.284201 , "20.68" , "-14.56" , "SWIFT J1922.7-17" , "XRB/ uQuasar?" , " " , 13.5 , 38.13 , 33.23 , 43.28 , 0 , -9.9 , 2.1 , 0.9 , 2.18 , 1.98 , 2.39
1033 , 291.09875 , 50.22519 , 291.137787 , 50.241402 , "81.83" , "15.59" , "SWIFT J1924.5+50" , "Symb/WD" , "2MASS J1924330" , 9 , 11.85 , 9.74 , 14.16 , 0 , -9.9 , 3.11 , 1.3 , 3.43 , 3.02 , 3.94
1034 , 291.25042 , 50.68636 , 291.259094 , 50.720402 , "82.31" , "15.69" , "SWIFT J1925.0+50" , "Galaxy" , "1RXS J192503.1" , 5.1 , 10.42 , 6.92 , 14.4 , -1 , -9.9 , 5.53 , 0.8 , 1.99 , 1.52 , 2.52
1035 , 291.66125 , 41.56247 , 291.625824 , 41.551418 , "73.92" , "11.57" , "SWIFT J1926.9+41" , "Sy2" , " " , 7 , 13.01 , 9.49 , 16.97 , 0.071 , 44.204 , 4.02 , 0.9 , 2.28 , 1.88 , 2.77
1036 , 292.53625 , 18.34828 , 292.482086 , 18.310719 , "53.59" , "0.08" , "SWIFT J1929.8+18" , "HMXB, SFXT?" , "IGR 19294+1816" , 6.9 , 12.67 , 9.66 , 16.08 , 0 , -9.9 , 4.05 , 0.9 , 3 , 2.54 , 3.58
1037 , 292.54958 , 34.19356 , 292.557495 , 34.1805 , "67.58" , "7.6" , "SWIFT J1930.5+34" , "Sy1" , " " , 12.5 , 27.44 , 23.34 , 31.75 , 0.063 , 44.417 , 2.26 , 1.1 , 1.96 , 1.76 , 2.17
1038 , 291.99 , 73.93986 , 291.951996 , 73.967003 , "105.6" , "23.52" , "SWIFT J1928.0+73" , "BL Lac LPQ" , " " , 5.9 , 12.5 , 8.86 , 16.55 , 0.302 , 45.564 , 4.72 , 0.5 , 1.89 , 1.49 , 2.33
1039 , 293.44125 , 32.93528 , 293.448303 , 32.906101 , "66.82" , "6.35" , "SWIFT J1933.9+32" , "Sy1.2 QSO" , "1RXS J193347.6" , 10.1 , 20.98 , 17.03 , 25.25 , 0.058 , 44.224 , 2.78 , 0.9 , 2.12 , 1.85 , 2.41
1040 , 294.54333 , -51.17281 , 294.51828 , -51.163776 , "346.94" , "-27.93" , "SWIFT J1938.1-51" , "Sy1.2" , " " , 6.5 , 15.05 , 11.12 , 19.44 , 0.04 , 43.75 , 4.29 , 0.3 , 2.3 , 1.9 , 2.78
1041 , 294.38083 , -6.22308 , 294.388 , -6.218 , "32.58" , "-13.08" , "SWIFT J1937.5-06" , "Sy1.5" , " " , 9.8 , 23.21 , 19.05 , 27.7 , 0.01 , 42.735 , 2.87 , 0.7 , 2.51 , 2.22 , 2.85
1042 , 295.11042 , -30.25419 , 295.062866 , -30.2644 , "9.55" , "-23.14" , "SWIFT J1940.4-30" , "Sy2" , "2MASX J1940150" , 7.3 , 21.63 , 16.85 , 26.79 , 0.052 , 44.142 , 3.87 , 0.8 , 2.04 , 1.71 , 2.38
1043 , 295.04875 , -10.43522 , 295.047791 , -10.4236 , "28.97" , "-15.51" , "SWIFT J1940.3-10" , "CV/AM Her" , " " , 23.5 , 49.28 , 45.62 , 53.08 , 0 , -9.9 , 1.23 , 1 , 2.96 , 2.81 , 3.12
1044 , 295.6475 , -10.33839 , 295.669403 , -10.3235 , "29.32" , "-16" , "SWIFT J1942.6-10" , "Sy1.5" , " " , 24.8 , 77.27 , 71.93 , 82.75 , 0.005 , 42.667 , 1.17 , 1.4 , 1.95 , 1.85 , 2.06
1045 , 295.97792 , 21.28558 , 295.984192 , 21.3064 , "57.74" , "-1.3" , "SWIFT J1943.5+21" , "SRC/X-ray" , "IGR J19443+211" , 11.5 , 28.29 , 23.88 , 32.98 , -1 , -9.9 , 2.46 , 0.4 , 2.12 , 1.88 , 2.37
1046 , 296.39667 , 27.36233 , 296.414001 , 27.3654 , "63.19" , "1.4" , "SWIFT J1945.6+27" , "HMXB" , " " , 14.4 , 23.44 , 20.73 , 26.35 , 0 , -9.9 , 1.97 , 2.2 , 3.15 , 2.91 , 3.43
1047 , 296.86208 , 44.83547 , 296.830688 , 44.8284 , "78.65" , "9.71" , "SWIFT J1947.3+44" , "Sy2" , " " , 11.4 , 23.95 , 20.22 , 27.92 , 0.054 , 44.219 , 2.47 , 1.1 , 2.11 , 1.9 , 2.35
1048 , 297.38667 , 30.22547 , 297.377106 , 30.206699 , "66.1" , "2.1" , "SWIFT J1949.5+30" , "HMXB/NS" , " " , 23.1 , 44.47 , 40.85 , 48.22 , 0 , -9.9 , 1.25 , 1.2 , 2.46 , 2.33 , 2.6
1049 , 298.05792 , 2.50203 , 298.06601 , 2.507 , "42.25" , "-12.31" , "SWIFT J1952.4+02" , "Sy2" , " " , 10.3 , 34.33 , 28.82 , 40.12 , 0.059 , 44.457 , 2.74 , 1 , 1.68 , 1.46 , 1.92
1050 , 298.25 , 32.92989 , 298.230988 , 32.9296 , "68.81" , "2.84" , "SWIFT J1953.0+32" , "SNR" , "CBT 80" , 5.9 , 13.44 , 9.39 , 17.95 , 0 , -9.9 , 4.73 , 0.9 , 2 , 1.58 , 2.51
1051 , 298.93042 , 32.09992 , 298.926392 , 32.097 , "68.39" , "1.92" , "SWIFT J1955.8+32" , "LMXB" , "TYC 2673-2004-" , 162.7 , 277.3 , 274.2 , 280.4 , 0 , -9.9 , 0.35 , 119.8 , 2.82 , 2.8 , 2.84
1052 , 299.57042 , 32.55128 , 299.560394 , 32.544998 , "69.06" , "1.69" , "SWIFT J1958.3+32" , "CV/DQ Her" , " " , 9.4 , 15.61 , 12.69 , 18.87 , 0 , -9.9 , 3.01 , 0.8 , 2.89 , 2.53 , 3.31
1053 , 299.56333 , 35.20175 , 299.590302 , 35.201599 , "71.32" , "3.08" , "SWIFT J1958.4+35" , "HMXB/BH" , " " , 8580.1 , 21860 , 21860 , 21870 , 0 , -9.9 , 0.3 , 35867 , 1.82 , 1.82 , 1.82
1054 , 299.82958 , 11.72444 , 299.850861 , 11.709 , "51.31" , "-9.31" , "SWIFT J1959.3+11" , "LMXB" , "V1408 Aql" , 11.1 , 19 , 15.72 , 22.59 , 0 , -9.9 , 2.55 , 0.8 , 2.99 , 2.63 , 3.41
1055 , 299.88042 , 40.73353 , 299.868195 , 40.733898 , "76.19" , "5.74" , "SWIFT J1959.4+40" , "Sy2" , " " , 57.8 , 137.6 , 133.4 , 142 , 0.056 , 45.014 , 0.57 , 3.4 , 1.92 , 1.88 , 1.97
1056 , 300.23917 , -18.15369 , 300.232147 , -18.174292 , "23.67" , "-23.25" , "SWIFT J2001.0-18" , "Sy1 merger" , "IRAS 19580-181" , 6.9 , 20.9 , 15.94 , 26.34 , 0.037 , 43.829 , 4.06 , 1.1 , 2.01 , 1.67 , 2.39
1057 , 300.06917 , 32.18489 , 300.091309 , 32.1894 , "68.97" , "1.14" , "SWIFT J2000.6+32" , "HMXB" , "2MASS J2000218" , 27 , 52.13 , 48.48 , 55.89 , 0 , -9.9 , 1.08 , 0.4 , 2.46 , 2.34 , 2.58
1058 , 299.99125 , 65.13831 , 299.99939 , 65.148499 , "97.99" , "17.66" , "SWIFT J1959.6+65" , "BL Lac" , "1ES 1959+650" , 22.8 , 34.26 , 31.23 , 37.42 , 0.047 , 44.251 , 1.26 , 0.4 , 2.59 , 2.44 , 2.75
1059 , 301.7525 , -34.54411 , 301.738007 , -34.548 , "6.75" , "-29.74" , "SWIFT J2007.0-34" , "Sy1 GPAIR" , "ESO 399-IG 020" , 7.4 , 17.93 , 13.58 , 22.72 , 0.025 , 43.406 , 3.79 , 1.2 , 2.28 , 1.91 , 2.7
1060 , 301.57583 , 36.69797 , 301.594574 , 36.694221 , "73.45" , "2.49" , "SWIFT J2006.4+36" , "New src" , " " , 5.9 , 11.72 , 8.33 , 15.53 , -1 , -9.9 , 4.77 , 1 , 2.33 , 1.91 , 2.84
1061 , 302.24292 , -61.08358 , 302.195404 , -61.100201 , "335.8" , "-32.82" , "SWIFT J2009.0-61" , "Sy1" , " " , 21.8 , 53.18 , 48.68 , 57.83 , 0.015 , 43.422 , 1.32 , 1.4 , 1.98 , 1.87 , 2.11
