_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
72 , 20.94667 , -58.78453 , 20.9408 , -58.805698 , "295.05" , "-57.85" , "SWIFT J0123.9-58" , "Sy1" , " " , 27.4 , 49.46 , 45.98 , 53.03 , 0.047 , 44.411 , 1.06 , 2.3 , 2.03 , 1.94 , 2.13
73 , 21.4725 , 35.17097 , 21.4832 , 35.176102 , "130.84" , "-27.17" , "SWIFT J0126.0+35" , "QSO" , " " , 5 , 9.83 , 6.23 , 14.06 , 0.312 , 45.492 , 5.56 , 1.5 , 2.03 , 1.53 , 2.62
74 , 21.48917 , 15.27481 , 21.491922 , 15.303808 , "135.13" , "-46.78" , "SWIFT J0126.2+15" , "Sy1" , " " , 6.2 , 13.36 , 9.36 , 17.83 , 0.111 , 44.627 , 4.56 , 1.9 , 2 , 1.6 , 2.48
75 , 21.87667 , 19.17347 , 21.885635 , 19.178833 , "134.58" , "-42.88" , "SWIFT J0127.5+19" , "Sy1.5" , " " , 7.4 , 13.32 , 9.87 , 17.21 , 0.017 , 42.958 , 3.8 , 2.2 , 2.36 , 1.99 , 2.83
76 , 22.00083 , -18.82625 , 22.027988 , -18.808598 , "170.19" , "-78.19" , "SWIFT J0128.0-18" , "Sy1/NLSy1" , " " , 8.8 , 19.74 , 15.39 , 24.46 , 0.046 , 43.992 , 3.21 , 0.6 , 1.9 , 1.59 , 2.25
77 , 22.09833 , 16.5015 , 22.10165 , 16.459274 , "135.6" , "-45.46" , "SWIFT J0128.4+16" , "Galaxy" , " " , 6.4 , 14.72 , 10.56 , 19.36 , 0.039 , 43.707 , 4.36 , 0.8 , 1.89 , 1.51 , 2.31
78 , 22.19167 , -60.65269 , 22.281799 , -60.645 , "294.78" , "-55.89" , "SWIFT J0128.9-60" , "Galaxy" , " " , 5.5 , 9.4 , 6.29 , 12.96 , -1 , -9.9 , 5.12 , 0.7 , 2.1 , 1.65 , 2.65
79 , 22.42958 , -42.32439 , 22.4636 , -42.3265 , "278.19" , "-72.92" , "SWIFT J0130.0-42" , "Sy2" , " " , 6.1 , 8.86 , 6 , 12.23 , 0.026 , 43.122 , 4.63 , 0.2 , 2.43 , 1.95 , 3.07
80 , 22.53875 , -45.84264 , 22.588699 , -46.029202 , "283.13" , "-69.78" , "SWIFT J0130.2-45" , "Galaxy" , " " , 4.9 , 6.72 , 2.98 , 11.28 , -1 , -9.9 , 5.77 , 0.7 , 1.58 , 0.74 , 2.47
81 , 22.97958 , -33.07086 , 22.960083 , -33.119278 , "249.55" , "-79.43" , "SWIFT J0131.8-33" , "Sy2" , " " , 6.9 , 14.41 , 10.49 , 18.74 , 0.016 , 42.945 , 4.09 , 0.7 , 1.85 , 1.48 , 2.25
82 , 23.48042 , -36.504 , 23.490601 , -36.493301 , "261.71" , "-77.01" , "SWIFT J0134.1-36" , "Sy2" , " " , 22.3 , 54.99 , 50.56 , 59.53 , 0.03 , 44.049 , 1.29 , 1.2 , 1.56 , 1.46 , 1.67
83 , 23.69667 , -4.51961 , 23.690166 , -4.503639 , "149.4" , "-65.14" , "SWIFT J0134.8-04" , "AGN" , "1RXS J013445.2" , 9.3 , 22.68 , 18.06 , 27.62 , 0.079 , 44.542 , 3.02 , 1.6 , 1.68 , 1.42 , 1.97
84 , 24.12292 , 39.15247 , 24.135401 , 39.099899 , "132.39" , "-22.89" , "SWIFT J0136.5+39" , "BL Lac" , " " , 4.9 , 11.88 , 7.53 , 16.8 , -1 , -9.9 , 5.78 , 0.7 , 1.6 , 1.08 , 2.15
