_id , fermibsl_name , other_name , RA , Dec , LII , BII , Sqrt(TS) , Variability Flag , Gamma flux ph/cm2/s , Source classification , 95% conf. radius 
98 , 0FGL J1253.4+5300 , CRATES J1253+5301 , 193.36875 , 53.001 , 122.22 , 64.12 , 12.1 , F , (5.2+/-1.5)10^-8 , BL Lac , 9.2
99 , 0FGL J1256.1-0547 , CGRaBS J1256-0547 , 194.03375 , -5.8 , 305.08 , 57.05 , 36.8 , T , (28.3+/-1.8)10^-8 , FSRQ , 4.7
100 , 0FGL J1310.6+3220 , CGRaBS J1310+3220 , 197.65583 , 32.339 , 85.45 , 83.33 , 27.3 , T , (15.5+/-1.1)10^-8 , FSRQ , 6.2
101 , 0FGL J1311.9-3419 , UNDEFINED , 197.99792 , -34.318 , 307.75 , 28.35 , 12.5 , F , < 1.510^-7 , Unidentified , 12.2
102 , 0FGL J1325.4-4303 , BZU J1325-4301 , 201.35292 , -43.062 , 309.5 , 19.37 , 12.4 , F , (21.9+/-2.4)10^-8 , MDB (Radio galaxy) , 18.2
103 , 0FGL J1326.6-5302 , UNDEFINED , 201.65083 , -53.047 , 308.27 , 9.45 , 13.2 , F , < 1.710^-7 , Unidentified , 11.5
104 , 0FGL J1328.8-5604 , UNDEFINED , 202.22167 , -56.079 , 308.17 , 6.4 , 10.6 , T , (16+/-4.3)10^-8 , Unidentified , 8.5
105 , 0FGL J1331.7-0506 , CGRaBS J1332-0509 , 202.93458 , -5.112 , 321.24 , 56.31 , 14.3 , T , (10.4+/-1.2)10^-8 , FSRQ , 16.7
106 , 0FGL J1333.3+5058 , CLASS J1333+5057 , 203.33083 , 50.97297 , 107.3 , 64.86 , 12.4 , F , (8.8+/-1.3)10^-8 , FSRQ , 13.1
107 , 0FGL J1355.0-1044 , CRATES J1354-1041 , 208.76375 , -10.735 , 327.21 , 49.11 , 11.5 , T , (8.4+/-1.3)10^-8 , FSRQ , 9.8
108 , 0FGL J1413.1-6203 , UNDEFINED , 213.29167 , -62.063 , 312.34 , -0.7 , 16.8 , F , (4.7+/-2.2)10^-7 , Unidentified , 5.8
109 , 0FGL J1418.8-6058 , LAT PSR J1418-60 , 214.71792 , -60.979 , 313.33 , 0.11 , 25.8 , F , (4.6+/-2.3)10^-7 , Pulsar , 4.4
110 , 0FGL J1427.1+2347 , CRATES J1427+2347 , 216.79375 , 23.785 , 29.46 , 68.16 , 24.1 , F , (4.2+/-1)10^-8 , BL Lac , 4.4
111 , 0FGL J1430.5-5918 , UNDEFINED , 217.63375 , -59.30097 , 315.28 , 1.17 , 10.4 , F , (3+/-1.2)10^-7 , Unidentified , 7.1
