_id , wmap5_name , RA , Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
129 , "WMAP5 J0808-0750" , 122.06458 , -7.85278 , "229.04" , "13.16" , 1.837 , "Blazar Q-type" , 1599 , 1595 , 1300 , 1300 , 1200 , 1300 , 900 , 125.636 , "PKS0805-07 "
130 , "WMAP5 J0813+4817" , 123.4 , 48.21694 , "171.17" , "33.23" , 0.871 , "Misd. NT-AGN QSO-type" , 4504 , 15010 , 1000 , 1000 , 700 , 700 , "628" , 113.6928 , "3C196 "
131 , "WMAP5 J0816-2425" , 124.16833 , -24.35139 , "244.32" , "6.12" , 0 , "Unidentified " , 270 , 191 , 800 , 1000 , 1100 , 800 , "718" , 133.3557 , "PMNJ0816-2421 "
132 , "WMAP5 J0823+2225" , 125.85208 , 22.38722 , "201.36" , "29.67" , 0.951 , "Blazar B-type" , 1392 , 2272 , 1100 , 1200 , 1200 , 600 , "538" , 122.1404 , " "
133 , "WMAP5 J0824+3914" , 126.23125 , 39.27833 , "182.14" , "34.19" , 1.216 , "Blazar Q-type" , 1031 , 1481 , 1200 , 1000 , 1100 , 1100 , 1400 , 118.3252 , "4C+39.23 "
134 , "WMAP5 J0825+0311" , 126.45958 , 3.15667 , "221.21" , "22.38" , 0.506 , "Blazar B-type" , 2064 , 1400 , 1600 , 1900 , 1900 , 1600 , "1436" , 127.3222 , "PKS0823+033 "
135 , "WMAP5 J0831+2411" , 127.71667 , 24.18333 , "200.02" , "31.87" , 0.94 , "Blazar Q-type" , 886 , 739 , 1300 , 1300 , 1500 , 1500 , 1300 , 123.4052 , "B20827+24 "
136 , "WMAP5 J0834+5533" , 128.73083 , 55.575 , "162.22" , "36.56" , 0.24 , "Blazar Unknown-type" , 5740 , 8283 , 900 , 700 , 500 , 1100 , 700 , 115.061 , " "
137 , "WMAP5 J0836-2015" , 129.16333 , -20.28306 , "243.57" , "12.23" , 2.752 , "Blazar Q-type" , 1712 , 1971 , 2800 , 2400 , 2300 , 1800 , 800 , 137.5448 , "PKS0834-20 "
138 , "WMAP5 J0838+5822" , 129.34333 , 58.41694 , "158.66" , "36.6" , 2.101 , "Blazar Q-type" , 717 , 690 , 1100 , 1100 , 900 , 1000 , "897" , 114.4922 , "S40833+58 "
139 , "WMAP5 J0840+1312" , 130.19875 , 13.20639 , "212.96" , "30.13" , 0.681 , "Misd. NT-AGN QSO-type" , 1244 , 2613 , 1900 , 2000 , 1800 , 1000 , "897" , 128.3829 , "3C207.0 "
140 , "WMAP5 J0841+7053" , 130.35125 , 70.895 , "143.54" , "34.42" , 2.172 , "Blazar Q-type" , 2342 , 3823 , 1700 , 1700 , 1800 , 1500 , 500 , 108.6167 , "4C71.07 "
141 , "WMAP5 J0847-0704" , 131.98542 , -7.05444 , "233.74" , "21.95" , 0 , "Blazar B-type" , 444 , 184 , 900 , 1000 , 1000 , 1200 , "1077" , 135.8531 , " "
