_id , bzcat5_name , other_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux_density_1.4/0.843GHz , Flux_density143GHz , X-ray flux0.1-2.4keV , Comment_on_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100 GeV, aro-aox-arx
346 , "5BZBJ0211+1051 " , "PLCKERC217G152.5" , 32.80492 , 10.85967 , "152.57" , "-47.37" , "0 " , 15.4 , "BL Lac" , 319 , 1228 , 3.83 , ". " , " " , " " , 2.6e-9 , 0.408
347 , "5BZUJ0211-1558 " , "1RXSJ021149.9-15" , 32.95733 , -15.97192 , "186.13" , "-68.28" , "0.177 " , 17.1 , "Blazar Uncertain type" , 95 , 0 , 0.75 , ". " , " " , " " , 0 , 0.456
348 , "5BZBJ0212-3503 " , "RXSJ02125-3503 " , 33.12713 , -35.05844 , "242.52" , "-70.97" , "0.393 ? " , 18.7 , "BL Lac" , 18 , 0 , 1.91 , " ? " , " " , " " , 0 , 0.466
349 , "5BZBJ0212+2244 " , "1RXSJ021252.2+22" , 33.22008 , 22.74778 , "146.41" , "-36.39" , "0.459 " , 17 , "BL Lac" , 67 , 0 , 1.42 , ". " , " " , " " , 1e-9 , 0.357
350 , "5BZBJ0213+1213 " , "3EGJ0213+1213 " , 33.27158 , 12.21969 , "152.28" , "-45.95" , "0 " , 20.8 , "BL Lac" , 132 , 0 , 0 , ". " , " " , " " , 0 , 0.839
351 , "5BZQJ0213+1820 " , "CRATESJ021309+18" , 33.29387 , 18.34039 , "148.72" , "-40.4" , "1.817 " , 20.1 , "QSO RLoud flat radio sp." , 116 , 0 , 0 , ". " , " " , " " , 0 , 0.715
352 , "5BZGJ0214+5144 " , "GB6B0210+5131 " , 33.57471 , 51.74778 , "135.74" , "-9.05" , "0.049 " , 16.5 , "BL Lac-galaxy dominated" , 294 , 0 , 4.58 , ". " , " " , " " , 0 , 0.422
353 , "5BZQJ0215-0222 " , "GC0213-02 " , 33.92508 , -2.38244 , "165.7" , "-58.08" , "1.177 " , 20.7 , "QSO RLoud flat radio sp." , 482 , 0 , 0.27 , ". " , " " , " " , 0 , 0.913
354 , "5BZQJ0216-0118 " , "CRATESJ021607-01" , 34.02358 , -1.30092 , "164.64" , "-57.15" , "2.803 " , 18.7 , "QSO RLoud flat radio sp." , 122 , 0 , 0 , ". " , " " , " " , 0 , 0.613
355 , "5BZQJ0216-0105 " , "UM 416 " , 34.05088 , -1.08856 , "164.45" , "-56.97" , "1.492 " , 17.7 , "QSO RLoud flat radio sp." , 141 , 0 , 0.18 , ". " , " " , " " , 0 , 0.552
356 , "5BZBJ0216+2314 " , "1RXSJ021632.3+23" , 34.13371 , 23.24728 , "147.13" , "-35.6" , "0.288 " , 18.4 , "BL Lac Candidate" , 36 , 0 , 5.02 , ". " , " " , " " , 0 , 0.408
357 , "5BZQJ0216-7331 " , "1WGAJ0216.6-7331" , 34.186 , -73.52789 , "294.92" , "-42.25" , "2.679 " , 19 , "QSO RLoud flat radio sp." , 101 , 0 , 0.05 , ". " , " " , " " , 0 , 0.62
358 , "5BZQJ0216-3247 " , "BZQJ0216-3247 " , 34.20079 , -32.79469 , "235.15" , "-70.71" , "1.331 " , 18.3 , "QSO RLoud flat radio sp." , 166 , 0 , 0.2 , ". " , " " , " " , 0 , 0.617
359 , "5BZBJ0216-6636 " , "1FGL_J0217.9-663" , 34.21187 , -66.61181 , "290.36" , "-48.39" , "0 " , 17.1 , "BL Lac" , 103 , 0 , 2.71 , ". " , " " , " " , 7e-10 , 0.427
