_id , bzcat4_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4GHz, Flux density143GHz , X-ray flux0.1-2.4 keV , Commenton_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100GeV, Fermi_slope , aro-aox-arx, other_name
1377 , "BZBJ1103-2329 " , 165.90654 , -23.49172 , "273.19" , "33.07" , "0.186 " , 15.9 , "BL Lac" , 120 , 0 , 20.9 , ". " , "g " , ". " , 4.32e-10 , 1.8 , 0.318 , "1H 1100-230 "
1378 , "BZBJ1103+0022 " , 165.98396 , 0.37672 , "254.5" , "52.82" , "0.275 " , 16.6 , "BL Lac" , 63 , 0 , 0 , ". " , "gp " , ". " , 0 , 0 , 0.35 , "TGN368Z270 "
1379 , "BZBJ1104+3812 " , 166.11379 , 38.20883 , "179.83" , "65.03" , "0.03 " , 8.3 , "BL Lac" , 767 , 0 , 180 , ". " , "gp " , ". " , 1.76e-8 , 1.77 , -0.08 , "MKN421 "
1380 , "BZBJ1104+0730 " , 166.10029 , 7.51475 , "245.69" , "57.93" , "0 " , 17 , "BL Lac" , 78 , 0 , 0 , ". " , ". " , ". " , 5.14e-10 , 2.2 , 0.494 , "GB6B1101+0747 "
1381 , "BZQJ1104+6038 " , 166.22371 , 60.64869 , "143.81" , "51.94" , "1.363 " , 19.2 , "QSO RLoud flat radio sp." , 151 , 0 , 0.11 , ". " , ". " , ". " , 0 , 0 , 0.685 , "1WGA J1104.8+603"
1382 , "BZUJ1105+4653 " , 166.27946 , 46.88847 , "162.42" , "61.26" , "0.112 " , 16.3 , "Blazar Uncertain type" , 60 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.307 , "WE 1102+47W1 "
1383 , "BZQJ1104-2431 " , 166.19242 , -24.52383 , "274.04" , "32.29" , "1.666 " , 19.1 , "QSO RLoud flat radio sp." , 586 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.829 , "PKS 1102-242 "
1384 , "BZQJ1105-1813 " , 166.33 , -18.22028 , "270.42" , "37.86" , "0.578 " , 19.1 , "QSO RLoud flat radio sp." , 22 , 0 , 0.07 , ". " , ". " , ". " , 0 , 0 , 0.552 , "1WGA J1105.3-181"
1385 , "BZQJ1105+0202 " , 166.41246 , 2.04931 , "253.13" , "54.35" , "0.106 " , 15.3 , "QSO RLoud flat radio sp." , 254 , 0 , 0.67 , ". " , "g " , ". " , 0 , 0 , 0.411 , "1RXS J110540.7+0"
1386 , "BZUJ1105+3946 " , 166.47421 , 39.78247 , "176.12" , "64.75" , "0.099 " , 15.1 , "Blazar Uncertain type" , 43 , 0 , 0 , ". " , "gt " , ". " , 0 , 0 , 0.279 , "BZUJ1105+3946 "
