_id , 1whsp_name , other_name , BZcat_name , RA , Dec , WISE magnitudes , WISE mag2 , WISE mag3 , NVSS/FIRSTflux density , Redshift , Log(νpeak) , Log(peak flux) , γ-ray counterpart , Blazar type , Fermi γ-ray slope , TEV FOM, LII, BII
566 , "1WHSP J131106.47+003509" , "1RXSJ131106.4+003511" , "5BZBJ1311+0035 " , 197.77696 , 0.58611 , 0 , 13.1 , 0 , 17.8 , 0 , 15 , -11.9 , "3FGL J1311.0+0036 " , "Known blazar " , "1.5+/-0.28" , 0.25 , "313.82" , "63.03"
567 , "1WHSP J131155.77+085340" , "SHBLJ131156.0+08534 " , "5BZBJ1311+0853 " , 197.98238 , 8.89472 , 0 , 14.5 , 0 , 5.5 , 0.469 , ">17" , ">-11.8" , " -- " , "Known blazar " , " -- " , 0.32 , "318.76" , "71.13"
568 , "1WHSP J131248.77-235047" , " - " , " -- " , 198.20321 , -23.84647 , 0 , 13.2 , 0 , 28.9 , 0 , 15.3 , -11.9 , "3FGL J1312.7-2349 " , "Candidate blazar" , "1.8+/-0.12" , 0.25 , "309.2" , "38.76"
569 , "1WHSP J131312.11+610601" , " - " , " -- " , 198.30046 , 61.10044 , 0 , 14.5 , 0 , 8.3 , 0.45 , 15.2 , -12.9 , " -- " , "New blazar" , " -- " , 0.03 , "118.25" , "55.83"
570 , "1WHSP J131330.13+020105" , "1RXSJ131330.9+02010 " , "5BZBJ1313+0201 " , 198.37558 , 2.01828 , 0 , 13.4 , 0 , 61.3 , 0.356 , 15.5 , -12.2 , " -- " , "Known blazar " , " -- " , 0.13 , "315.74" , "64.33"
571 , "1WHSP J131503.39-423649" , "1RXSJ131503.3-423649" , "5BZGJ1315-4236 " , 198.76413 , -42.61381 , 0 , 12.9 , 0 , 13.9 , 0.105 , 17.6 , -10.9 , "3FGL J1314.7-4237 " , "Known blazar " , "2.1+/-0.21" , 2.51 , "307.55" , "20.04"
572 , "1WHSP J131532.62+113331" , "1RXSJ131531.9+113327" , " -- " , 198.88592 , 11.55883 , 0 , 13.8 , 0 , 20.7 , " > 0.61" , 16.7 , -11.7 , "3FGL J1315.4+1130 " , "New blazar" , "2+/-0.26" , 0.4 , "324.07" , "73.43"
573 , "1WHSP J131614.08+310456" , " - " , " -- " , 199.05867 , 31.08236 , 0 , 15 , 0 , 1.1 , 0.229 , 17.6 , -12.6 , " -- " , "New blazar" , " -- " , 0.05 , "70.52" , "83.29"
574 , "1WHSP J131639.84+205514" , "1RXSJ131639.8+205516" , " -- " , 199.16604 , 20.92081 , 0 , 13.6 , 0 , 12.9 , 0.255 , 16.1 , -12.3 , " -- " , "New blazar" , " -- " , 0.1 , "347.11" , "81.53"
575 , "1WHSP J131654.56+301454" , "1RXSJ131654.9+301454" , " -- " , 199.22737 , 30.24839 , 0 , 15 , 0 , 4.3 , 0 , ">15" , ">-12.5" , " -- " , "New blazar" , " -- " , 0.06 , "63.6" , "83.6"
576 , "1WHSP J131934.14+312911" , " - " , " -- " , 199.89229 , 31.48656 , 0 , 14.5 , 0 , 1.5 , 0 , 15.6 , -12.5 , " -- " , "Candidate blazar" , " -- " , 0.06 , "70" , "82.48"
577 , "1WHSP J132140.67-343752" , "NVSSJ13216-3437 " , " -- " , 200.4195 , -34.63122 , 0 , 12.8 , 0 , 22.2 , 0.142 , 16 , -12 , " -- " , "New blazar" , " -- " , 0.2 , "309.96" , "27.82"
578 , "1WHSP J132148.29-011158" , " - " , " -- " , 200.45125 , -1.19967 , 0 , 14.8 , 0 , 0.8 , 0 , "17.6?" , "-12.8?" , " -- " , "Candidate blazar" , " -- " , 0.03 , "318.61" , "60.74"
579 , "1WHSP J132231.48+134430" , "SDSSJ132231.46+13442" , "5BZGJ1322+1344 " , 200.63117 , 13.74175 , 0 , 13.9 , 0 , 8.2 , 0.377 , 16.8 , -12.4 , " -- " , "Known blazar " , " -- " , 0.08 , "332.93" , "74.77"
580 , "1WHSP J132239.29+494336" , "1RXSJ132239.5+494345" , " -- " , 200.66371 , 49.72675 , 0 , 14.5 , 0 , 6.6 , 0.33 , 17 , -12.4 , " -- " , "Known blazar " , " -- " , 0.08 , "110.15" , "66.62"
581 , "1WHSP J132244.24+664942" , " - " , " -- " , 200.68437 , 66.8285 , 0 , 14.4 , 0 , 14.7 , 0 , 15.2 , -12.6 , " -- " , "Candidate blazar" , " -- " , 0.05 , "118.15" , "50"
582 , "1WHSP J132301.01+043951" , "1RXSJ132301.1+044000" , "5BZGJ1323+0439 " , 200.75421 , 4.66431 , 0 , 13.2 , 0 , 37.1 , 0.224 , 16.8 , -11.9 , "3FGL J1322.9+0435 " , "Known blazar " , "1.7+/-0.2" , 0.25 , "322.84" , "66.3"
583 , "1WHSP J132358.37+140559" , "SDSSJ132358.36+14055" , "5BZBJ1323+1405 " , 200.99321 , 14.09986 , 0 , 13.2 , 0 , 31.3 , " > 0.47" , 15.4 , -12.1 , "3FGL J1323.9+1405 " , "Known blazar " , "2.1+/-0.14" , 0.16 , "334.76" , "74.92"
584 , "1WHSP J132531.78+662102" , "1REXJ13255+6621 " , "5BZBJ1325+6621 " , 201.38242 , 66.35083 , 0 , 14.5 , 0 , 5.2 , 0.21 , 16.7 , -12.5 , " -- " , "Known blazar " , " -- " , 0.06 , "117.57" , "50.42"
