_id ,egcat3_name , RA, Dec, Sp.index , Err.Sp.index , other_name , other_name1 , other_name2, LII, BII
173 , "3EG J1659-6251 " , 254.97 , -62.86 , 2.54 , 0.37 , "2EGS J1703-630" , " -------- " , " -------- " , "327.32" , "-12.47"
174 , "3EG J1704-4732 " , 256.12 , -47.54 , 1.86 , 0.33 , " -------- " , " -------- " , " -------- " , "340.1" , "-3.8"
175 , "3EG J1709-0828 " , 257.26 , -8.47 , 3 , 0.35 , "2EGS J1708-092" , " -------- " , " -------- " , "12.85" , "18.25"
176 , "3EG J1710-4439 " , 257.55 , -44.67 , 1.86 , 0.04 , "2EG J1710-4432" , "GEV J1709-4430" , "PSR B1706-44 " , "343" , "-2.87"
177 , "3EG J1714-3857 " , 258.52 , -38.96 , 2.3 , 0.2 , " -------- " , " -------- " , " -------- " , "348.04" , "-0.09"
178 , "3EG J1720-7820 " , 260.22 , -78.34 , 2.74 , 0.38 , "1716-771? " , " -------- " , " -------- " , "314.55" , "-22.18"
179 , "3EG J1717-2737 " , 259.3 , -27.63 , 2.23 , 0.15 , " -------- " , " -------- " , " -------- " , "357.66" , "5.95"
180 , "3EG J1718-3313 " , 259.56 , -33.22 , 2.59 , 0.21 , "2EG J1718-3310" , " -------- " , " -------- " , "353.2" , "2.55"
181 , "3EG J1719-0430 " , 259.79 , -4.51 , 2.2 , 0.24 , "(PLN) J1719-04" , " -------- " , " -------- " , "17.79" , "18.16"
182 , "3EG J1726-0807 " , 261.61 , -8.12 , 2.34 , 0.19 , " -------- " , " -------- " , " -------- " , "15.52" , "14.76"
183 , "3EG J1727+0429 " , 261.97 , 4.5 , 2.67 , 0.26 , "1725+044 " , " -------- " , " -------- " , "27.27" , "20.61"
184 , "3EG J1734-3232 " , 263.56 , -32.55 , 0 , 0 , "GEV J1732-3130" , " -------- " , " -------- " , "355.63" , "0.14"
185 , "3EG J1733-1313 " , 263.46 , -13.23 , 2.23 , 0.1 , "2EG J1735-1312" , "GEV J1732-1344" , "1730-130 " , "12" , "10.56"
186 , "3EG J1733+6017 " , 263.29 , 60.28 , 3 , 0.38 , "2EG J1731+6007" , " -------- " , " -------- " , "89.1" , "32.94"
187 , "3EG J1735-1500 " , 263.97 , -15 , 3.24 , 0.47 , " -------- " , " -------- " , " -------- " , "10.73" , "9.22"
188 , "3EG J1736-2908 " , 264.16 , -29.14 , 2.18 , 0.12 , "2EGS J1736-290" , " -------- " , " -------- " , "358.78" , "1.55"
