_id , fermi3fgl_name , other_name , Class , RA, Dec, Significance , Flux 1-100 GeV, Flux 1-100 GeV Error , Spectral Index , Spectral Index Error , Beta , Spectral Type , Power Law Index , TeV Cat , Gamma Assoc. , Prev. Fermi Assoc. , Variability index
575 , 3FGL J0519.3+2746 , 4C +27.15 , bcu , 79.84958 , 27.773 , 4.255 , 4.9e-10 , 1.18e-10 , 2.33 , 0.181 , -9.9 , PowerLaw , 2.33 , N , , , 36.898
576 , 3FGL J0516.7-6207 , PKS 0516-621 , bll , 79.18875 , -62.12108 , 38.549 , 2.79e-9 , 1.37e-10 , 2.145 , 0.034 , -9.9 , PowerLaw , 2.145 , N , , 1FGL J0516.7-6207 , 134.751
577 , 3FGL J0519.5+0852 , TXS 0516+087 , bcu , 79.87667 , 8.871 , 7.941 , 1.07e-9 , 1.71e-10 , 2.785 , 0.2 , 0.538 , LogParabo , 2.425 , N , , , 51.358
578 , 3FGL J0519.2-4542 , Pictor A , rdg , 79.80833 , -45.70728 , 4.749 , 3.23e-10 , 7.38e-11 , 2.485 , 0.176 , -9.9 , PowerLaw , 2.485 , N , , , 50.154
579 , 3FGL J0521.7+2113 , TXS 0518+211 , bll , 80.44292 , 21.22239 , 53.654 , 7.93e-9 , 2.62e-10 , 1.923 , 0.024 , -9.9 , PowerLaw , 1.923 , P , , 1FGL J0521.7+2114 , 239.791
580 , 3FGL J0521.7+0103 , NVSS J052140+010257 , bcu , 80.43542 , 1.05789 , 6.707 , 3.06e-10 , 8.15e-11 , 1.699 , 0.169 , -9.9 , PowerLaw , 1.699 , N , , 1FGL J0521.6+0103 , 50.91
581 , 3FGL J0521.4-1740 , TXS 0519-176 , fsrq , 80.3525 , -17.676 , 8.044 , 4.68e-10 , 8.34e-11 , 2.429 , 0.112 , -9.9 , PowerLaw , 2.429 , N , , , 47.146
582 , 3FGL J0521.9-3847 , PKS 0520-388 , bcu , 80.47625 , -38.78519 , 4.499 , 2.29e-10 , 6.44e-11 , 2.627 , 0.183 , -9.9 , PowerLaw , 2.627 , N , , , 98.704
583 , 3FGL J0523.7+3328 , , , 80.93208 , 33.47419 , 6.429 , 6.33e-10 , 1.33e-10 , 2.628 , 0.111 , -9.9 , PowerLaw , 2.628 , N , , , 38.823
584 , 3FGL J0522.9-3628 , PKS 0521-36 , BCU , 80.74125 , -36.4715 , 70.43 , 4.73e-9 , 1.80e-10 , 2.341 , 0.032 , 0.064 , LogParabo , 2.435 , N , , 1FGL J0522.8-3632 , 678.858
585 , 3FGL J0523.3-2528 , , , 80.83917 , -25.47628 , 26.143 , 1.77e-9 , 1.22e-10 , 2.154 , 0.045 , -9.9 , PowerLaw , 2.154 , N , , 1FGL J0523.5-2529 , 50.153
586 , 3FGL J0524.4+2839 , , , 81.12375 , 28.65478 , 9.199 , 8.97e-10 , 1.32e-10 , 2.124 , 0.111 , -9.9 , PowerLaw , 2.124 , N , , 1FGL J0524.1+2842 , 53.241
587 , 3FGL J0526.6+6321 , GB6 J0526+6317 , bcu , 81.65958 , 63.3585 , 6.169 , 3.37e-10 , 7.09e-11 , 2.54 , 0.121 , -9.9 , PowerLaw , 2.54 , N , , , 50.703
588 , 3FGL J0527.3+6647 , , , 81.83542 , 66.78458 , 4.96 , 2.05e-10 , 6.27e-11 , 1.852 , 0.202 , -9.9 , PowerLaw , 1.852 , N , , 1FGL J0527.6+6646 , 36.959
589 , 3FGL J0526.0+4253 , NVSS J052520+425520 , bcu , 81.52292 , 42.889 , 7.227 , 7.07e-10 , 1.18e-10 , 2.436 , 0.089 , -9.9 , PowerLaw , 2.436 , N , , , 54.263
590 , 3FGL J0526.4+2247 , , , 81.60875 , 22.798 , 6.019 , 6.71e-10 , 1.30e-10 , 2.405 , 0.169 , -9.9 , PowerLaw , 2.405 , N , , , 56.722
