_id ,plotkin10_name , RA, Dec, LII , BII , Redshift , SDSSclassification , RMAG , RadioFluxDensityat1.4GHz, other_name
 139 , "SDSS J091052.04+390202.1" , 137.71667 , 39.03392 , "183.6" , "43.02" , 0.199 , "H " , 17.8 , 8.27 ,,
 140 , "SDSS J091045.30+254812.8" , 137.68875 , 25.80356 , "201.24" , "41" , 0.384 , "H " , 19.4 , 38.68 ,,
 141 , "SDSS J091147.76+334916.7" , 137.94875 , 33.82131 , "190.71" , "42.75" , 0.456 , "H " , 18.6 , 390.88 ,,
 142 , "SDSS J091151.34+294929.4" , 137.96375 , 29.82483 , "196.06" , "42.12" , 0.446 , "H " , 18.9 , 30.2 ,,
 143 , "SDSS J091211.21+275927.9" , 138.04667 , 27.99108 , "198.5" , "41.82" , -1 , "H " , 18.8 , 2.28 ,,
 144 , "SDSS J091249.60+050317.7" , 138.20667 , 5.05492 , "225.71" , "33.57" , 0.452 , "H " , 20.5 , 20.04 ,,
 145 , "SDSS J091552.39+293324.0" , 138.96792 , 29.55667 , "196.65" , "42.93" , -1 , "H " , 15.9 , 356.43 ,,
 146 , "SDSS J091651.94+523828.3" , 139.21625 , 52.64119 , "164.89" , "43.04" , 0.19 , "H " , 17.8 , 72.56 ,,
 147 , "SDSS J091740.13+402929.8" , 139.41708 , 40.49161 , "181.63" , "44.36" , 0.721 , "H " , 19.4 , 99.75 ,,
 148 , "SDSS J091848.58+021321.8" , 139.70208 , 2.22272 , "229.55" , "33.43" , -1 , "H " , 18.5 , 5.53 ,,
 149 , "SDSS J092145.37+233548.1" , 140.43875 , 23.59669 , "204.98" , "42.83" , -1 , "H " , 18.2 , 18.4 ,,
 150 , "SDSS J092146.79+245541.3" , 140.44458 , 24.92814 , "203.22" , "43.19" , -1 , "H " , 19.9 , 12.08 ,,
 151 , "SDSS J092216.38+234645.5" , 140.56792 , 23.77931 , "204.78" , "43" , 0.635 , "H " , 18.9 , 22.6 ,,
 152 , "SDSS J092309.41+215523.8" , 140.78917 , 21.92328 , "207.29" , "42.66" , 0.542 , "H " , 19.3 , 0.97 ,,
 153 , "SDSS J092352.85+264959.6" , 140.97 , 26.83322 , "200.82" , "44.1" , 0.302 , "H " , 20.2 , 1.2 ,,
 154 , "SDSS J092401.04+053345.3" , 141.00417 , 5.56258 , "226.85" , "36.24" , -1 , "H " , 18.3 , 8.8 ,,
 155 , "SDSS J092542.88+595816.3" , 141.42833 , 59.97119 , "154.84" , "42.25" , -1 , "H " , 19.1 , 8 ,,
 156 , "SDSS J092543.65+312710.7" , 141.43167 , 31.453 , "194.53" , "45.34" , -1 , "H " , 18.5 , 392.89 ,,
 157 , "SDSS J092638.88+541126.6" , 141.66167 , 54.19075 , "162.35" , "44.11" , -1 , "H " , 19.4 , 38.8 ,,
 158 , "SDSS J092814.02+545848.3" , 142.05833 , 54.98008 , "161.21" , "44.12" , 0.775 , "L " , 20.4 , 1 ,,
 159 , "SDSS J092839.08+533152.2" , 142.1625 , 53.53117 , "163.14" , "44.57" , 1.001 , "H " , 19 , 1.22 ,,
 160 , "SDSS J092837.43+404845.2" , 142.15583 , 40.81256 , "181.13" , "46.43" , -1 , "H " , 18.3 , 8.63 ,,
 161 , "SDSS J092915.43+501336.1" , 142.31417 , 50.22669 , "167.66" , "45.42" , -1 , "H " , 16.5 , 503.44 ,,
 162 , "SDSS J092902.42+194525.1" , 142.26 , 19.757 , "210.69" , "43.29" , 1.774 , "H " , 19 , 6.23 ,,
 163 , "SDSS J092912.25+030029.9" , 142.30083 , 3.00831 , "230.39" , "36.05" , -1 , "H " , 20.1 , 1.01 ,,
 164 , "SDSS J092938.07+190502.0" , 142.40833 , 19.08389 , "211.62" , "43.2" , -1 , "H " , 19 , 4.7 ,,
 165 , "SDSS J093037.57+495025.6" , 142.65625 , 49.84044 , "168.13" , "45.71" , 0.187 , "H " , 18.1 , 15.65 ,,
 166 , "SDSS J093217.59+341232.8" , 143.07292 , 34.20911 , "190.79" , "47.01" , -1 , "H " , 19.3 , 0.95 ,,
 167 , "SDSS J093239.36+104235.1" , 143.16375 , 10.70978 , "222.36" , "40.57" , 0.361 , "H " , 18.4 , 28.65 ,,
 168 , "SDSS J093406.66+392632.1" , 143.5275 , 39.44225 , "183.09" , "47.52" , -1 , "H " , 19.5 , 121.62 ,,
 169 , "SDSS J093437.53+262232.6" , 143.65625 , 26.37572 , "202.2" , "46.34" , 3.37 , "H " , 20.1 , 0.9 ,,
 170 , "SDSS J093544.16+124031.6" , 143.93375 , 12.67544 , "220.44" , "42.11" , -1 , "H " , 20.2 , 0.92 ,,
 171 , "SDSS J093627.66+185003.3" , 144.115 , 18.83425 , "212.71" , "44.64" , -1 , "H " , 18.9 , 53.22 ,,
 172 , "SDSS J093807.86+371751.3" , 144.5325 , 37.29761 , "186.29" , "48.33" , 0.56 , "H " , 19.3 , 20.28 ,,
 173 , "SDSS J094022.44+614826.1" , 145.09333 , 61.80725 , "151.6" , "43.19" , 0.211 , "H " , 18.3 , 8.97 ,,
 174 , "SDSS J094245.30+541620.4" , 145.68875 , 54.27233 , "161.27" , "46.34" , -1 , "H " , 20.2 , 5.92 ,,
 175 , "SDSS J094257.82-004705.2" , 145.74083 , -0.78478 , "236.68" , "36.82" , 1.36 , "H " , 18.8 , 2.35 ,,
 176 , "SDSS J094432.33+573536.1" , 146.13458 , 57.59336 , "156.68" , "45.39" , -1 , "H " , 19.9 , 1.86 ,,
 177 , "SDSS J094542.23+575747.7" , 146.42583 , 57.96325 , "156.11" , "45.39" , 0.229 , "H " , 17.5 , 78.29 ,,
 178 , "SDSS J094604.46+473510.1" , 146.51833 , 47.58614 , "170.58" , "48.68" , 0.672 , "H " , 19.7 , 18.01 ,,
 179 , "SDSS J094620.22+010452.0" , 146.58417 , 1.08111 , "235.36" , "38.58" , 0.577 , "H " , 19.9 , 11.23 ,,
 180 , "SDSS J094740.32+345345.2" , 146.91792 , 34.89589 , "190.02" , "50.21" , -1 , "H " , 18.8 , 22.27 ,,
 181 , "SDSS J094738.58+221533.3" , 146.91042 , 22.25925 , "209.17" , "48.19" , -1 , "H " , 19.1 , 84.23 ,,
 182 , "SDSS J094827.06+083940.8" , 147.1125 , 8.66133 , "227.23" , "43.05" , 1.334 , "H " , 19.5 , 1.88 ,,
 183 , "SDSS J094853.60+085514.4" , 147.22333 , 8.92067 , "227" , "43.27" , 1.971 , "H " , 17 , 33.08 ,,
 184 , "SDSS J095003.47+061503.7" , 147.51417 , 6.25103 , "230.33" , "42.17" , -1 , "H " , 18.9 , 96.02 ,,
 185 , "SDSS J095041.07+233159.6" , 147.67083 , 23.53319 , "207.6" , "49.21" , 2.116 , "L " , 19 , 0.98 ,,
 186 , "SDSS J095125.90+504559.7" , 147.85792 , 50.76658 , "165.58" , "48.69" , 1.363 , "H " , 18.9 , 1.35 ,,
 187 , "SDSS J095127.82+010210.3" , 147.86583 , 1.03619 , "236.36" , "39.6" , 0.502 , "H " , 19.2 , 19.7 ,,
 188 , "SDSS J095214.70+393615.8" , 148.06125 , 39.60442 , "182.56" , "51.01" , -1 , "H " , 19.8 , 2.54 ,,
 189 , "SDSS J095409.86+491459.5" , 148.54083 , 49.24986 , "167.6" , "49.56" , -1 , "H " , 18.9 , 4.22 ,,
 190 , "SDSS J095438.39+234118.2" , 148.65958 , 23.68839 , "207.72" , "50.12" , 1.333 , "H " , 19.1 , 0.96 ,,
 191 , "SDSS J095507.88+355100.8" , 148.7825 , 35.85022 , "188.53" , "51.74" , 0.557 , "H " , 20.1 , 7.94 ,,
 192 , "SDSS J095501.87+083342.1" , 148.7575 , 8.56169 , "228.46" , "44.41" , -1 , "H " , 19.2 , 12.66 ,,
 193 , "SDSS J095550.54+555506.9" , 148.96042 , 55.91858 , "158.02" , "47.48" , -1 , "H " , 19.7 , 1.08 ,,
