_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1056 , "PBC J1841.3-0456" , 280.34667 , -4.92508 , "27.4" , "-0.02" , "(8+/-2.6)x10-11" , "Psr " , 0 , " -- " , "PSR B1841-04 "
1057 , "PBC J1842.3-1124" , 280.58167 , -11.41194 , "21.73" , "-3.19" , "(81.4+/-4.1)x10-12" , "X " , 0 , " -- " , "SWIFT J1842.5-"
1058 , "PBC J1847.4-7831" , 281.97458 , -78.51072 , "315.77" , "-26.37" , "(14.2+/-7.3)x10-12" , "Sy1 " , 0.074 , " -- " , "H 1846-786 "
1059 , "PBC J1844.8-6224" , 281.20792 , -62.38942 , "333.17" , "-23.1" , "(40.4+/-3.9)x10-12" , "Sy1 " , 0.014 , " -- " , "ESO140-43 "
1060 , "PBC J1844.9-0433" , 281.24 , -4.57156 , "28.12" , "-0.65" , "(33.6+/-7.1)x10-12" , "HXB " , 0 , " -- " , "IGR J18450-043"
1061 , "PBC J1845.6+0051" , 281.40583 , 0.86903 , "33.04" , "1.68" , "(79.9+/-4.1)x10-12" , "HXB " , 0 , " -- " , "Ginga 1843+009"
1062 , "PBC J1846.3-0258" , 281.62083 , -2.96681 , "29.72" , "-0.26" , "(39.3+/-6.6)x10-12" , "Psr " , 0 , " -- " , "PSR J1846-0258"
1063 , "PBC J1846.0+5607" , 281.51583 , 56.12675 , "85.68" , "22.96" , "(9.2+/-6.2)x10-12" , "X " , 0 , " -- " , "1RXS J184557.8"
1064 , "PBC J1842.0+7946" , 280.525 , 79.77764 , "111.44" , "27.07" , "(93.3+/-3)x10-12" , "Sy1 " , 0.056 , " -- " , "3C 390.3 "
1065 , "PBC J1848.2-0311" , 282.06042 , -3.17067 , "29.74" , "-0.74" , "(67.9+/-4.1)x10-12" , "HXB " , 0 , " -- " , "IGR J18483-031"
1066 , "PBC J1848.3-0045" , 282.1025 , -0.76656 , "31.9" , "0.32" , "(2+/-1.1)x10-11" , "gam " , 0 , " -- " , "IGR J18485-004"
1067 , "PBC J1853.9-7850" , 283.49083 , -78.84106 , "315.44" , "-26.7" , "(11+/-7.3)x10-12" , "Sy1 " , 0.029 , " -- " , "ESO 25-2 "
1068 , "PBC J1848.7+0039" , 282.17958 , 0.65928 , "33.2" , "0.9" , "(0.5+/-1)x10-11" , "No* " , 0 , " -- " , "NOVA Aql 1918 "
1069 , "PBC J1845.5+7212" , 281.35208 , 72.18867 , "103" , "26.18" , "(11.9+/-6.8)x10-12" , "Sy2 " , 0.046 , " -- " , "2MASX J1845262"
1070 , "PBC J1848.8-0002" , 282.24625 , -0.02306 , "32.63" , "0.53" , "(2.7+/-1.5)x10-11" , "IR " , 0 , " -- " , "2MASS J1849018"
1071 , "PBC J1857.4-7830" , 284.24708 , -78.50017 , "315.83" , "-26.82" , "(21.7+/-7.7)x10-12" , "Sy1 " , 0.042 , " -- " , "2E 1849.2-7832"
1072 , "PBC J1853.0-0841" , 283.2625 , -8.71078 , "25.34" , "-4.32" , "(117.7+/-3.6)x10-12" , "LXB " , 0 , " -- " , "3A 1850-087 "
1073 , "PBC J1854.9-3109" , 283.74625 , -31.16869 , "4.94" , "-14.35" , "(99.2+/-3)x10-12" , "DQ* " , 0 , " -- " , "V* V1223 Sgr "
1074 , "PBC J1856.9-5442" , 284.24167 , -54.70706 , "341.66" , "-22.62" , "(9.8+/-5.6)x10-12" , "X " , 0.056 , " -- " , "1RXS J185650.3"
1075 , "PBC J1855.5-0236" , 283.87333 , -2.60417 , "31.07" , "-2.09" , "(184.9+/-3.1)x10-12" , "HXB " , 0 , " -- " , "XTE J1855-026 "
1076 , "PBC J1856.0+1537" , 283.99708 , 15.63239 , "47.4" , "6.07" , "(29.8+/-4.9)x10-12" , "Sy1 " , 0.084 , " -- " , "2E 1853.7+1534"
1077 , "PBC J1856.6+0518" , 284.17792 , 5.31753 , "38.26" , "1.25" , "(34.7+/-5)x10-12" , "LXB " , 0 , " -- " , "XTE J1856+053 "
1078 , "PBC J1858.6+0324" , 284.69875 , 3.39006 , "36.78" , "-0.09" , "(8.3+/-4.8)x10-12" , "HXB " , 0 , " -- " , "XTE J1858+034 "
1079 , "PBC J1900.1-2454" , 285.0425 , -24.91189 , "11.31" , "-12.88" , "(455+/-3.2)x10-12" , "LXB " , 0 , " -- " , "HETE J1900.1-2"
1080 , "PBC J1901.6+0127" , 285.40125 , 1.46039 , "35.39" , "-1.6" , "(52.4+/-3.7)x10-12" , "XB* " , 0 , " -- " , "XTE J1901+014 "
1081 , "PBC J1903.7+3349" , 285.94917 , 33.83144 , "64.81" , "12.35" , "(13.4+/-8)x10-12" , "G " , 0.015 , " -- " , "2MASX J1903491"
1082 , "PBC J1905.3+4232" , 286.33875 , 42.53867 , "73.15" , "15.57" , "(13.6+/-7.7)x10-12" , "Sy1 " , 0.028 , " -- " , "2MASX J1905259"
1083 , "PBC J1907.2-2048" , 286.82208 , -20.81519 , "15.83" , "-12.69" , "(13.5+/-7.6)x10-12" , "CV* " , 0 , " -- " , "V1082SGR "
1084 , "PBC J1907.9-3924" , 286.97833 , -39.40647 , "357.93" , "-19.81" , "(8.6+/-5.1)x10-12" , "X " , 0.073 , " -- " , "1RXS J190749.9"
1085 , "PBC J1907.2+0918" , 286.80375 , 9.32583 , "43.02" , "0.77" , "(2.1+/-1.3)x10-11" , "Psr " , 0 , " -- " , "SGR 1900+14 "
1086 , "PBC J1909.6+0950" , 287.42208 , 9.84211 , "43.76" , "0.46" , "(172.3+/-3.2)x10-12" , "HXB " , 0 , " -- " , "H 1907+097 "
1087 , "PBC J1910.7+0735" , 287.69083 , 7.59325 , "41.88" , "-0.81" , "(227.9+/-3.3)x10-12" , "HXB " , 0 , " -- " , "4U 1909+07 "
