_id , ercsc143_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
524 , "PLCKERC143 G172.96+07.33"  ,, 89.75917 , 38.7025 , 172.96077 , 7.33651 , "444.9+/-65" , "245.51+/-46.9" , "406.9+/-39.05" , "1499.7+/-266.83" , 0.681 , 0 , 1 , 2 , "0.971+/-0.088"
525 , "PLCKERC143 G252.41-27.78"  ,, 89.7975 , -45.49944 , 252.41723 , -27.78861 , "276+/-46" , "212.58+/-32.1" , "221.6+/-20.74" , "1221.4+/-245.28" , 0.669 , 2 , 1 , 6 , "0.967+/-0.073"
526 , "PLCKERC143 G202.31-08.92"  ,, 90.03292 , 5.23028 , 202.31916 , -8.92747 , "1237.6+/-79" , "713.38+/-55.5" , "1192.4+/-56.55" , "2479.1+/-196.81" , 0.681 , 2 , 1 , 2 , "0.994+/-0.045"
527 , "PLCKERC143 G179.02+04.29"  ,, 90.13375 , 31.95306 , 179.0281 , 4.29983 , "1092.3+/-118" , "692.3+/-55.7" , "910.3+/-69.91" , "4534.9+/-485.04" , 0.681 , 0 , 1 , 3 , "0.995+/-0.046"
528 , "PLCKERC143 G246.05-26.21"  ,, 90.13833 , -39.62056 , 246.05277 , -26.21509 , "238.9+/-55" , "213.75+/-34.6" , "223.2+/-31.41" , "3543.4+/-1434.84" , 0.669 , 2 , 1 , 5 , "0.966+/-0.072"
529 , "PLCKERC143 G179.28+04.17"  ,, 90.15333 , 31.67222 , 179.28144 , 4.17622 , "790+/-101" , "517.79+/-55.1" , "709.3+/-60.61" , "2575.9+/-309.99" , 0.681 , 0 , 1 , 3 , "0.98+/-0.045"
530 , "PLCKERC143 G216.30-15.74"  ,, 90.20875 , -10.0275 , 216.305 , -15.74341 , "2151.8+/-145" , "504.56+/-53.4" , "1491.1+/-83.82" , "7106.3+/-421.77" , 0.681 , 0 , 1 , 2 , "0.986+/-0.044"
531 , "PLCKERC143 G281.03-29.63"  ,, 90.29375 , -70.59806 , 281.0304 , -29.63073 , "371.5+/-61" , "325.75+/-57.4" , "-93+/-99.46" , "-8.6+/-98.14" , 0.681 , 0 , 0 , 11 , "0.955+/-0.051"
532 , "PLCKERC143 G189.46-01.23"  ,, 90.51792 , 20.14917 , 189.4687 , -1.23229 , "922.2+/-72" , "543.31+/-78.5" , "780.7+/-34.27" , "1052.5+/-102.96" , 0.681 , 0 , 0 , 4 , "0.959+/-0.058"
533 , "PLCKERC143 G216.31-15.04"  ,, 90.85167 , -9.73806 , 216.31809 , -15.04726 , "1346.6+/-188" , "574.12+/-53.4" , "1063.2+/-64.5" , "2962.6+/-261.07" , 0.681 , 0 , 1 , 4 , "0.988+/-0.045"
