_id , fermi1lac_name , other_name , RA , Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
837 , 1FGL J1454.6+5125 , CRATES J1454+5124 , 223.6575 , 51.42478 , 87.66 , 56.42 , , (11.4+/-2.6) e-10 , 2.25 , 0.133 , < 4.43e-8 , (5.1+/-1.3) e-9 , (7.5+/-2.3) e-10 , (3.2+/-1.1) e-10 , < 2.07e-10 , BL Lac , N , 12.935
838 , 1FGL J1457.5-3540 , PKS 1454-354 , 224.37583 , -35.67528 , 329.89 , 20.51 , , (169+/-8.8) e-10 , 2.274 , 0.024 , (24.7+/-1.2) e-8 , (72.2+/-2.7) e-9 , (139+/-8.1) e-10 , (25.7+/-3.3) e-10 , (4.3+/-1.3) e-10 , FSRQ , N , 227.934
839 , 1FGL J1459.4-6053 , LAT PSR J1459-6053 , 224.87458 , -60.88769 , 317.88 , -1.8 , , (13.5+/-1.1) e-9 , 2.392 , 0.041 , (13.8+/-3.1) e-8 , (66.7+/-4.8) e-9 , (12+/-1) e-9 , (13.9+/-2.9) e-10 , < 3.38e-10 , Pulsar , N , 14.119
840 , 1FGL J1501.6-4204 , , 225.40875 , -42.082 , 327.29 , 14.54 , , (9.3+/-3.4) e-10 , 2.868 , 0.177 , (5.1+/-1.3) e-8 , < 4.94e-9 , (8.4+/-3.1) e-10 , < 3.37e-10 , < 1.54e-10 , Potential SNR , E , 5.891
841 , 1FGL J1501.1+2237 , MS 14588+2249 , 225.28167 , 22.62339 , 31.43 , 60.32 , , (20.9+/-3.2) e-10 , 1.858 , 0.099 , < 1.43e-8 , (4.1+/-1) e-9 , (13.9+/-2.8) e-10 , (4.2+/-1.3) e-10 , (28.8+/-9.9) e-11 , BL Lac , N , 17.693
842 , 1FGL J1503.4-5805c , , 225.87292 , -58.09928 , 319.66 , 0.41 , , (4.4+/-1) e-9 , 2.252 , 0.111 , < 9.22e-8 , < 2.27e-8 , (29.8+/-9.8) e-10 , (13.4+/-3.2) e-10 , < 3.14e-10 , Unassociated , N , 8.485
843 , 1FGL J1503.5-1544 , BZB J1503-1541 , 225.89417 , -15.74278 , 343.65 , 36.46 , , (11.6+/-3.6) e-10 , 1.741 , 0.187 , < 2.24e-8 , < 3.94e-9 , < 1.17e-9 , (3.7+/-1.3) e-10 , (26+/-9.9) e-11 , BL Lac , N , 6.616
844 , 1FGL J1503.3+4759 , CLASS J1503+4759 , 225.83042 , 47.98989 , 80.98 , 56.98 , , (6.1+/-2.2) e-10 , 2.544 , 0.182 , < 3.02e-8 , < 4.60e-9 , (5.6+/-2) e-10 , < 1.63e-10 , < 1.43e-10 , BL Lac , N , 15.076
845 , 1FGL J1504.4+1029 , PKS 1502+106 , 226.10208 , 10.49269 , 11.37 , 54.58 , , (67+/-1.5) e-9 , 2.221 , 0.01 , (75.5+/-1.4) e-8 , (239+/-3.7) e-9 , (54.2+/-1.4) e-9 , (117+/-6.3) e-10 , (10.9+/-1.8) e-10 , FSRQ , N , 308.983
846 , 1FGL J1505.1-3435 , CRATES J1505-3432 , 226.29708 , -34.59147 , 331.92 , 20.64 , , (7.6+/-3.1) e-10 , 2.02 , 0.188 , < 1.97e-8 , < 5.29e-9 , < 8.92e-10 , (3+/-1.2) e-10 , < 2.89e-10 , AGU , N , 9.936
