_id , pccs1f100_name , other_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
3703 , "PCCS1 100 G108.79+01.42 "  ,, 342.68583 , 60.945 , 108.79908 , 1.42922 , "738.4+/-115.7" , "2390.4+/-327.7" , "1713.6+/-80.8" , "5114.7+/-210.3" , 1 , "Yes" , 44 , 0 , "PLCKERC100 G108.79+01.42" , "21.5+/-1.3" , "13.8+/-0.9" , "24.3+/-0.000" , 17.2
3704 , "PCCS1 100 G108.37+00.44 "  ,, 342.80167 , 59.87833 , 108.37364 , 0.44932 , "431.4+/-92.4" , "1308.2+/-579.1" , "477.7+/-119.8" , "-" , 1 , "Not available" , 44 , 1 , " " , "-" , "-" , "-" , -9.9
3705 , "PCCS1 100 G111.24+06.02 "  ,, 342.98167 , 66.14389 , 111.24353 , 6.02248 , "300.2+/-61.9" , "480.2+/-211" , "359.6+/-36.1" , "1722.1+/-156.9" , 1 , "Yes" , 12 , 0 , " " , "27.2+/-3.5" , "14.6+/-2" , "31.3+/-0.000" , 19.9
3706 , "PCCS1 100 G108.57+00.51 "  ,, 343.09708 , 60.02889 , 108.5731 , 0.5186 , "553+/-104.2" , "562.3+/-560.1" , "587.9+/-109" , "957.3+/-165.3" , 1 , "No" , 45 , 1 , " " , "20.4+/-1.2" , "8.2+/-1.9" , "67.4+/-0.000" , 13
3707 , "PCCS1 100 G003.69-63.07 "  ,, 343.155 , -37.11167 , 3.69848 , -63.07433 , "252.4+/-46.7" , "213+/-193.9" , "224.8+/-42.7" , "-" , 1 , "Not available" , 1 , 0 , " " , "-" , "-" , "-" , -9.9
3708 , "PCCS1 100 G109.55+02.40 "  ,, 343.195 , 62.15944 , 109.55621 , 2.40962 , "741.1+/-105.5" , "1812.7+/-1503.9" , "1384.4+/-211.8" , "1531.1+/-498.6" , 1 , "No" , 45 , 1 , " " , "20.6+/-6.4" , "8.4+/-3.6" , "123+/-0.000" , 13.2
3709 , "PCCS1 100 G095.91-23.96 "  ,, 343.32917 , 32.63861 , 95.91822 , -23.96396 , "458.8+/-72.6" , "497+/-160.5" , "427.6+/-41.1" , "893.5+/-77.3" , 1 , "Yes" , 39 , 2 , " " , "20.8+/-2.6" , "11.3+/-1.5" , "20.5+/-0.000" , 15.3
3710 , "PCCS1 100 G109.75+02.58 "  ,, 343.40917 , 62.40417 , 109.75331 , 2.58566 , "675.9+/-107.6" , "3504.4+/-771.8" , "2329.6+/-147.1" , "1.2e+4+/-1031.8" , 1 , "Yes" , 47 , 1 , " " , "26.8+/-2.8" , "17+/-2" , "150.1+/-0.000" , 21.3
3711 , "PCCS1 100 G086.11-38.17 "  ,, 343.48583 , 16.15333 , 86.11018 , -38.17705 , "2.7e+4+/-206.3" , "2.7e+4+/-262.9" , "2.6e+4+/-330.4" , "2.8e+4+/-101.8" , 1 , "No" , 23 , 2 , "PLCKERC100 G086.12-38.18" , "10.8+/-0" , "9.4+/-0" , "167.7+/-0.000" , 10
3712 , "PCCS1 100 G107.91-01.38 "  ,, 343.5775 , 58.03306 , 107.91995 , -1.38332 , "400.5+/-81.7" , "593.5+/-268.7" , "462.6+/-50.4" , "1988+/-266.8" , 1 , "Yes" , 46 , 0 , " " , "26.5+/-4.4" , "16.1+/-3" , "136.7+/-0.000" , 20.7
3713 , "PCCS1 100 G084.43-40.26 "  ,, 343.59375 , 13.69417 , 84.43484 , -40.26867 , "685+/-59.1" , "840.8+/-143.4" , "737.2+/-38.9" , "1005+/-52.9" , 1 , "No" , 31 , 2 , "PLCKERC100 G084.42-40.28" , "12.1+/-0.8" , "11.4+/-0.8" , "162.7+/-0.000" , 11.8
3714 , "PCCS1 100 G108.78+00.23 "  ,, 343.72542 , 59.86972 , 108.7864 , 0.23796 , "721.4+/-143.3" , "1977.1+/-466.5" , "1474.2+/-82.8" , "-" , 1 , "Not available" , 41 , 2 , " " , "-" , "-" , "-" , -9.9
3715 , "PCCS1 100 G108.21-01.25 "  ,, 343.97917 , 58.27389 , 108.21528 , -1.25795 , "748.8+/-77.8" , "1029.1+/-513.7" , "667.4+/-120.7" , "638.4+/-141.9" , 1 , "No" , 52 , 2 , " " , "17.6+/-0.8" , "7.1+/-2" , "152.8+/-0.000" , 11.2
3716 , "PCCS1 100 G109.88+02.12 "  ,, 344.08333 , 62.04528 , 109.88101 , 2.12608 , "3941.6+/-103.4" , "6912.1+/-678.7" , "5730.3+/-129.7" , "8359.1+/-212" , 1 , "No" , 49 , 2 , "PLCKERC100 G109.87+02.10" , "13+/-0.4" , "11.9+/-0.4" , "11.1+/-0.000" , 12.4
3717 , "PCCS1 100 G108.37-01.06 "  ,, 344.0975 , 58.51722 , 108.37585 , -1.06477 , "1162.4+/-76.2" , "2396.1+/-520.9" , "1808.5+/-129.6" , "-" , 1 , "Not available" , 50 , 2 , "PLCKERC100 G108.39-01.07" , "-" , "-" , "-" , -9.9
3718 , "PCCS1 100 G041.54-62.88 "  ,, 344.17042 , -20.18861 , 41.54937 , -62.88963 , "501.8+/-60.3" , "327.3+/-154.4" , "415.4+/-34" , "340.2+/-44.9" , 1 , "No" , 1 , 1 , " " , "9.2+/-1.3" , "7.4+/-1.1" , "167.1+/-0.000" , 8.3
3719 , "PCCS1 100 G080.43-45.54 "  ,, 344.34042 , 7.71028 , 80.43803 , -45.54074 , "490.6+/-67.1" , "470.6+/-184" , "395.1+/-50.9" , "917+/-94.7" , 1 , "No" , 5 , 2 , "PLCKERC100 G080.44-45.53" , "18.5+/-2.7" , "10.5+/-1.5" , "102.5+/-0.000" , 14
3720 , "PCCS1 100 G110.25+02.57 "  ,, 344.40542 , 62.61333 , 110.25895 , 2.57601 , "3069.1+/-96.7" , "6993.6+/-968.2" , "5781.2+/-165.8" , "1.0e+4+/-384.5" , 1 , "No" , 46 , 2 , "PLCKERC100 G110.23+02.56" , "15.4+/-0.8" , "12.6+/-0.7" , "48.4+/-0.000" , 13.9
3721 , "PCCS1 100 G334.30-56.66 "  ,, 344.485 , -52.99222 , 334.30019 , -56.66518 , "238.2+/-48.9" , "518.6+/-178.8" , "321.7+/-39.4" , "1510+/-243.7" , 1 , "Yes" , 0 , 0 , " " , "20.3+/-4.7" , "17.9+/-4.3" , "91.5+/-0.000" , 19.1
3722 , "PCCS1 100 G024.35-64.91 "  ,, 344.51625 , -27.98583 , 24.35362 , -64.91416 , "2098.1+/-60.8" , "2201.9+/-179.6" , "2098.2+/-46" , "2280.8+/-56.2" , 1 , "No" , 1 , 2 , "PLCKERC100 G024.39-64.91" , "10.8+/-0.3" , "9.2+/-0.3" , "122.1+/-0.000" , 9.9
3723 , "PCCS1 100 G109.04-00.30 "  ,, 344.65458 , 59.48667 , 109.04718 , -0.3088 , "1356.2+/-129.3" , "4078.6+/-608.7" , "2931.6+/-135.2" , "6775.2+/-470.2" , 1 , "Yes" , 48 , 2 , "PLCKERC100 G109.04-00.32" , "17.2+/-1.9" , "14.6+/-1.7" , "38.5+/-0.000" , 15.8
3724 , "PCCS1 100 G108.76-00.94 "  ,, 344.685 , 58.79056 , 108.76841 , -0.94709 , "3573.1+/-118.1" , "5547.8+/-575.9" , "4699.1+/-112" , "7777.5+/-270.3" , 1 , "No" , 39 , 2 , "PLCKERC100 G108.74-00.94" , "15.4+/-0.8" , "12+/-0.6" , "138.9+/-0.000" , 13.6
3725 , "PCCS1 100 G094.89-28.10 "  ,, 344.69667 , 28.55972 , 94.89911 , -28.10941 , "309.3+/-63" , "262.2+/-226.8" , "236.7+/-45.3" , "728.7+/-146.3" , 1 , "Yes" , 49 , 0 , " " , "23.3+/-6.6" , "12.6+/-3.8" , "147.3+/-0.000" , 17.2
3726 , "PCCS1 100 G108.98-00.82 "  ,, 344.95542 , 58.99389 , 108.98039 , -0.82081 , "778+/-133.9" , "1392.8+/-492" , "943.8+/-222.5" , "440.5+/-96.2" , 1 , "No" , 40 , 1 , " " , "13.3+/-0.5" , "5.4+/-1.4" , "91.6+/-0.000" , 8.5
3727 , "PCCS1 100 G088.37-38.37 "  ,, 345.15708 , 16.94806 , 88.37387 , -38.37662 , "325.2+/-60.7" , "160+/-192.1" , "147.3+/-46.4" , "346.1+/-62.2" , 1 , "No" , 66 , 2 , " " , "16.5+/-0.7" , "6.6+/-1.5" , "179.7+/-0.000" , 10.5
3728 , "PCCS1 100 G110.61+02.50 "  ,, 345.18292 , 62.69611 , 110.61839 , 2.50149 , "523.5+/-99.7" , "145.3+/-1490.7" , "493.1+/-234.6" , "762.4+/-367.2" , 1 , "No" , 50 , 0 , " " , "11.7+/-6.9" , "10+/-6" , "129.9+/-0.000" , 10.8
3729 , "PCCS1 100 G110.54+02.27 "  ,, 345.24792 , 62.46417 , 110.54954 , 2.27787 , "702.9+/-115.6" , "1227.1+/-852.7" , "1137.6+/-141.7" , "-" , 1 , "Not available" , 54 , 1 , "PLCKERC100 G110.53+02.29" , "-" , "-" , "-" , -9.9
3730 , "PCCS1 100 G071.86-53.50 "  ,, 345.28208 , -1.94694 , 71.86035 , -53.50537 , "514.8+/-69.4" , "588.8+/-197.6" , "502+/-47.7" , "847.7+/-86.7" , 1 , "No" , 1 , 1 , "PLCKERC100 G071.83-53.49" , "15.6+/-2.1" , "10.8+/-1.6" , "46.6+/-0.000" , 13
3731 , "PCCS1 100 G099.92-20.47 "  ,, 345.39833 , 37.44083 , 99.9258 , -20.47502 , "478.3+/-53.8" , "404.5+/-192.6" , "344.9+/-48.4" , "878.9+/-80.9" , 1 , "No" , 10 , 2 , " " , "18.1+/-2.2" , "10.2+/-1.3" , "66+/-0.000" , 13.6
3732 , "PCCS1 100 G110.24+01.31 "  ,, 345.50292 , 61.45694 , 110.245 , 1.31049 , "852+/-106.9" , "799.8+/-442.2" , "819.6+/-98.5" , "1767.4+/-155.9" , 1 , "No" , 60 , 1 , "PLCKERC100 G110.24+01.29" , "20.8+/-2.3" , "8.6+/-1" , "51+/-0.000" , 13.3
3733 , "PCCS1 100 G108.45-02.91 "  ,, 345.68292 , 56.87389 , 108.45919 , -2.91173 , "434.4+/-69.7" , "841.6+/-225.9" , "613.5+/-49.2" , "-" , 1 , "Not available" , 38 , 2 , " " , "-" , "-" , "-" , -9.9
3734 , "PCCS1 100 G110.50+01.49 "  ,, 345.83333 , 61.73111 , 110.50005 , 1.49694 , "606.6+/-122" , "1312.3+/-534.8" , "1378.6+/-94.2" , "5227+/-859.7" , 1 , "Yes" , 65 , 2 , " " , "27.4+/-5.4" , "17.1+/-3.8" , "148.7+/-0.000" , 21.7
