_id ,wmap3_name  , RA, Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
248 , "WMAP3 J1820-5521" , 274.93917 , -55.35556 , "339.18" , "-17.79" , 0 , "Blazar Q-type" , 1124 , 678 , 900 , 600 , 0 , 0 , "461" , 272.6087 , "PKS1815-553 "
249 , "WMAP3 J1824+5650" , 276.02958 , 56.85028 , "85.73" , "26.08" , 0.664 , "Blazar B-type" , 1263 , 1412 , 1500 , 1400 , 1400 , 1500 , 1300 , 288.4148 , "4C56.27 "
250 , "WMAP3 J1829+4844" , 277.3825 , 48.74611 , "77.22" , "23.5" , 0.692 , "Misd. NT-AGN QSO-type" , 5519 , 13753 , 2600 , 2500 , 2500 , 1800 , 1600 , 285.0337 , "3C380.0 "
251 , "WMAP3 J1835+3246" , 278.75875 , 32.69722 , "61.3" , "17.45" , 0.058 , "Misd. NT-AGN RGal-type" , 2281 , 113 , 800 , 900 , 700 , 0 , "568" , 282.4612 , "3C382.0 "
252 , "WMAP3 J1837-7106" , 279.36958 , -71.14528 , "323.68" , "-24.46" , 1.356 , "Blazar Q-type" , 2294 , 1289 , 1900 , 1800 , 1500 , 1200 , "1077" , 273.7972 , "PKS1831-711 "
253 , "WMAP3 J1840+7946" , 280.5375 , 79.77139 , "111.43" , "27.07" , 0.056 , "Misd. NT-AGN QSO-type" , 4380 , 834 , 1200 , 900 , 1000 , 500 , "448" , 81.3101 , "3C390.3 "
254 , "WMAP3 J1842+6807" , 280.64 , 68.15667 , "98.52" , "25.85" , 0.472 , "Blazar Q-type" , 925 , 798 , 1000 , 1200 , 1200 , 900 , "807" , 25.5184 , "S41842+68 "
255 , "WMAP3 J1848+3221" , 282.09208 , 32.31722 , "62.04" , "14.7" , 0.798 , "Blazar Q-type" , 762 , 516 , 700 , 900 , 800 , 1300 , "1166" , 287.2852 , "B21846+32A "
256 , "WMAP3 J1849+6705" , 282.31625 , 67.09444 , "97.49" , "25.04" , 0.657 , "Blazar Q-type" , 845 , 518 , 1300 , 1400 , 1400 , 1300 , 1500 , 11.3002 , "4C66.20 "
257 , "WMAP3 J1850+2823" , 282.61458 , 28.42 , "58.55" , "12.73" , 2.56 , "Blazar Q-type" , 1013 , 230 , 1400 , 1200 , 900 , 700 , 1000 , 287.108 , "S21848+28 "
258 , "WMAP3 J1902+3153" , 285.73292 , 31.995 , "63.02" , "11.75" , 0.635 , "Blazar Q-type" , 1863 , 3204 , 1300 , 1100 , 800 , 800 , "718" , 292.4421 , "3C395 "
259 , "WMAP3 J1923-2106" , 290.88417 , -21.07583 , "17.17" , "-16.26" , 0.874 , "Blazar Q-type" , 2885 , 3167 , 2100 , 2200 , 2100 , 2500 , 2000 , 288.7332 , "PMNJ1923-2104 "
260 , "WMAP3 J0000+0000" , 291.21458 , -29.24167 , "9.34" , "-19.61" , 0.352 , "Blazar Q-type" , 14332 , 13387 , 19100 , 15000 , 13200 , 11000 , 8000 , 287.8571 , "OV-236 "
261 , "WMAP3 J1927+6118" , 291.87667 , 61.29222 , "92.72" , "19.44" , 0 , "Blazar B-type" , 558 , 534 , 1100 , 1000 , 1100 , 1000 , "897" , 340.7768 , "S41926+611 "
262 , "WMAP3 J1927+7357" , 291.95208 , 73.96694 , "105.62" , "23.54" , 0.302 , "Blazar Q-type" , 3626 , 3950 , 3500 , 3400 , 2900 , 2800 , 2000 , 54.2867 , "4C73.18 "
263 , "WMAP3 J1937-3956" , 294.31792 , -39.96694 , "359.16" , "-25.37" , 0.965 , "Blazar Q-type" , 1129 , 1045 , 700 , 900 , 1100 , 1300 , "1166" , 288.6993 , "PKS1933-400 "
264 , "WMAP3 J1938-6345" , 294.85417 , -63.7125 , "332.74" , "-29.4" , 0.183 , "Blazar Unknown-type" , 5910 , 13721 , 800 , 800 , 0 , 0 , "615" , 283.693 , "PKS1934-63 "
265 , "WMAP3 J1952+0233" , 298.06583 , 2.50667 , "42.26" , "-12.32" , 0.059 , "Misd. NT-AGN RGal-type" , 2026 , 2469 , 900 , 600 , 600 , 0 , "487" , 300.0099 , "3C403.0 "
266 , "WMAP3 J1955+5132" , 298.92792 , 51.53028 , "85.29" , "11.75" , 1.22 , "Blazar Q-type" , 1675 , 1588 , 0 , 1100 , 800 , 1100 , "987" , 327.3055 , "S41954+513 "
267 , "WMAP3 J1958-3845" , 299.49958 , -38.75167 , "1.57" , "-28.96" , 0.63 , "Blazar Q-type" , 1944 , 1493 , 3100 , 3300 , 3000 , 2800 , 2700 , 293.0751 , "PKS1954-388 "
268 , "WMAP3 J2000-1749" , 300.23792 , -17.81583 , "24.01" , "-23.12" , 0.65 , "Blazar Q-type" , 2700 , 550 , 1600 , 1500 , 1600 , 1600 , 2500 , 297.9846 , "PKS1958-179 "
269 , "WMAP3 J2005+7755" , 301.38 , 77.87861 , "110.46" , "22.73" , 0.342 , "Blazar B-type" , 1260 , 1060 , 700 , 0 , 0 , 900 , 1000 , 63.3358 , "S52007+777 "
270 , "WMAP3 J2010+7230" , 302.46875 , 72.48861 , "105.35" , "20.18" , 0 , "Blazar B-type" , 907 , 953 , 700 , 900 , 800 , 1100 , "987" , 41.514 , "4C72.28 "
271 , "WMAP3 J2011-1547" , 302.81542 , -15.77778 , "27.11" , "-24.61" , 1.18 , "Blazar Q-type" , 949 , 546 , 1500 , 1600 , 1500 , 1100 , "987" , 300.8277 , "PKS2008-159 "
272 , "WMAP3 J2022+6136" , 305.52792 , 61.61611 , "96.08" , "13.77" , 0.227 , "Misd. NT-AGN RGal-type" , 2743 , 2093 , 1500 , 1400 , 1300 , 900 , "807" , 358.2882 , "S42021+61 "
273 , "WMAP3 J2035+1058" , 308.84292 , 10.93528 , "55.39" , "-17.24" , 0.601 , "Blazar B-type" , 759 , 1074 , 700 , 1200 , 0 , 1000 , 900 , 313.8261 , "PKS2032+107 "
274 , "WMAP3 J2035-6845" , 308.95333 , -68.77583 , "326.17" , "-34.53" , 1.084 , "Blazar Q-type" , 648 , 298 , 800 , 900 , 800 , 700 , "628" , 289.1879 , "PKS2030-689 "
