_id , pccs1f545_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
16296 , "PCCS1 545 G110.75+08.50 " ,, 338.86875 , 68.09861 , 110.75981 , 8.50087 , "5825.3+/-427.7" , "1.5e+4+/-4234.2" , "1.7e+4+/-1115.2" , "9.1e+4+/-4859.2" , 0.5 , "Yes" , 17 , 1 , "PLCKERC545 G110.77+08.49" , "20+/-1.4" , "9.9+/-0.7" , "138.3+/-0.000" , 14.1
16297 , "PCCS1 545 G114.51+14.70 " ,, 338.91708 , 75.3075 , 114.51294 , 14.7031 , "4.0e+4+/-302" , "8.4e+4+/-1.4e+4" , "8.2e+4+/-9647.3" , "2.6e+5+/-1.5e+4" , 0.5 , "Yes" , 30 , 2 , "PLCKERC545 G114.50+14.70" , "19.6+/-0.5" , "7.9+/-0.6" , "30.6+/-0.000" , 12.5
16298 , "PCCS1 545 G106.77+01.56 " ,, 338.92583 , 60.10444 , 106.77105 , 1.56256 , "1.2e+4+/-1101.4" , "3.3e+4+/-1.8e+4" , "3.4e+4+/-4362.4" , "6.7e+4+/-1.3e+4" , 0.5 , "Yes" , 29 , 1 , " " , "11.6+/-2.6" , "7.7+/-1.7" , "112.1+/-0.000" , 9.5
16299 , "PCCS1 545 G027.11-59.74 " ,, 338.9425 , -26.05972 , 27.11665 , -59.74456 , "1608.8+/-97" , "1785.8+/-225.9" , "1796.4+/-60.9" , "2141.9+/-101.6" , 0.5 , "No" , 3 , 2 , "PLCKERC545 G027.12-59.74" , "5.9+/-0.3" , "5.4+/-0.3" , "140.6+/-0.000" , 5.7
16300 , "PCCS1 545 G081.08-36.26 " ,, 338.955 , 15.35611 , 81.08576 , -36.26616 , "1063.2+/-164.9" , "3282+/-1500.1" , "3096.7+/-368" , "1.9e+4+/-2165.9" , 0.5 , "Yes" , 11 , 2 , "PLCKERC545 G080.99-36.10" , "23+/-3.2" , "9.4+/-1.4" , "12.7+/-0.000" , 14.7
16301 , "PCCS1 545 G343.99-56.03 " ,, 338.95667 , -48.85833 , 343.99347 , -56.03584 , "382.3+/-79.1" , "117.6+/-183.9" , "186+/-54.7" , "-" , 0.5 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
16302 , "PCCS1 545 G119.61+22.51 " ,, 338.99542 , 84.49056 , 119.61194 , 22.51502 , "2250.6+/-285" , "5104.6+/-1468.1" , "5521.2+/-525.5" , "2.8e+4+/-2014.6" , 0.5 , "Yes" , 6 , 1 , "PLCKERC545 G119.59+22.52" , "22.4+/-2.5" , "10+/-1" , "80.2+/-0.000" , 15
16303 , "PCCS1 545 G106.49+00.94 " ,, 339.065 , 59.43056 , 106.49745 , 0.94287 , "2.6e+4+/-1832" , "7.3e+4+/-2.1e+4" , "8.5e+4+/-6855.3" , "4.2e+5+/-2.1e+4" , 0.5 , "Yes" , 38 , 2 , " " , "15.8+/-1.1" , "11.3+/-0.8" , "173.1+/-0.000" , 13.4
16304 , "PCCS1 545 G111.40+09.45 " ,, 339.0675 , 69.24861 , 111.40803 , 9.45886 , "6038+/-424.1" , "2.3e+4+/-6962.9" , "3.7e+4+/-3747" , "8.9e+4+/-6438.5" , 0.5 , "Yes" , 22 , 0 , " " , "16.7+/-1.4" , "6.9+/-0.6" , "97.8+/-0.000" , 10.7
16305 , "PCCS1 545 G111.32+09.30 " ,, 339.07542 , 69.07528 , 111.32239 , 9.30758 , "4341.1+/-444.8" , "1.3e+4+/-6577" , "2.5e+4+/-4015.4" , "-" , 0.5 , "Not available" , 20 , 1 , " " , "-" , "-" , "-" , -9.9
16306 , "PCCS1 545 G090.11-25.64 " ,, 339.08667 , 28.48556 , 90.11347 , -25.64313 , "809.2+/-92.8" , "1058+/-253.2" , "1041.6+/-72" , "1395.6+/-129.7" , 0.5 , "No" , 246 , 1 , " " , "7+/-0.7" , "5.3+/-0.5" , "131.2+/-0.000" , 6.1
16307 , "PCCS1 545 G107.73+03.05 " ,, 339.13042 , 61.88278 , 107.7398 , 3.05779 , "1.0e+4+/-939.7" , "4.0e+4+/-9058.4" , "3.9e+4+/-2511" , "1.0e+5+/-8081.5" , 0.5 , "Yes" , 27 , 2 , "PLCKERC545 G107.71+03.12" , "12.6+/-1.1" , "7.2+/-0.7" , "23.9+/-0.000" , 9.6
16308 , "PCCS1 545 G063.95-49.69 " ,, 339.14375 , -2.92583 , 63.95316 , -49.69453 , "544.6+/-112.7" , "476.8+/-201.1" , "452.5+/-80.6" , "634.5+/-131.8" , 0.5 , "No" , 2 , 1 , " " , "6.5+/-1.4" , "4.8+/-1" , "61.5+/-0.000" , 5.6
16309 , "PCCS1 545 G047.88-56.22 " ,, 339.15167 , -14.55944 , 47.88082 , -56.22389 , "465.9+/-94.4" , "480.5+/-161.8" , "525.8+/-65.5" , "996.2+/-108.2" , 0.5 , "Yes" , 1 , 1 , " " , "13+/-0.5" , "5.3+/-0.7" , "20.3+/-0.000" , 8.3
16310 , "PCCS1 545 G114.49+14.51 " ,, 339.22 , 75.13917 , 114.49262 , 14.5189 , "2.7e+4+/-292.1" , "3.3e+4+/-2.4e+4" , "6.3e+4+/-1.0e+4" , "8.3e+4+/-1.9e+4" , 0.5 , "Yes" , 31 , 1 , " " , "12.3+/-2" , "5+/-1.4" , "89.9+/-0.000" , 7.9
16311 , "PCCS1 545 G093.71-20.71 " ,, 339.24958 , 34.42 , 93.71163 , -20.71302 , "8183+/-134.6" , "1.1e+4+/-496" , "1.0e+4+/-236.6" , "1.4e+4+/-298" , 0.5 , "No" , 54 , 2 , "PLCKERC545 G093.72-20.72" , "6.9+/-0.2" , "5.4+/-0.1" , "162.7+/-0.000" , 6.1
16312 , "PCCS1 545 G106.34+00.46 " ,, 339.27042 , 58.93972 , 106.34669 , 0.46404 , "1.3e+4+/-1219" , "2.8e+4+/-7398.2" , "2.8e+4+/-2078.1" , "8.6e+4+/-5622.5" , 0.5 , "Yes" , 35 , 1 , "PLCKERC545 G106.35+00.47" , "15.3+/-1.2" , "6.8+/-0.5" , "10.2+/-0.000" , 10.2
16313 , "PCCS1 545 G105.80-00.56 " ,, 339.33708 , 57.77528 , 105.80445 , -0.56689 , "6694.1+/-719.3" , "1.7e+4+/-1.1e+4" , "2.4e+4+/-1949.5" , "1.6e+5+/-9230.7" , 0.5 , "Yes" , 23 , 1 , " " , "24.7+/-2" , "10.2+/-0.8" , "142+/-0.000" , 15.8
16314 , "PCCS1 545 G111.78+09.89 " ,, 339.35333 , 69.81139 , 111.78144 , 9.89617 , "3878.5+/-484.8" , "8398.4+/-3085.1" , "5580.3+/-1092.4" , "1.2e+4+/-2143.9" , 0.5 , "Yes" , 22 , 0 , " " , "13.2+/-1.6" , "5.4+/-1.1" , "70.1+/-0.000" , 8.4
