_id , ercsc_857_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
4338 , "PLCKERC857 G286.14+07.39" ,, 165.24042 , -51.83667 , 286.14239 , 7.3969 , "2.8e+4+/-2540" , "4.10e+4+/-1342.6" , "2.2e+4+/-1975.22" , "7.8e+4+/-4665.67" , 0.422 , 0 , 1 , 1 , "0.858+/-0.043"
4339 , "PLCKERC857 G289.87-00.79" ,, 165.25208 , -60.83472 , 289.87886 , -0.79274 , "6.9e+5+/-1e+5" , "2.22e+6+/-2367.2" , "5.0e+5+/-4.07e+4" , "1.6e+6+/-1.78e+5" , 0.422 , 0 , 1 , 1 , "0.981+/-0.046"
4340 , "PLCKERC857 G249.89+54.72" ,, 165.32125 , 3.62333 , 249.89771 , 54.72576 , "4990.3+/-259" , "5006.94+/-81" , "4922.7+/-245.05" , "6112.2+/-299.47" , 0.305 , 0 , 0 , 2 , "0.951+/-0.045"
4341 , "PLCKERC857 G147.66+53.84" ,, 165.3625 , 57.67694 , 147.66917 , 53.84666 , "745.9+/-103" , "457.42+/-61.6" , "-" , "755+/-209.12" , 0.305 , 0 , 0 , 2 , "0.847+/-0.042"
4342 , "PLCKERC857 G278.67+22.95" ,, 165.46542 , -34.7025 , 278.67721 , 22.95621 , "7107.6+/-212" , "6582.85+/-160.1" , "6932.3+/-357.75" , "7052.7+/-450.72" , 0.305 , 0 , 0 , 1 , "0.947+/-0.045"
4343 , "PLCKERC857 G252.69+53.36" ,, 165.54917 , 1.50389 , 252.69731 , 53.36778 , "2012.8+/-322" , "2802.81+/-100.5" , "1426.9+/-122.19" , "5055.1+/-1011.3" , 0.305 , 0 , 1 , 2 , "0.876+/-0.043"
4344 , "PLCKERC857 G274.24+31.00" ,, 165.6825 , -25.74528 , 274.24884 , 31.00249 , "3322.9+/-368" , "7108.29+/-137.1" , "2661.4+/-270.7" , "1.0e+4+/-1776.08" , 0.349 , 0 , 1 , 2 , "0.87+/-0.042"
4345 , "PLCKERC857 G227.27+63.37" ,, 165.69917 , 17.98833 , 227.27597 , 63.37599 , "2650.9+/-162" , "2770.9+/-65.7" , "2607.9+/-143.58" , "3043.2+/-277.74" , 0.305 , 0 , 0 , 2 , "0.967+/-0.045"
4346 , "PLCKERC857 G268.54+39.23" ,, 165.745 , -16.28417 , 268.54089 , 39.23762 , "2799.7+/-111" , "3013.3+/-66.9" , "2822.8+/-131.61" , "2935.8+/-263.34" , 0.305 , 0 , 0 , 2 , "0.879+/-0.043"
4347 , "PLCKERC857 G239.93+59.92" ,, 165.79333 , 11.07333 , 239.93422 , 59.92208 , "1426.5+/-143" , "1248.32+/-51.6" , "1310.9+/-103.74" , "1584.1+/-282.93" , 0.305 , 0 , 0 , 2 , "0.84+/-0.042"
4348 , "PLCKERC857 G204.59+66.03" ,, 165.79375 , 27.97611 , 204.59268 , 66.03782 , "5688.9+/-159" , "5596.81+/-72.4" , "5490.1+/-236.39" , "6199.2+/-313.91" , 0.305 , 0 , 0 , 2 , "1+/-0.046"
4349 , "PLCKERC857 G272.89+33.40" ,, 165.84375 , -23.08611 , 272.89505 , 33.40666 , "8332+/-445" , "9058.53+/-89.7" , "8706.5+/-351.29" , "9451.5+/-429.93" , 0.422 , 0 , 0 , 2 , "0.938+/-0.044"
4350 , "PLCKERC857 G227.12+63.57" ,, 165.85917 , 18.13472 , 227.1221 , 63.57555 , "3375.3+/-115" , "2748.17+/-64.3" , "3278.1+/-129.82" , "3660.1+/-261.55" , 0.305 , 0 , 0 , 3 , "0.984+/-0.045"
4351 , "PLCKERC857 G138.71+47.54" ,, 165.86 , 66.14333 , 138.7145 , 47.54002 , "1675.5+/-155" , "1447.49+/-48.3" , "1475.2+/-96.28" , "1965.2+/-308.51" , 0.305 , 0 , 0 , 3 , "0.839+/-0.042"
4352 , "PLCKERC857 G202.44+66.20" ,, 165.9275 , 28.855 , 202.44236 , 66.20664 , "1342.5+/-111" , "2302.92+/-84" , "1175.2+/-107.18" , "2807.9+/-579.29" , 0.305 , 0 , 1 , 2 , "0.851+/-0.042"
4353 , "PLCKERC857 G168.85+62.83" ,, 165.975 , 43.49694 , 168.85971 , 62.83454 , "870+/-116" , "714.94+/-41.2" , "996.8+/-103.05" , "1030+/-244.56" , 0.305 , 0 , 0 , 2 , "0.861+/-0.043"
4354 , "PLCKERC857 G174.19+63.99" ,, 165.9775 , 40.84417 , 174.1959 , 63.99153 , "907.7+/-136" , "565.16+/-45.5" , "918.2+/-105.58" , "845.8+/-227.61" , 0.305 , 0 , 0 , 3 , "0.852+/-0.043"
4355 , "PLCKERC857 G297.22-16.13" ,, 165.99208 , -77.80278 , 297.22746 , -16.13815 , "1.8e+5+/-2e+4" , "2.11e+5+/-346.1" , "1.2e+5+/-1.24e+4" , "3.3e+5+/-2.11e+4" , 0.422 , 0 , 1 , 1 , "1+/-0.046"
4356 , "PLCKERC857 G204.49+66.22" ,, 166.00625 , 28.02944 , 204.49607 , 66.22913 , "1124.4+/-181" , "1063.56+/-46" , "-" , "1243.6+/-240.3" , 0.305 , 0 , 0 , 2 , "0.834+/-0.042"
4357 , "PLCKERC857 G280.43+20.70" ,, 166.06875 , -37.43889 , 280.43722 , 20.70756 , "5698.3+/-794" , "1.07e+4+/-206.5" , "3911.3+/-489.1" , "1.4e+4+/-1086.22" , 0.462 , 0 , 1 , 1 , "0.838+/-0.041"
4358 , "PLCKERC857 G168.28+62.79" ,, 166.10042 , 43.74556 , 168.28627 , 62.79574 , "765.1+/-125" , "959.14+/-55.7" , "682.5+/-104.7" , "2032.7+/-589.31" , 0.305 , 0 , 1 , 2 , "0.843+/-0.042"
