_id ,fermilbas_name,other_name,RA,Dec,LII,BII,Flux100 Mev,Spectral_index,Sigma,Associated_name,Association_Probability,FoM,FluxPeak,Flux_Summed,Redshift,Classification,Variability
78 , 0FGLJ1504.4+1030 , PKS 1502+106 , 226.115 , 10.505 , 11.4 , 54.57 , (81.4+/-2.7) e-8 , 2.17 , 88.2 , CGRaBS J1504+1029 , 1 , 48.85 , (26+/-1.5) e-7 , (69.3+/-2.1) e-8 , 1.839 , FSRQ , T 
79 , 0FGLJ1511.2-0536 , PKS 1508-05 , 227.81375 , -5.613 , 354.09 , 42.94 , (8.8+/-2.1) e-8 , 2.41 , 10.8 , BZQJ1510-0543 , 0.73 , 10.27 , (16.2+/-4.4) e-8 , (8.6+/-1.7) e-8 , 1.185 , FSRQ , - 
80 , 0FGLJ1512.7-0905 , PKS 1510-08 , 228.19583 , -9.093 , 351.28 , 40.15 , (55.8+/-3.3) e-8 , 2.48 , 45 , BZQJ1512-0905 , 0.98 , 74.49 , (16.6+/-1.2) e-7 , (50.6+/-2.3) e-8 , 0.36 , FSRQ , T 
81 , 0FGLJ1517.9-2423 , AP Lib , 229.49583 , -24.395 , 340.72 , 27.51 , (4.1+/-1.2) e-8 , 1.94 , 12.3 , AP Lib , 1 , 19.18 , (7+/-2.4) e-8 , (52+/-6) e-9 , 0.048 , BL Lac , - 
82 , 0FGLJ1522.2+3143 , TXS 1520+319 , 230.55167 , 31.726 , 50.14 , 57.01 , (25.7+/-2.1) e-8 , 2.39 , 34.3 , CGRaBS J1522+3144 , 1 , 51.06 , (42+/-5.1) e-8 , (22.2+/-1.5) e-8 , 1.487 , FSRQ , T 
83 , 0FGLJ1543.1+6130 , RXS J15429+6129 , 235.78375 , 61.504 , 95.38 , 45.37 , (25+/-7) e-9 , 2 , 10.5 , RXS J15429+6129 , 1 , 45.22 , (4.3+/-1.7) e-8 , (3.3+/-1.4) e-8 , 0 , BL Lac , - 
84 , 0FGLJ1553.4+1255 , PKS 1551+130 , 238.36792 , 12.922 , 23.74 , 45.22 , (16.1+/-1.8) e-8 , 2.23 , 23.7 , PKS 1551+130 , 0.85 , 26.38 , (33.6+/-5.6) e-8 , (15.6+/-2.2) e-8 , 1.308 , FSRQ , T 
85 , 0FGLJ1555.8+1110 , PG 1553+11 , 238.95083 , 11.181 , 21.9 , 43.94 , (8+/-1) e-8 , 1.7 , 31.5 , PG 1553+11 , 1 , 44.23 , (11.6+/-2.3) e-8 , (10.2+/-2) e-8 , 0 , BL Lac , - 
86 , 0FGLJ1625.8-2527 , PKS 1622-253 , 246.47 , -25.451 , 352.16 , 16.3 , (16+/-4.6) e-8 , 2.4 , 11.4 , PKS 1622-253 , 0.99 , 56.82 , (28.4+/-8) e-8 , (19.8+/-1.3) e-8 , 0.786 , FSRQ , - 
87 , 0FGLJ1625.9-2423 , - , 246.49375 , -24.393 , 353 , 16.99 , (19.9+/-5.1) e-8 , 2.46 , 10.1 , - , 0 , 2.33 , (32.1+/-8.1) e-8 , (107+/-9) e-9 , 0 , AGN , - 
88 , 0FGLJ1635.2+3809 , 4C +38.41 , 248.82083 , 38.158 , 61.11 , 42.33 , (22+/-2.2) e-8 , 2.44 , 27.3 , CRATESJ1635+3808 , 0.99 , 54.1 , (49.8+/-6) e-8 , (17.6+/-1.3) e-8 , 1.814 , FSRQ , T 
89 , 0FGLJ1641.4+3939 , - , 250.355 , 39.666 , 63.23 , 41.24 , (13.4+/-2.1) e-8 , 2.43 , 17.7 , - , 0 , 6.22 , (33.7+/-6.3) e-8 , (12.7+/-1.4) e-8 , 0.539 , FSRQ , T 
90 , 0FGLJ1653.9+3946 , Mrk 501 , 253.49167 , 39.76697 , 63.6 , 38.84 , (31+/-6) e-9 , 1.7 , 19 , Mrk 501 , 1 , 59.08 , (6.9+/-1.8) e-8 , (33+/-8) e-9 , 0.033 , BL Lac , - 
91 , 0FGLJ1719.3+1746 , PKS 1717+177 , 259.82958 , 17.768 , 39.55 , 28.08 , (69+/-9) e-9 , 1.84 , 23.3 , PKS 1717+177 , 1 , 40.87 , (15+/-3) e-8 , (6.3+/-1.2) e-8 , 0.137 , BL Lac , T 
92 , 0FGLJ1751.5+0935 , OT 081 , 267.89292 , 9.591 , 34.86 , 17.61 , (18.4+/-2.1) e-8 , 2.27 , 23.1 , CGRaBS J1751+0939 , 0.99 , 19.73 , (41.4+/-6.3) e-8 , (17.8+/-1.9) e-8 , 0.322 , BL Lac , T 
93 , 0FGLJ1802.2+7827 , S5 1803+78 , 270.56667 , 78.466 , 110.02 , 28.99 , (6+/-1.4) e-8 , 2.25 , 12.6 , CGRaBS J1800+7828 , 0.99 , 28.07 , (11.1+/-3.1) e-8 , (5.9+/-1.3) e-8 , 0.68 , BL Lac , - 
