_id , gbmcatalog_name , other_name , RA, Dec, trigger time , LII , BII , Error Radius , Redshift , Swift Trigger , GBM trigger , T50, T50 error , T90 , T90 error , Detection Mask , Fitting Mask , best fitting model peak flux , best fitting model fluence , Reduced Chi2 peak model , Reduced Chi2 fln model , TSTART spe peak , TSTOP spe peak , TSTART spe fln , TSTOP spe fln , Fluence, Fluence error, Flux1.024s,Flux1.024sError
180 , GRB090516137 , 090516B , 122.19996 , -71.61997 , 264136642 , 284.49 , -19.864 , 2.6 , - , NULL , 090516137 , 44.289 , 3.01 , 118.02 , 4.03 , 00010011100000 , 00000011100001 , Power Law Model , Smoothly Broken Power Law , 1.03 , 2.35 , 80.9 , 81.92 , -1.02 , 134.14 , 0.0000168 , 1.85e-7 , 3.02 , 0.171
181 , GRB090828099 , 090828 , 124.37996 , -26.14 , 273118970 , 245.928 , 5.29 , 1.21 , - , NULL , 090828099 , 10.752 , 0.32 , 68.42 , 3.17 , 00001100000000 , 00001100000010 , Smoothly Broken Power Law , Power Law Model , 0.97 , 2.79 , 55.3 , 56.32 , -3.07 , 102.4 , 0.0000237 , 1.86e-7 , 14.5 , 0.302
182 , GRB090429753 , 090429D , 125.21 , 6.2 , 262721039 , 217.674 , 22.688 , 4.62 , - , NULL , 090429753 , 0.256 , 0.14 , 0.64 , 0.47 , 11000000010000 , 11000000010010 , Comptonized Model , Smoothly Broken Power Law , 1.05 , 1.08 , 0 , 1.02 , -11.26 , 1.02 , 0.00000112 , 4.33e-8 , 3.9 , 0.154
183 , GRB081215784 , 081215A , 125.6 , 54 , 251059717 , 164.262 , 34.828 , 1 , - , NULL , 081215784 , 3.392 , 0.09 , 5.57 , 0.14 , 00000000011100 , 00000000011101 , Band Model , Band Model , 1.09 , 1.46 , 1.02 , 2.05 , -3.07 , 13.31 , 0.0000547 , 5.87e-8 , 64.9 , 0.388
184 , GRB091128285 , 091128 , 127.69 , 1.73 , 281083836 , 223.212 , 22.789 , 1.41 , - , NULL , 091128285 , 22.528 , 3.24 , 87.81 , 13.66 , 00000000011000 , 00000000011001 , Comptonized Model , Comptonized Model , 1.05 , 1.29 , 14.08 , 15.1 , -41.22 , 76.54 , 0.0000404 , 4.45e-7 , 9.71 , 0.275
185 , GRB090102122 , 090102122 , 128.19996 , 33.1 , 252557732 , 189.858 , 34.619 , 0 , - , NULL , 090102122 , 9.728 , 0.57 , 26.62 , 0.81 , 00000000011100 , 00000000011101 , Comptonized Model , Smoothly Broken Power Law , 0.99 , 1.47 , 15.62 , 16.64 , -1.79 , 36.1 , 0.0000279 , 6.1e-8 , 11.2 , 0.21
186 , GRB081216531 , 081216 , 129.19996 , 7.6 , 251124240 , 218.26 , 26.855 , 4.4 , - , NULL , 081216531 , 0.128 , 0.09 , 0.77 , 0.43 , 00000001100100 , 00000001100101 , Band Model , Comptonized Model , 1.03 , 1.09 , 0.58 , 0.64 , -0.13 , 0.9 , 0.00000299 , 7.74e-8 , 8.92 , 0.206
187 , GRB100307928 , 100307928 , 129.41996 , 32.97 , 289692992 , 190.273 , 35.592 , 4.06 , - , NULL , 100307928 , 6.4 , 1.38 , 16.13 , 2.19 , 00000000011100 , 00000000011101 , Power Law Model , Band Model , 0.98 , 0.94 , 0 , 1.02 , -4.1 , 10.24 , 0.00000154 , 2.23e-8 , 3.05 , 0.179
188 , GRB090109332 , 090109 , 129.6 , 51.8 , 253180711 , 166.9 , 37.299 , 9.8 , - , NULL , 090109332 , 0.512 , 0.2 , 1.73 , 0.82 , 00000000100100 , 00000011100001 , Power Law Model , Power Law Model , 0.97 , 1.04 , 0.9 , 0.96 , -4.16 , 0.96 , 2.09e-7 , 2.31e-8 , 1.83 , 0.221
189 , GRB100410356 , 100410356 , 130.02 , 21.48 , 292581119 , 203.86 , 33.026 , 10.82 , - , NULL , 100410356 , 3.328 , 1.09 , 9.73 , 2.2 , 00001000100000 , 00001000100001 , Power Law Model , Band Model , 1.14 , 1 , -3.07 , -2.05 , -7.17 , 0 , 8.29e-7 , 3.78e-8 , 2.05 , 0.324
190 , GRB090804940 , 090804940 , 130.39996 , -11.3 , 271118002 , 236.602 , 18.312 , 1 , - , NULL , 090804940 , 2.56 , 0.14 , 5.57 , 0.36 , 00011100000000 , 00011100000010 , Band Model , Band Model , 1.18 , 1.19 , 1.02 , 2.05 , -1.02 , 11.26 , 0.0000144 , 1.86e-7 , 36.6 , 0.411
191 , GRB100502356 , 100502356 , 131.01 , 18.38 , 294481984 , 207.71 , 32.837 , 2.21 , - , NULL , 100502356 , 53.633 , 1.12 , 95.81 , 2.38 , 00011001100000 , 00011000100010 , Comptonized Model , Comptonized Model , 1.1 , 1.63 , 18.43 , 19.46 , -9.22 , 100.35 , 0.0000156 , 2.08e-7 , 5.18 , 0.197
192 , GRB100326294 , 100326294 , 131.23996 , -28.18 , 291279787 , 251.18 , 9.065 , 12.64 , - , NULL , 100326294 , 3.584 , 2.11 , 5.63 , 2.06 , 00000000011000 , 00000000011001 , Comptonized Model , Comptonized Model , 1.02 , 1.02 , 0 , 1.02 , 0 , 1.02 , 3.82e-7 , 5.86e-8 , 1.89 , 0.203
193 , GRB090520876 , 090520D , 131.3 , -18 , 264546099 , 242.867 , 15.201 , 4.3 , - , NULL , 090520876 , 7.104 , 0.53 , 30.66 , 0.86 , 11010100000000 , 01010100000010 , Comptonized Model , Band Model , 0.97 , 1.05 , 2.05 , 3.07 , -8.19 , 17.41 , 0.00000618 , 3.88e-8 , 8.8 , 0.232
194 , GRB100211440 , 100211440 , 132.25 , 29.49 , 287577217 , 195.144 , 37.204 , 2.46 , - , NULL , 100211440 , 8.96 , 0.37 , 21.38 , 0.92 , 00000000001100 , 00000000001101 , Power Law Model , Comptonized Model , 1.06 , 1.15 , 10.24 , 11.26 , -2.05 , 27.65 , 0.0000152 , 1.67e-7 , 11.2 , 0.392
195 , UNCERT09120862 , , 132.42 , 30.43 , -999 , 194.031 , 37.556 , 22.06 , 0 , , 091208623 , 0 , 0 , 0 , 0 , , 00000000011101 , Power Law Model , Band Model , 1.04 , 1.02 , -3.07 , -2.05 , -15.36 , 65.54 , 0 , 0 , 0 , 0
196 , GRB100201588 , 100201588 , 133.1 , -37.29 , 286725979 , 259.338 , 4.608 , 4.35 , - , NULL , 100201588 , 74.241 , 1.86 , 122.11 , 1.28 , 10000011011100 , 00000011010001 , Power Law Model , Comptonized Model , 0.89 , 1.89 , 72.7 , 73.73 , -4.1 , 158.72 , 0.0000107 , 6.07e-8 , 2.98 , 0.184
197 , GRB100704149 , 100704A , 133.63596 , -24.216 , 299907308 , 249.339 , 13.197 , 0.001 , 3.6 , 426722 , 100704149 , 11.648 , 1.23 , 214.4 , 5.92 , 11100000000000 , 11100000000010 , Smoothly Broken Power Law , Smoothly Broken Power Law , 1.11 , 1.01 , 3.07 , 4.1 , -9.22 , 182.27 , 0.0000104 , 1.12e-7 , 7.01 , 0.201
198 , GRB100205490 , 100205B , 133.92 , -23.02 , 287063140 , 248.538 , 14.141 , 8.17 , - , NULL , 100205490 , 3.584 , 1.14 , 14.85 , 2.29 , 00000000001100 , 00000000011101 , Comptonized Model , Comptonized Model , 0.97 , 1.03 , 0 , 1.02 , -1.02 , 26.62 , 0.00000136 , 2.91e-8 , 3.11 , 0.183
199 , GRB100212550 , 100212550 , 134.26996 , 32.22 , 287673107 , 192.188 , 39.459 , 1.38 , - , NULL , 100212550 , 2.368 , 0.23 , 3.77 , 0.27 , 00000011010000 , 00000011010001 , Smoothly Broken Power Law , Band Model , 1.06 , 1.02 , 3.07 , 4.1 , -1.02 , 4.1 , 0.0000036 , 9.21e-8 , 3.67 , 0.16
200 , GRB090305052 , 090305B , 134.99996 , 74.3 , 257908477 , 139.084 , 34.548 , 5.4 , - , NULL , 090305052 , 0.448 , 0.09 , 1.86 , 0.58 , 11010100000000 , 11010000000010 , Comptonized Model , Smoothly Broken Power Law , 1.02 , 1.09 , 0.51 , 0.58 , -0.13 , 2.11 , 0.00000194 , 1.33e-8 , 5.2 , 0.148
201 , GRB090528173 , 090528 , 134.9 , -35.79997 , 265176543 , 259.127 , 6.674 , 1 , - , NULL , 090528173 , 17.408 , 0.6 , 35.9 , 2.19 , 01100000011000 , 00100000011010 , Power Law Model , Smoothly Broken Power Law , 1.05 , 1.2 , 3.07 , 4.1 , -7.17 , 34.82 , 0.00000656 , 1.14e-7 , 4.75 , 0.195
202 , GRB090626707 , 090626707 , 136.44 , 14.44 , 267728327 , 214.516 , 36.187 , 7.73 , - , NULL , 090626707 , 0 , 0 , 0 , 0 , NULL , 00011100000010 , Power Law Model , Power Law Model , 0.99 , 1.08 , 0 , 1.02 , -1.02 , 4.1 , 0 , 0 , 0 , 0
203 , GRB090306245 , 090306C , 136.99996 , 57 , 258011527 , 159.529 , 40.879 , 4.1 , - , NULL , 090306245 , 11.264 , 2.57 , 27.9 , 14.86 , 11010000000000 , 11010000000010 , Power Law Model , Comptonized Model , 0.98 , 1.25 , 0 , 1.02 , -3.07 , 14.34 , 0.00000137 , 3.7e-8 , 1.72 , 0.218
204 , GRB091026485 , 091026485 , 137.08 , -23.65 , 278249930 , 250.939 , 15.995 , 8.15 , - , NULL , 091026485 , 1.536 , 0.29 , 3.33 , 0.78 , 01100000000000 , 01100000001010 , Power Law Model , Power Law Model , 1.01 , 1.07 , 0 , 1.02 , -2.05 , 3.07 , 5.67e-7 , 2.44e-8 , 2.7 , 0.208
205 , GRB090516353 , 090516 , 138.26 , -11.85 , 264155280 , 241.881 , 24.264 , 0 , 4.109 , 352190 , 090516353 , 47.297 , 2.29 , 123.07 , 2.9 , 10010000000000 , 10010000000010 , Power Law Model , Comptonized Model , 0.99 , 1.3 , 28.67 , 29.7 , -59.39 , 233.48 , 0.0000172 , 5.6e-8 , 4.41 , 0.221
206 , GRB090711850 , 090711 , 139.60996 , -64.74 , 269036604 , 282.571 , -10.67 , 1 , - , NULL , 090711850 , 23.552 , 2.29 , 51.97 , 2.56 , 00000011010000 , 00000011010010 , Power Law Model , Comptonized Model , 0.99 , 1.6 , 1.02 , 2.05 , -3.07 , 46.08 , 0.00000579 , 1.31e-7 , 3.6 , 0.211
207 , GRB090826068 , 090826 , 140.62 , -0.11 , 272943453 , 232.495 , 32.965 , 9.72 , - , NULL , 090826068 , 7.424 , 0.92 , 8.7 , 2.86 , 11010100000000 , 11010000000010 , Power Law Model , Comptonized Model , 0.97 , 0.93 , 7.17 , 8.19 , -1.02 , 8.19 , 8.48e-7 , 4.09e-8 , 2.82 , 0.159
