_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
737 , "PCCS1 070 G052.21+00.72 " ,, 291.25833 , 17.42472 , 52.206 , 0.717 , "2383.9+/-352.4" , "2705.3+/-818.9" , "6600.3+/-502.9" , "5531.1+/-1083.9" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G052.18+00.72" , "38.4+/-2.5" , "15.7+/-3.6" , "176.8+/-8.9" , 24.5
738 , "PCCS1 070 G051.33-00.00 " ,, 291.48625 , 16.31444 , 51.332 , -0.002 , "3836.6+/-377.8" , "8977+/-889" , "6600.3+/-502.9" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G051.32-00.00" , "-" , "-" , "-" , -9.9
739 , "PCCS1 070 G055.58+02.26 " ,, 291.51542 , 21.12583 , 55.581 , 2.258 , "1005.1+/-159.9" , "609.6+/-201.9" , "354.4+/-87" , "243.1+/-98.6" , 1.4 , "No" , 0 , 0 , " " , "12+/-5" , "7.2+/-3" , "11.7+/-31.5" , 9.3
740 , "PCCS1 070 G092.73+19.43 " ,, 291.90875 , 61.29111 , 92.731 , 19.432 , "516.4+/-106.2" , "618.3+/-145.7" , "513.4+/-58" , "640.2+/-115" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G092.71+19.41" , "16.4+/-3" , "13.7+/-2.5" , "39.2+/-41.3" , 15
741 , "PCCS1 070 G105.63+23.54 " ,, 291.9725 , 73.96917 , 105.63 , 23.536 , "3927.8+/-104.8" , "3754.7+/-175.8" , "3798.9+/-79.6" , "4984.6+/-126" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G105.63+23.54" , "17.3+/-0.4" , "15+/-0.4" , "38.9+/-7.1" , 16.1
742 , "PCCS1 070 G058.86+03.46 " ,, 292.05917 , 24.58056 , 58.864 , 3.456 , "623.1+/-149.3" , "175.9+/-239.6" , "222.9+/-92.6" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
743 , "PCCS1 070 G053.16+00.16 " ,, 292.24917 , 18.00194 , 53.163 , 0.162 , "2901.7+/-463.5" , "5598.4+/-773.1" , "4690.9+/-336.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G053.16+00.16" , "-" , "-" , "-" , -9.9
744 , "PCCS1 070 G053.67+00.30 " ,, 292.37333 , 18.51056 , 53.666 , 0.302 , "2027.7+/-294.7" , "3217.8+/-1447.6" , "4690.9+/-336.4" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
745 , "PCCS1 070 G052.16-00.58 " ,, 292.43417 , 16.76778 , 52.164 , -0.584 , "2222.9+/-393.4" , "4186.7+/-659.4" , "6600.3+/-502.9" , "8132.6+/-1212" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G052.15-00.57" , "26.6+/-4.1" , "20.3+/-3.2" , "39.3+/-22.5" , 23.2
746 , "PCCS1 070 G052.89-00.57 " ,, 292.78833 , 17.41333 , 52.893 , -0.571 , "2502.7+/-365.6" , "3213.8+/-537" , "4019.7+/-379.5" , "6817.6+/-1479.3" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G052.88-00.55" , "48+/-5.8" , "19.7+/-5" , "126.3+/-9.6" , 30.7
747 , "PCCS1 070 G054.08-00.06 " ,, 292.91542 , 18.70361 , 54.082 , -0.056 , "3460.5+/-322.6" , "5564.2+/-597.9" , "4690.9+/-336.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G054.06-00.04" , "-" , "-" , "-" , -9.9
748 , "PCCS1 070 G055.50+00.68 " ,, 292.96125 , 20.30139 , 55.503 , 0.676 , "999.8+/-204.3" , "1120.2+/-901.9" , "232.5+/-387.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
749 , "PCCS1 070 G306.09-27.62 " ,, 293.59667 , -87.14861 , 306.09399 , -27.624 , "605.3+/-134.4" , "372.5+/-208.3" , "243+/-73.1" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
750 , "PCCS1 070 G055.27-00.22 " ,, 293.675 , 19.66889 , 55.274 , -0.217 , "954.5+/-237.1" , "722.9+/-394.4" , "4690.9+/-336.4" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
751 , "PCCS1 070 G103.29+22.19 " ,, 294.04292 , 71.49972 , 103.288 , 22.188 , "540+/-106.9" , "577.5+/-355.6" , "436.6+/-64.2" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
752 , "PCCS1 070 G359.19-25.40 " ,, 294.36667 , -39.94972 , 359.19199 , -25.398 , "742.1+/-170.5" , "1008.5+/-234.3" , "267.3+/-115.8" , "501.2+/-128.7" , 1.4 , "No" , 0 , 2 , " " , "16.4+/-4.3" , "8.6+/-2.3" , "0.5+/-15.3" , 11.9
753 , "PCCS1 070 G057.52-00.30 " ,, 294.92167 , 21.58861 , 57.519 , -0.296 , "859.1+/-189.1" , "974.6+/-523.4" , "1627.6+/-176.6" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
754 , "PCCS1 070 G062.58+02.41 " ,, 295.06583 , 27.32333 , 62.576 , 2.414 , "618.8+/-145.2" , "472.5+/-197.4" , "260.3+/-82.9" , "295.4+/-120.1" , 1.4 , "No" , 0 , 0 , " " , "10.1+/-4.1" , "9+/-3.6" , "127.7+/-145.1" , 9.5
755 , "PCCS1 070 G318.59-29.33 " ,, 295.59125 , -76.03722 , 318.59399 , -29.33 , "655.4+/-141.9" , "807.2+/-233.4" , "342.6+/-88.2" , "1254.4+/-205.2" , 1.4 , "Yes" , 0 , 2 , " " , "28.2+/-4.8" , "15.2+/-2.6" , "21.8+/-10.2" , 20.7
756 , "PCCS1 070 G059.80+00.18 " ,, 295.7025 , 23.80778 , 59.804 , 0.176 , "948+/-230.5" , "1840.5+/-580.6" , "3843.4+/-262" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
757 , "PCCS1 070 G059.47-00.23 " ,, 295.90375 , 23.31583 , 59.469 , -0.229 , "2047.9+/-180.4" , "4101.5+/-944.6" , "3843.4+/-262" , "2.2e+4+/-645.6" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G059.46-00.23" , "46.5+/-1.6" , "33.8+/-1.2" , "151.3+/-3.7" , 39.7
758 , "PCCS1 070 G060.88-00.13 " ,, 296.58375 , 24.59222 , 60.885 , -0.128 , "1768+/-294.6" , "2081.3+/-334.9" , "5868.8+/-183.1" , "7496.3+/-752.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G060.89-00.14" , "54.4+/-0.9" , "21.9+/-2.7" , "163.9+/-4.5" , 34.5
759 , "PCCS1 070 G061.47+00.09 " ,, 296.69583 , 25.205 , 61.466 , 0.092 , "5848.9+/-212.6" , "6312.3+/-393.9" , "5868.8+/-183.1" , "1.0e+4+/-239" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G061.46+00.10" , "25.1+/-0.6" , "16.1+/-0.4" , "113.5+/-2" , 20.1
760 , "PCCS1 070 G063.16+00.43 " ,, 297.31792 , 26.83861 , 63.158 , 0.435 , "4687.3+/-201" , "5411.9+/-731.8" , "4597.6+/-256.1" , "1.1e+4+/-313.8" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G063.15+00.41" , "35.4+/-1.1" , "18.2+/-0.5" , "122.6+/-1.6" , 25.4
761 , "PCCS1 070 G029.65-19.18 " ,, 298.70875 , -11.415 , 29.65 , -19.178 , "859.3+/-150.8" , "736.6+/-292.5" , "59.7+/-105.6" , "768+/-184.2" , 1.4 , "No" , 0 , 2 , " " , "17.8+/-4.4" , "13.4+/-3.3" , "116.5+/-34.7" , 15.5
762 , "PCCS1 070 G064.14-00.48 " ,, 298.76417 , 27.2125 , 64.139 , -0.48 , "1665.7+/-238.3" , "1498.7+/-219.1" , "1566+/-309.6" , "2047.1+/-248.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G064.13-00.48" , "17.4+/-2.2" , "15.8+/-2" , "163+/-51.5" , 16.6
763 , "PCCS1 070 G052.74-07.28 " ,, 298.76958 , 13.96306 , 52.735 , -7.281 , "887.1+/-136.5" , "1043.4+/-176" , "1089.6+/-94.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G052.70-07.28" , "-" , "-" , "-" , -9.9
764 , "PCCS1 070 G085.30+11.76 " ,, 298.9275 , 51.53194 , 85.3 , 11.758 , "739.5+/-100.8" , "709.6+/-264.1" , "649+/-90.8" , "2056.4+/-297.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G085.33+11.75" , "52.4+/-1.5" , "21.2+/-3.7" , "32.8+/-6.4" , 33.4
765 , "PCCS1 070 G001.57-28.97 " ,, 299.51667 , -38.76278 , 1.57 , -28.974 , "1536.7+/-172.6" , "1341.3+/-232.3" , "1496+/-97.1" , "2275.8+/-188.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G001.58-28.94" , "25.6+/-2.2" , "14+/-1.2" , "139.5+/-5.3" , 18.9
766 , "PCCS1 070 G068.11+00.97 " ,, 299.70917 , 31.35833 , 68.108 , 0.974 , "1030.5+/-164.3" , "2593+/-402.7" , "2194.3+/-134.2" , "9007.2+/-431.6" , 1.4 , "Yes" , 0 , 1 , " " , "34.4+/-1.8" , "31.1+/-1.6" , "112.4+/-19.3" , 32.7
767 , "PCCS1 070 G076.17+05.77 " ,, 299.84292 , 40.72667 , 76.174 , 5.768 , "1.0e+4+/-158.4" , "1.6e+4+/-310.1" , "1.5e+4+/-268.1" , "1.6e+4+/-140.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G076.20+05.74" , "14.5+/-0.1" , "12.8+/-0.1" , "130.1+/-2.9" , 13.6
768 , "PCCS1 070 G060.82-03.69 " ,, 299.885 , 22.7125 , 60.821 , -3.688 , "966.1+/-148.2" , "1134.2+/-480.1" , "880.8+/-97.2" , "780.7+/-125.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G060.80-03.68" , "14.4+/-2.4" , "12.4+/-2" , "10.3+/-44.9" , 13.4
769 , "PCCS1 070 G071.58+02.85 " ,, 299.97708 , 35.29833 , 71.583 , 2.848 , "2818+/-173.9" , "3653.4+/-354.7" , "3179.4+/-176.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G071.57+02.83" , "-" , "-" , "-" , -9.9
770 , "PCCS1 070 G028.33-21.32 " ,, 300.17417 , -13.43 , 28.332 , -21.318 , "980.8+/-161.1" , "593.7+/-247.2" , "242.5+/-104.7" , "271.3+/-108.7" , 1.4 , "No" , 0 , 2 , " " , "12.3+/-5" , "6.8+/-2.7" , "61.5+/-25.5" , 9.1
771 , "PCCS1 070 G024.01-23.13 " ,, 300.25333 , -17.81694 , 24.015 , -23.13 , "1363+/-179.5" , "1054.5+/-205.2" , "891.7+/-99.8" , "1380+/-164.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G023.98-23.11" , "20.2+/-2.5" , "13.6+/-1.7" , "149.2+/-12.2" , 16.6
772 , "PCCS1 070 G070.29+01.61 " ,, 300.43167 , 33.55222 , 70.295 , 1.61 , "1.6e+4+/-231.3" , "2.0e+4+/-712.6" , "1.7e+4+/-530.5" , "2.3e+4+/-315.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G070.29+01.59" , "18.2+/-0.3" , "15.7+/-0.2" , "4.6+/-3.8" , 16.9
773 , "PCCS1 070 G071.84+02.44 " ,, 300.56042 , 35.30167 , 71.837 , 2.445 , "896.4+/-211" , "755.4+/-362.2" , "3179.4+/-176.4" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
774 , "PCCS1 070 G023.94-24.25 " ,, 301.32042 , -18.30583 , 23.943 , -24.254 , "749.6+/-152.7" , "929+/-287" , "891.7+/-99.8" , "2473.6+/-280.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G023.89-24.26" , "30.9+/-3.7" , "19.3+/-2.3" , "113+/-9.6" , 24.4
775 , "PCCS1 070 G080.91+07.32 " ,, 301.38875 , 45.55 , 80.908 , 7.322 , "587.8+/-119" , "441.5+/-147.3" , "898.4+/-91" , "47.3+/-73" , 1.4 , "No" , 0 , 0 , " " , "9.5+/-0.9" , "3.9+/-6.4" , "135.3+/-86.4" , 6
776 , "PCCS1 070 G110.46+22.72 " ,, 301.40917 , 77.87 , 110.459 , 22.725 , "1192.2+/-110.2" , "1104.8+/-247.7" , "967.4+/-101.2" , "1399.5+/-162.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G110.45+22.72" , "28.7+/-0.9" , "11.7+/-1.6" , "44.7+/-5.3" , 18.3
777 , "PCCS1 070 G097.63+16.72 " ,, 301.58583 , 64.39611 , 97.633 , 16.722 , "819.5+/-110.3" , "706.6+/-248.3" , "827.7+/-88" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G097.63+16.72" , "-" , "-" , "-" , -9.9
778 , "PCCS1 070 G350.36-32.63 " ,, 302.3925 , -48.84389 , 350.36099 , -32.626 , "987.3+/-173" , "771.8+/-207.3" , "478.7+/-102.9" , "460.1+/-144.3" , 1.4 , "No" , 0 , 2 , " " , "14.7+/-4.7" , "9.7+/-3.1" , "70.7+/-29.6" , 11.9
779 , "PCCS1 070 G105.35+20.19 " ,, 302.42167 , 72.48583 , 105.346 , 20.192 , "672+/-118.2" , "966.2+/-172.7" , "754.7+/-67.6" , "1494.3+/-140.5" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G105.35+20.17" , "21.5+/-2.1" , "18.7+/-1.8" , "100.4+/-28.1" , 20.1
780 , "PCCS1 070 G066.14-03.17 " ,, 302.52792 , 27.48639 , 66.145 , -3.169 , "1038.8+/-134.3" , "1319.8+/-196.1" , "1040.8+/-86.8" , "1010.9+/-137.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G066.16-03.15" , "19.4+/-2.7" , "10.8+/-1.5" , "16.1+/-9" , 14.5
781 , "PCCS1 070 G069.58-00.97 " ,, 302.56 , 31.55694 , 69.576 , -0.975 , "654.2+/-161.2" , "621.4+/-185" , "392.2+/-115.4" , "441.7+/-185" , 1.4 , "No" , 0 , 0 , " " , "14.7+/-6.3" , "9.7+/-4.1" , "175.8+/-40.3" , 11.9
782 , "PCCS1 070 G027.11-24.63 " ,, 302.83875 , -15.79111 , 27.106 , -24.627 , "1079.7+/-154.2" , "733.3+/-274.3" , "156.4+/-90.7" , "174+/-60.2" , 1.4 , "No" , 0 , 2 , " " , "8.7+/-3.3" , "5.2+/-1.6" , "94.3+/-33.2" , 6.8
783 , "PCCS1 070 G082.31+06.87 " ,, 303.01 , 46.48417 , 82.309 , 6.867 , "740.5+/-126.8" , "316.5+/-227.2" , "921.2+/-157.9" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
784 , "PCCS1 070 G099.52+16.61 " ,, 303.91667 , 65.91889 , 99.519 , 16.608 , "391.8+/-92.1" , "516.3+/-154.4" , "570.8+/-60.4" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
785 , "PCCS1 070 G079.13+03.60 " ,, 304.395 , 42.04 , 79.128 , 3.596 , "1.1e+4+/-2002.4" , "8164.2+/-2191.8" , "8975.2+/-794.2" , "2.6e+4+/-2688.1" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G079.10+03.54" , "48.4+/-5.4" , "20.4+/-2.3" , "27.4+/-4.4" , 31.4
786 , "PCCS1 070 G074.77+00.61 " ,, 304.43958 , 36.75861 , 74.769 , 0.609 , "3712.3+/-330.1" , "4038.1+/-395.5" , "1.2e+4+/-239.4" , "1.1e+4+/-998.6" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G074.77+00.61" , "48.3+/-2.7" , "19.8+/-2.1" , "44.2+/-3.9" , 30.9
787 , "PCCS1 070 G075.84+00.38 " ,, 305.43417 , 37.50861 , 75.836 , 0.379 , "1.9e+4+/-1685.7" , "1.2e+4+/-968.9" , "1.2e+4+/-239.4" , "2.1e+4+/-769.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G075.81+00.37" , "25.7+/-1" , "17.9+/-0.7" , "126+/-4.1" , 21.4
788 , "PCCS1 070 G078.02+01.84 " ,, 305.49167 , 40.13361 , 78.019 , 1.838 , "1.5e+4+/-2498.9" , "8131.4+/-2562.4" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G078.12+01.80" , "-" , "-" , "-" , -9.9
789 , "PCCS1 070 G096.07+13.77 " ,, 305.52708 , 61.59833 , 96.067 , 13.766 , "849.1+/-131" , "828.5+/-190.2" , "781.8+/-75.1" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G096.06+13.77" , "-" , "-" , "-" , -9.9
790 , "PCCS1 070 G109.30+21.13 " ,, 305.67917 , 76.20361 , 109.302 , 21.132 , "700.9+/-112" , "650.7+/-195.6" , "594.9+/-63.5" , "494.4+/-86.9" , 1.4 , "No" , 0 , 2 , " " , "12.5+/-2.2" , "11.6+/-2.1" , "35.3+/-106.4" , 12
791 , "PCCS1 070 G071.43-03.07 " ,, 305.82083 , 31.91722 , 71.425 , -3.074 , "622.3+/-127.8" , "539.9+/-197.9" , "233.2+/-88.9" , "1882.6+/-193.2" , 1.4 , "Yes" , 0 , 1 , " " , "42+/-0.7" , "16.9+/-2.1" , "174.2+/-4.6" , 26.6
792 , "PCCS1 070 G073.13-02.36 " ,, 306.28917 , 33.71611 , 73.126 , -2.364 , "3669+/-169.9" , "2943.3+/-328.8" , "3146.9+/-121" , "2505+/-214.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G073.13-02.35" , "13.8+/-1.2" , "11.2+/-1" , "108.5+/-17.1" , 12.5
793 , "PCCS1 070 G078.30+01.22 " ,, 306.36792 , 40.00694 , 78.3 , 1.216 , "2.1e+4+/-2980" , "1.2e+4+/-1.2e+4" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
794 , "PCCS1 070 G036.89-24.41 " ,, 306.43917 , -7.61333 , 36.892 , -24.412 , "1425.3+/-162.3" , "1504.4+/-223.1" , "1329.3+/-87.5" , "1832.6+/-182.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G036.92-24.38" , "18+/-1.8" , "17.5+/-1.8" , "11.1+/-139.8" , 17.8
795 , "PCCS1 070 G078.52+01.28 " ,, 306.46125 , 40.22333 , 78.518 , 1.283 , "1.7e+4+/-3239.5" , "2.0e+4+/-6030.7" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
796 , "PCCS1 070 G078.19+01.01 " ,, 306.50875 , 39.80139 , 78.195 , 1.009 , "1.5e+4+/-2925.8" , "3499.6+/-7090" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
797 , "PCCS1 070 G078.00+00.67 " ,, 306.72042 , 39.4475 , 78.001 , 0.671 , "1.3e+4+/-2746.1" , "7815.7+/-1542.9" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G078.04+00.61" , "-" , "-" , "-" , -9.9
798 , "PCCS1 070 G076.38-00.62 " ,, 306.85875 , 37.38111 , 76.383 , -0.619 , "9992.4+/-316.4" , "1.2e+4+/-821.3" , "1.2e+4+/-239.4" , "1.4e+4+/-647.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G076.38-00.61" , "16.8+/-0.8" , "15.2+/-0.7" , "87.7+/-18.4" , 16
799 , "PCCS1 070 G078.48+00.86 " ,, 306.88292 , 39.94917 , 78.482 , 0.861 , "1.9e+4+/-3214.1" , "8504+/-5606.1" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
800 , "PCCS1 070 G079.31+01.28 " ,, 307.06958 , 40.87111 , 79.314 , 1.283 , "2.3e+4+/-3598.6" , "1.1e+4+/-1465.7" , "2.0e+4+/-1349.6" , "5931+/-1981" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G079.30+01.30" , "13+/-4.4" , "10.2+/-3.5" , "43.8+/-55.9" , 11.5
801 , "PCCS1 070 G077.83+00.16 " ,, 307.12625 , 39.00917 , 77.828 , 0.16 , "1.1e+4+/-2474.9" , "479.1+/-2088" , "1.8e+4+/-1504.1" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
802 , "PCCS1 070 G078.83+00.83 " ,, 307.18292 , 40.21028 , 78.828 , 0.827 , "2.2e+4+/-3453.2" , "6067.8+/-5524.2" , "2.0e+4+/-1349.6" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
803 , "PCCS1 070 G081.98+02.50 " ,, 307.85042 , 43.74111 , 81.978 , 2.5 , "1.0e+4+/-2025.4" , "4845.8+/-1508" , "1.2e+4+/-672.9" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
804 , "PCCS1 070 G078.21-00.30 " ,, 307.89375 , 39.04167 , 78.205 , -0.303 , "1.9e+4+/-2465.2" , "1.5e+4+/-2169.8" , "1.5e+4+/-844.9" , "4.7e+4+/-3021.2" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G078.16-00.36" , "32.7+/-2.3" , "25.3+/-1.8" , "131.9+/-10.3" , 28.7
805 , "PCCS1 070 G056.13-15.79 " ,, 307.99417 , 12.31194 , 56.127 , -15.789 , "1237.9+/-149.4" , "1126.8+/-203.3" , "295.3+/-82.3" , "833.7+/-112.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G056.14-15.75" , "13.6+/-1.9" , "13.2+/-1.8" , "66.3+/-3.1" , 13.4
806 , "PCCS1 070 G079.35+00.38 " ,, 308.055 , 40.36778 , 79.347 , 0.382 , "1.8e+4+/-3733.4" , "8046+/-2366.2" , "2.0e+4+/-1349.6" , "862+/-1526.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G079.29+00.29" , "12.6+/-22.9" , "6.6+/-11.8" , "161.2+/-104.2" , 9.1
807 , "PCCS1 070 G083.78+03.29 " ,, 308.45083 , 45.65861 , 83.778 , 3.292 , "4945.1+/-314.7" , "6221.1+/-221.4" , "8380.2+/-541.6" , "5567.9+/-494.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G083.78+03.29" , "15.1+/-1.4" , "14.1+/-1.3" , "104.4+/-54" , 14.6
808 , "PCCS1 070 G081.23+01.31 " ,, 308.55208 , 42.43778 , 81.233 , 1.314 , "2.7e+4+/-2911.2" , "8780+/-4506.7" , "2.2e+4+/-1844.2" , "2.6e+4+/-4602.3" , 1.4 , "Yes" , 0 , 0 , " " , "30.7+/-5.8" , "17.8+/-3.3" , "55.7+/-12.9" , 23.3
809 , "PCCS1 070 G084.80+03.83 " ,, 308.70667 , 46.80083 , 84.803 , 3.83 , "2942.8+/-267.7" , "1.0e+4+/-1535.4" , "8475.5+/-515.8" , "4.3e+4+/-439.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G084.81+03.80" , "37.2+/-0.4" , "30.1+/-0.3" , "179.4+/-1.9" , 33.5
810 , "PCCS1 070 G081.19+01.07 " ,, 308.78083 , 42.25444 , 81.187 , 1.069 , "3.0e+4+/-2911.2" , "1.5e+4+/-3166.8" , "2.2e+4+/-1844.2" , "2.7e+4+/-3945" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G081.29+01.15" , "32.8+/-4.9" , "14.7+/-2.2" , "133.5+/-6.6" , 21.9
811 , "PCCS1 070 G085.13+03.96 " ,, 308.83542 , 47.14194 , 85.13 , 3.963 , "1155.6+/-221.8" , "6650.4+/-1753.3" , "8475.5+/-515.8" , "4.8e+4+/-484.8" , 1.4 , "Yes" , 0 , 0 , " " , "54.7+/-0.6" , "31.3+/-0.4" , "166.6+/-0.7" , 41.4
812 , "PCCS1 070 G326.16-34.51 " ,, 308.91083 , -68.79333 , 326.15799 , -34.506 , "649.8+/-144.8" , "935.1+/-207.9" , "717+/-94.4" , "2553.2+/-347.6" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G326.21-34.49" , "29.9+/-4.3" , "25.7+/-3.7" , "101.8+/-36.7" , 27.7
813 , "PCCS1 070 G079.92-00.09 " ,, 309.00708 , 40.54528 , 79.922 , -0.093 , "1.5e+4+/-2999.8" , "1.2e+4+/-4029.3" , "1.4e+4+/-908.2" , "1.4e+4+/-2358.7" , 1.4 , "Yes" , 0 , 0 , " " , "26.8+/-4.8" , "17.7+/-3.2" , "135.7+/-16.6" , 21.8
814 , "PCCS1 070 G081.51+00.72 " ,, 309.42125 , 42.30167 , 81.51 , 0.719 , "1.9e+4+/-2694.9" , "9626.9+/-4147.9" , "2.2e+4+/-1844.2" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
815 , "PCCS1 070 G088.80+06.03 " ,, 309.66083 , 51.30889 , 88.802 , 6.03 , "1588.9+/-131" , "1249.2+/-216.9" , "1270.1+/-87.4" , "1236+/-177.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G088.81+06.04" , "16.6+/-2.4" , "10.4+/-1.5" , "90.1+/-12.1" , 13.1
816 , "PCCS1 070 G081.78+00.63 " ,, 309.73125 , 42.46139 , 81.776 , 0.634 , "4.2e+4+/-2694.9" , "1.7e+4+/-6017.6" , "2.2e+4+/-1844.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G081.69+00.55" , "-" , "-" , "-" , -9.9
817 , "PCCS1 070 G081.56+00.44 " ,, 309.76583 , 42.17083 , 81.561 , 0.437 , "1.7e+4+/-2694.9" , "2.6e+4+/-3648.2" , "2.2e+4+/-1844.2" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
818 , "PCCS1 070 G080.98-00.14 " ,, 309.91167 , 41.35722 , 80.982 , -0.145 , "2.6e+4+/-3034.9" , "1.5e+4+/-1850.7" , "2.2e+4+/-1844.2" , "6729.8+/-3016" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G080.92-00.17" , "13.6+/-6.1" , "10.5+/-4.7" , "159+/-68.5" , 12
819 , "PCCS1 070 G081.49+00.06 " ,, 310.10542 , 41.88222 , 81.486 , 0.061 , "2.8e+4+/-2759.2" , "1.9e+4+/-9284.9" , "2.2e+4+/-1844.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G081.58-00.03" , "-" , "-" , "-" , -9.9
820 , "PCCS1 070 G082.65+00.49 " ,, 310.62208 , 43.06306 , 82.652 , 0.485 , "1.4e+4+/-2224" , "9640.4+/-1138.9" , "2.2e+4+/-1844.2" , "6646.3+/-2795.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G082.57+00.39" , "22.5+/-9.7" , "10.7+/-4.6" , "148+/-21.1" , 15.5
