_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
53 , "PCCS1 070 G294.37-53.31 "  ,, 24.18542 , -63.05833 , 294.367 , -53.31 , "491.8+/-120.9" , "686.5+/-350.4" , "250.4+/-66.2" , "356.9+/-94.7" , 1.4 , "No" , 0 , 0 , " " , "13.3+/-3.6" , "10.8+/-2.9" , "113.7+/-54" , 12
54 , "PCCS1 070 G130.81-14.32 "  ,, 24.26958 , 47.85667 , 130.806 , -14.316 , "3412.3+/-151.9" , "3351.2+/-312.9" , "3180.1+/-105.4" , "3983.7+/-173.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G130.79-14.33" , "19.1+/-0.9" , "13.6+/-0.6" , "45.2+/-5.1" , 16.1
55 , "PCCS1 070 G201.31-79.28 "  ,, 24.40917 , -24.49917 , 201.312 , -79.28 , "2408.8+/-150.7" , "2298+/-281.4" , "2221+/-106" , "2344.3+/-152.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G201.34-79.26" , "15+/-1" , "14.2+/-0.9" , "167+/-46.4" , 14.6
56 , "PCCS1 070 G217.99-78.15 "  ,, 26.20167 , -27.54139 , 217.994 , -78.146 , "1276.7+/-158.1" , "1174.1+/-282.3" , "1143.8+/-97.5" , "3060.3+/-348.3" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G218.04-78.08" , "48.3+/-1" , "19.6+/-2.7" , "58.5+/-5.1" , 30.7
57 , "PCCS1 070 G141.08-38.60 "  ,, 28.095 , 22.11306 , 141.08299 , -38.601 , "1485.1+/-191.5" , "1405.6+/-296.1" , "923.6+/-135.4" , "1365.2+/-180.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G141.08-38.56" , "19.3+/-2.6" , "13+/-1.8" , "72.7+/-13.3" , 15.8
58 , "PCCS1 070 G175.07-68.48 "  ,, 30.14958 , -12.93167 , 175.07401 , -68.476 , "714.3+/-153.5" , "347.4+/-298" , "634.1+/-118.8" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
59 , "PCCS1 070 G185.99-70.24 "  ,, 31.23167 , -17.02694 , 185.992 , -70.241 , "796.8+/-160.7" , "452.1+/-297.7" , "141.9+/-113.1" , "318.2+/-105.2" , 1.4 , "No" , 0 , 2 , " " , "10.2+/-3.3" , "8.7+/-2.8" , "158.7+/-81.1" , 9.4
60 , "PCCS1 070 G140.59-28.11 "  ,, 31.29708 , 32.21694 , 140.592 , -28.113 , "1446.5+/-184.4" , "1152+/-241.2" , "1020.8+/-110.1" , "892.6+/-128.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G140.57-28.11" , "14.2+/-2.1" , "9.7+/-1.4" , "26+/-15.1" , 11.7
61 , "PCCS1 070 G130.72+03.08 "  ,, 31.40333 , 64.82639 , 130.718 , 3.082 , "1.2e+4+/-177.7" , "1.3e+4+/-277.2" , "1.2e+4+/-188.2" , "1.4e+4+/-157.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G130.71+03.07" , "16.4+/-0.2" , "13.8+/-0.2" , "28.7+/-2.7" , 15.1
62 , "PCCS1 070 G276.08-61.76 "  ,, 32.7225 , -51.02611 , 276.08301 , -61.759 , "1985.5+/-145.2" , "1702.5+/-201" , "1774.7+/-93.1" , "1667.5+/-117.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G276.07-61.76" , "15.4+/-1.1" , "11.1+/-0.8" , "77+/-8.6" , 13.1
