_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
105 , "ROXA J080938.8+345537.19" , 122.41167 , 34.927 , 0.08 , 15.8 , 0 , 0 , 16.6 , 223.5 , 9.9e-12 , "BL Lac" , 1.17 , 0.39 , 0.66 , "1.689e+44" , "3.813e+31" , 0.29 , "1RXS J080938.5+3455" , "186.47" , "30.34"
106 , "ROXA J081009.9+384757.01" , 122.54125 , 38.79917 , 3.95 , 19.7 , 0 , 0 , 20.9 , 32.3 , 1.4e-12 , "QSO RLoud flat radio sp." , 0.76 , 0.48 , 0.66 , "2.084e+47" , "4.808e+34" , 0.32 , "1RXS J081009.4+3847" , "182.1" , "31.28"
107 , "ROXA J081058.9+413402.71" , 122.74542 , 41.56742 , 0.51 , 18.7 , 0 , 0 , 18.5 , 220.3 , 8.1e-13 , "QSO RLoud flat radio sp." , 1.19 , 0.58 , 0.81 , "8.039e+44" , "2.187e+33" , 0.16 , "1RXS J081100.0+4133" , "178.93" , "31.94"
108 , "ROXA J081137.2+483133.7" , 122.905 , 48.52603 , 0.7 , 18.2 , 0 , 0 , 18.2 , 160.4 , 1.1e-12 , "QSO RLoud flat radio sp." , 1.19 , 0.47 , 0.74 , "2.412e+45" , "3.518e+33" , 0.62 , "1RXS J081136.0+4831" , "170.77" , "32.93"
109 , "ROXA J081318.7+501235.38" , 123.32792 , 50.20983 , 0.57 , 18.7 , 0 , 0 , 18.6 , 568.4 , 8.7e-13 , "QSO RLoud steep radio sp." , 1.17 , 0.59 , 0.81 , "1.150e+45" , "7.514e+33" , 0.91 , "1RXS J081318.5+5012" , "168.79" , "33.33"
110 , "ROXA J081432.39+561017.0" , 123.635 , 56.17139 , 0.51 , 18.1 , 0 , 0 , 18.1 , 60.8 , 1.4e-12 , "QSO RLoud flat radio sp." , 1.18 , 0.42 , 0.7 , "1.416e+45" , "6.149e+32" , "--" , "1RXS J081432.9+5610" , "161.65" , "33.67"
111 , "ROXA J081409.19+323731.9" , 123.53833 , 32.62553 , 0.84 , 18.7 , 0 , 0 , 18.8 , 257.3 , 7.1e-13 , "QSO RLoud flat radio sp." , 1.18 , 0.59 , 0.82 , "2.439e+45" , "8.840e+33" , 0.23 , "1RXS J081408.7+3237" , "189.33" , "30.7"
112 , "ROXA J081732.2+223652.41" , 124.38417 , 22.61456 , 0.98 , 17.6 , 0 , 0 , 17.9 , 1277.1 , 1.5e-12 , "QSO RLoud steep radio sp." , 0.86 , 0.82 , 0.87 , "7.452e+45" , "6.344e+34" , "--" , "1RXS J081733.0+2236" , "200.59" , "28.47"
113 , "ROXA J081737.8+242335.91" , 124.4075 , 24.39331 , 0.28 , 16.7 , 0 , 0 , 16.8 , 7.3 , 1.9e-12 , "Seyfert" , 1.34 , 0.14 , 0.56 , "4.791e+44" , "1.841e+31" , "--" , "1RXS J081738.0+2423" , "198.68" , "29.07"
114 , "ROXA J081751.7+324331.0" , 124.46542 , 32.72528 , "--" , 18.5 , 0 , 0 , 18.9 , 7.5 , 1.1e-12 , "BL Lac" , 0.88 , 0.44 , 0.59 , "0.000" , "0.000" , "--" , "1RXS J081751.4+3243" , "189.44" , "31.48"
